日志时间,自运行起秒,账号,页面,阶段,键/标签,动作,结果,是否成功
2026-04-21 07:00:18,6.435,甑维居家日用,globalAccountLoop,nav,goto,open_url,https://mms.pinduoduo.com/login/,是
2026-04-21 07:00:18,6.443,甑维居家日用,globalAccountLoop,account,switch,switchAccount,globalAccountLoop：锚点无需 UI 切店（如拼多多：店铺轮次由 pageIds 内登录与业务页完成）,是
2026-04-21 07:00:19,7.042,甑维居家日用,pdd_login_switch,nav,goto,skip_same_url,https://mms.pinduoduo.com/login/,是
2026-04-21 07:00:20,8.464,甑维居家日用,pdd_login_switch,interaction,pdd_login_tab_account,click,#root > div.pdd-app-skeleton > div > div > main > div > section.login-content > div > div > div > div.login-tab > div > div > div:nth-child(2),是
2026-04-21 07:00:21,9.136,甑维居家日用,pdd_login_switch,interaction,pdd_input_username_current_account,input,#usernameId <- account_username,是
2026-04-21 07:00:21,9.705,甑维居家日用,pdd_login_switch,interaction,pdd_click_login_submit,click,#root > div.pdd-app-skeleton > div > div > main > div > section.login-content > div > div > div > div.password-section > section > div > div > button,是
2026-04-21 07:00:26,14.480,甑维居家日用,pdd_aftersale_export,nav,goto,open_url,https://mms.pinduoduo.com/print/after-sale-list,是
2026-04-21 07:00:33,21.884,甑维居家日用,pdd_aftersale_export,interaction,pdd_close_print_ad_modal,click,body > div.MDL_outerWrapper_5-174-0.MDL_modal_5-174-0.MDL_showCloseIcon_5-174-0 > div > div > div.MmsUiPosterModal___closeIcon___3pAxJ2-149-0-feature30424-1 > div,是
2026-04-21 07:00:35,23.376,甑维居家日用,pdd_aftersale_export,interaction,pdd_aftersale_time_type,selectFilter,已选择「售后申请时间」（候选: 售后申请时间）,是
2026-04-21 07:00:36,24.139,甑维居家日用,pdd_aftersale_export,interaction,pdd_aftersale_query,click,button:has-text('查询'),是
2026-04-21 07:00:37,25.736,甑维居家日用,pdd_aftersale_export,interaction,pdd_aftersale_open_download_menu,click,button:has-text('下载数据'),是
2026-04-21 07:00:39,27.575,甑维居家日用,pdd_aftersale_export,interaction,export_pdd_aftersale_query_orders,click+download,D:\Program Files (x86)\fff2_dianshang\output\crawl\pdd_default_20260421_070011\拼多多数据提取_1_2026-04-20\甑维居家日用_售后单_raw_2026-04-20.xlsx,是
2026-04-21 07:00:42,30.504,甑维居家日用,pdd_trade_data_operation,nav,goto,open_url,https://mms.pinduoduo.com/sycm/stores_data/operation?dateFlag=0,是
2026-04-21 07:00:48,36.699,甑维居家日用,pdd_trade_data_operation,interaction,pdd_trade_scroll_to_bottom_before_page_size,scroll,window:end,是
2026-04-21 07:01:01,49.271,甑维居家日用,pdd_trade_data_operation,interaction,pdd_trade_table_page_size_open,click,#mf-mms-sycm-container div[class*='select']:has-text('10'),是
2026-04-21 07:01:05,53.720,甑维居家日用,pdd_trade_data_operation,interaction,pdd_trade_table_page_size_50,click,li[role='option']:has-text('50'),是
2026-04-21 07:01:44,92.772,甑维居家日用,pdd_trade_data_operation,field,成交金额,extract:tableColumnAgg,86.57  ← tableColumnAgg:#mf-mms-sycm-container > div > div > div > div:nth-child(5) > div.TB_outerWrapper_5-158-0.TB_bordered_5-158-0.TB_notTree#col1 n=11 p=1 sum,是
2026-04-21 07:02:21,129.050,甑维居家日用,pdd_trade_data_operation,field,成交订单数,extract:tableColumnAgg,15  ← tableColumnAgg:#mf-mms-sycm-container > div > div > div > div:nth-child(5) > div.TB_outerWrapper_5-158-0.TB_bordered_5-158-0.TB_notTree#col2 n=11 p=1 sum,是
2026-04-21 07:02:57,165.342,甑维居家日用,pdd_trade_data_operation,field,成交买家数,extract:tableColumnAgg,15.00  ← tableColumnAgg:#mf-mms-sycm-container > div > div > div > div:nth-child(5) > div.TB_outerWrapper_5-158-0.TB_bordered_5-158-0.TB_notTree#col3 n=11 p=1 sum,是
2026-04-21 07:02:57,165.587,甑维居家日用,pdd_trade_data_operation,field,客单价,extract:computedDivide,5.77  ← computedDivide:pdd_trade_amount/pdd_trade_buyer_count,是
2026-04-21 07:02:58,166.099,甑维居家日用,pdd_promotion_overview,nav,goto,open_url,https://yingxiao.pinduoduo.com/goods/report/promotion/overView?beginDate=2026-04-20&endDate=2026-04-20&msfrom=mms_sidenav,是
2026-04-21 07:03:02,170.446,甑维居家日用,pdd_promotion_overview,interaction,pdd_overview_switch_to_table,click,#page-container div[class*='TabRow_radioWrap'] label:has-text('表格'),是
2026-04-21 07:03:04,172.116,甑维居家日用,pdd_promotion_overview,interaction,pdd_overview_uncheck_compare_time,click,#page-container label.anq-checkbox-wrapper-checked:has-text('对比时间'),是
2026-04-21 07:03:07,175.446,甑维居家日用,pdd_promotion_overview,field,成本花费(元),extract:tableTotalByHeader,4.03  ← tableTotalByHeader:#page-container > div > div.OverviewInternal_contentWrapper__QeUQR > div > div.ReportOverview_wrap__oJSxK > div:nth-chil#col1 row=firstBodyRow hdr=成交花费(元),是
2026-04-21 07:03:07,175.740,甑维居家日用,pdd_promotion_overview,field,净实际投产比,extract:tableTotalByHeader,17.96  ← tableTotalByHeader:#page-container > div > div.OverviewInternal_contentWrapper__QeUQR > div > div.ReportOverview_wrap__oJSxK > div:nth-chil#col7 row=firstBodyRow hdr=净实际投产比,是
2026-04-21 07:03:08,176.035,甑维居家日用,pdd_promotion_overview,field,每笔净成交花费(元),extract:tableTotalByHeader,0.31  ← tableTotalByHeader:#page-container > div > div.OverviewInternal_contentWrapper__QeUQR > div > div.ReportOverview_wrap__oJSxK > div:nth-chil#col9 row=firstBodyRow hdr=每笔净成交花费,是
2026-04-21 07:03:08,176.421,甑维居家日用,pdd_cashier_bills_reconcile,nav,goto,open_url,https://mms.pinduoduo.com/cashier/finance/payment-bills,是
2026-04-21 07:03:12,180.391,甑维居家日用,pdd_cashier_bills_reconcile,interaction,pdd_cashier_open_time_filter,click,xpath=//*[@id='root']/div/div[2]/div/div[1]/div/div[3]/div/div[2]/div[2]/div/div[1]/div/div/div[1]/div/div/div/div/div/div[1]/input,是
2026-04-21 07:03:13,181.091,甑维居家日用,pdd_cashier_bills_reconcile,interaction,pdd_cashier_quick_yesterday,click,div[class*='RPR_quickPickerWrapper'] button:has-text('昨天'),是
2026-04-21 07:03:13,181.861,甑维居家日用,pdd_cashier_bills_reconcile,interaction,pdd_cashier_expand_advanced,click,a:has-text('展开高级选项'),是
2026-04-21 07:03:14,182.738,甑维居家日用,pdd_cashier_bills_reconcile,interaction,pdd_cashier_acct_type_技术服务费,click,"xpath=(//div[contains(@class,'Container_container')]//div[contains(@class,'TAB_outerWrapper')]//div[contains(@class,'TAB_content')]/div/div[1]/div//label[.//*[contains(@class,'CBX_textWrapper')][normalize-space()='技术服务费']])[1]",是
2026-04-21 07:03:15,183.216,甑维居家日用,pdd_cashier_bills_reconcile,interaction,pdd_cashier_acct_type_多多进宝,click,"xpath=(//div[contains(@class,'Container_container')]//div[contains(@class,'TAB_outerWrapper')]//div[contains(@class,'TAB_content')]/div/div[1]/div//label[.//*[contains(@class,'CBX_textWrapper')][normalize-space()='多多进宝']])[1]",是
2026-04-21 07:03:15,183.684,甑维居家日用,pdd_cashier_bills_reconcile,interaction,pdd_cashier_acct_type_扣款,click,"xpath=(//div[contains(@class,'Container_container')]//div[contains(@class,'TAB_outerWrapper')]//div[contains(@class,'TAB_content')]/div/div[1]/div//label[.//*[contains(@class,'CBX_textWrapper')][normalize-space()='扣款']])[1]",是
2026-04-21 07:03:16,184.161,甑维居家日用,pdd_cashier_bills_reconcile,interaction,pdd_cashier_acct_type_其他服务,click,"xpath=(//div[contains(@class,'Container_container')]//div[contains(@class,'TAB_outerWrapper')]//div[contains(@class,'TAB_content')]/div/div[1]/div//label[.//*[contains(@class,'CBX_textWrapper')][normalize-space()='其他服务']])[1]",是
2026-04-21 07:03:16,184.641,甑维居家日用,pdd_cashier_bills_reconcile,interaction,pdd_cashier_acct_type_其他,click,"xpath=(//div[contains(@class,'Container_container')]//div[contains(@class,'TAB_outerWrapper')]//div[contains(@class,'TAB_content')]/div/div[1]/div//label[.//*[contains(@class,'CBX_textWrapper')][normalize-space()='其他']])[1]",是
2026-04-21 07:03:17,185.132,甑维居家日用,pdd_cashier_bills_reconcile,interaction,pdd_cashier_acct_type_分账,click,"xpath=(//div[contains(@class,'Container_container')]//div[contains(@class,'TAB_outerWrapper')]//div[contains(@class,'TAB_content')]/div/div[1]/div//label[.//*[contains(@class,'CBX_textWrapper')][normalize-space()='分账']])[1]",是
2026-04-21 07:03:17,185.598,甑维居家日用,pdd_cashier_bills_reconcile,interaction,pdd_cashier_acct_type_服务消费,click,"xpath=(//div[contains(@class,'Container_container')]//div[contains(@class,'TAB_outerWrapper')]//div[contains(@class,'TAB_content')]/div/div[1]/div//label[.//*[contains(@class,'CBX_textWrapper')][normalize-space()='服务消费']])[1]",是
2026-04-21 07:03:18,186.080,甑维居家日用,pdd_cashier_bills_reconcile,interaction,pdd_cashier_query,click,#root div[class*='Container_container'] button:has-text('查询'),是
2026-04-21 07:03:26,193.950,甑维居家日用,pdd_cashier_bills_reconcile,interaction,export_pdd_cashier_balance,click+download,D:\Program Files (x86)\fff2_dianshang\output\crawl\pdd_default_20260421_070011\拼多多数据提取_1_2026-04-20\甑维居家日用_对账_2026-04-20_raw.zip,是
2026-04-21 07:03:29,197.779,根少家的小铺83,globalAccountLoop,nav,goto,open_url,https://mms.pinduoduo.com/login/,是
2026-04-21 07:03:29,197.781,根少家的小铺83,globalAccountLoop,account,switch,switchAccount,globalAccountLoop：锚点无需 UI 切店（如拼多多：店铺轮次由 pageIds 内登录与业务页完成）,是
2026-04-21 07:03:30,198.215,根少家的小铺83,pdd_login_switch,nav,goto,skip_same_url,https://mms.pinduoduo.com/login/,是
2026-04-21 07:03:31,199.609,根少家的小铺83,pdd_login_switch,interaction,pdd_login_tab_account,click,#root > div.pdd-app-skeleton > div > div > main > div > section.login-content > div > div > div > div.login-tab > div > div > div:nth-child(2),是
2026-04-21 07:03:32,200.262,根少家的小铺83,pdd_login_switch,interaction,pdd_input_username_current_account,input,#usernameId <- account_username,是
2026-04-21 07:03:32,200.824,根少家的小铺83,pdd_login_switch,interaction,pdd_click_login_submit,click,#root > div.pdd-app-skeleton > div > div > main > div > section.login-content > div > div > div > div.password-section > section > div > div > button,是
2026-04-21 07:03:37,205.506,根少家的小铺83,pdd_aftersale_export,nav,goto,open_url,https://mms.pinduoduo.com/print/after-sale-list,是
2026-04-21 07:03:44,212.727,根少家的小铺83,pdd_aftersale_export,interaction,pdd_close_print_ad_modal,click,body > div.MDL_outerWrapper_5-174-0.MDL_modal_5-174-0.MDL_showCloseIcon_5-174-0 > div > div > div.MmsUiPosterModal___closeIcon___3pAxJ2-149-0-feature30424-1 > div,是
2026-04-21 07:03:46,214.154,根少家的小铺83,pdd_aftersale_export,interaction,pdd_aftersale_time_type,selectFilter,已选择「售后申请时间」（候选: 售后申请时间）,是
2026-04-21 07:03:46,214.679,根少家的小铺83,pdd_aftersale_export,interaction,pdd_aftersale_query,click,button:has-text('查询'),是
2026-04-21 07:03:48,216.191,根少家的小铺83,pdd_aftersale_export,interaction,pdd_aftersale_open_download_menu,click,button:has-text('下载数据'),是
