动账时间,动帐流水号,动账方向,动账金额,动账账户,动账场景,计费类型,子订单号,订单号,售后编号,下单时间,商品ID,商品名称,达人ID,达人名称,订单类型,订单实付应结,运费实付,实际平台补贴_运费,实际平台补贴,其他平台补贴,以旧换新抵扣,政府补贴平台垫资,实际达人补贴,实际抖音支付补贴,实际抖音月付营销补贴,银行补贴,订单退款,平台服务费,佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,是否免佣,免佣金额,商户主体名称,备注
2026-04-20 01:52:13,'2026042001520516917470787155,入账,4.17,聚合账户,货款结算入账,小店自卖,'6925473854050893390,'6925473854050827854,'SS76295518263057659230098,2026-04-09 17:10:13,'3806822440240283911,早秋复古拼色醋酸抓夹女后脑勺盘发夹高级感鲨鱼夹气质百搭款头饰,,,普通订单,4.39,0,0,0,0,0,0,0,0,0,0,0,-0.22,0,0,0,0,0,0,否,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-20 01:52:13,'2026042001520806632289717155,入账,1.26,聚合账户,货款结算入账,小店自卖,'6925582428826533378,'6925582428826533378,'SS76296139852554406920136,2026-04-13 23:14:43,'3807195600034856977,紫色玫瑰花木簪夏季发簪网纱花朵发钗古风簪花头饰气质国风发饰女,,,普通订单,3.33,0,0,0,0,0,0,0,0,0,0,-2,-0.07,0,0,0,0,0,0,否,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-20 02:03:56,'2026042002034741009810307155,入账,3.39,聚合账户,货款结算入账,小店自卖,'6925463231207407505,'6925463231207407505,'SS76296580950314682940149,2026-04-10 05:39:50,'3807215998982029325,2026新款牡丹花羽毛抓夹女高颜值轻奢精致鲨鱼夹高端气质抓夹发饰,,,普通订单,3.57,0,0,0,0,0,0,0,0,0,0,0,-0.18,0,0,0,0,0,0,否,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-20 03:34:20,'2026042003341622490975247155,入账,3.39,聚合账户,货款结算入账,小店自卖,'6951947479273969192,'6951947479273969192,'SS76295575591755658620112,2026-04-10 08:32:02,'3807215998982029325,2026新款牡丹花羽毛抓夹女高颜值轻奢精致鲨鱼夹高端气质抓夹发饰,,,普通订单,3.57,0,0,0,0,0,0,0,0,0,0,0,-0.18,0,0,0,0,0,0,否,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-20 03:34:20,'2026042003341531640128437155,入账,5.87,聚合账户,货款结算入账,小店自卖,'6925566952101084456,'6925566952101084456,'SS76295871507534321070142,2026-04-14 08:35:10,'3808318474044965225,中国风孔雀盘发器女生古典旗袍发饰丸子懒人高级感饰品优雅发夹,,,普通订单,6.18,0,0,0,0,0,0,0,0,0,0,0,-0.31,0,0,0,0,0,0,否,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-20 03:34:20,'2026042003341428409042337155,入账,2.81,聚合账户,货款结算入账,小店自卖,'6925482247353499520,'6925482247353499520,'SS76295533481523943030162,2026-04-09 19:30:04,'3811086962769658167,韩国发夹横夹头饰妈妈新款盘发后脑勺高档水钻头发大号鸭嘴发发饰,,,普通订单,2.96,0,0,0,0,0,0,0,0,0,0,0,-0.15,0,0,0,0,0,0,否,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-20 03:34:20,'2026042003341614351245227155,入账,5.87,聚合账户,货款结算入账,小店自卖,'6925580485011995756,'6925580485011995756,'SS76296590826226813790136,2026-04-14 07:20:03,'3808318474044965225,中国风孔雀盘发器女生古典旗袍发饰丸子懒人高级感饰品优雅发夹,,,普通订单,6.18,0,0,0,0,0,0,0,0,0,0,0,-0.31,0,0,0,0,0,0,否,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-20 03:34:20,'2026042003341616992507287155,入账,3.22,聚合账户,货款结算入账,小店自卖,'6951944956785923113,'6951944956785923113,'SS76295533849500393340210,2026-04-09 19:51:16,'3808318474044965225,中国风孔雀盘发器女生古典旗袍发饰丸子懒人高级感饰品优雅发夹,,,普通订单,3.39,0,0,0,0,0,0,0,0,0,0,0,-0.17,0,0,0,0,0,0,否,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-20 03:34:37,'2026042003343233312279397155,入账,2.81,聚合账户,货款结算入账,巨量千川,'6951950753480381724,'6951950753480381724,'SS76296599115487852040199,2026-04-10 16:40:23,'3811086962769658167,韩国发夹横夹头饰妈妈新款盘发后脑勺高档水钻头发大号鸭嘴发发饰,,,普通订单,0.01,0,0,2.95,0,0,0,0,0,0,0,0,-0.15,0,0,0,0,0,0,,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-20 03:34:37,'2026042003343303023181437155,入账,2.44,聚合账户,货款结算入账,小店自卖,'6925479072546193297,'6925479072546193297,'SS76296580995440358490126,2026-04-10 05:41:00,'3807215998982029325,2026新款牡丹花羽毛抓夹女高颜值轻奢精致鲨鱼夹高端气质抓夹发饰,,,普通订单,2.57,0,0,0,0,0,0,0,0,0,0,0,-0.13,0,0,0,0,0,0,否,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-20 03:34:37,'2026042003343424595663557155,入账,8.71,聚合账户,货款结算入账,小店自卖,'6925481243578367838,'6925481243578367838,'SS76296068647417121280076,2026-04-10 10:16:50,'3806822440240283911,早秋复古拼色醋酸抓夹女后脑勺盘发夹高级感鲨鱼夹气质百搭款头饰,,,普通订单,9.17,0.98,0,0,0,0,0,0,0,0,0,0,-0.46,0,0,0,0,0,0,否,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-20 03:34:37,'2026042003343324299773877155,入账,3.57,聚合账户,货款结算入账,小店自卖,'6925465335615684471,'6925465335615684471,'SS76296071696054891930206,2026-04-09 21:28:53,'3811098977965834270,韩系复古豹纹kt猫三角抓夹女发饰后脑勺发夹鲨鱼夹盘发头饰发饰品,,,普通订单,3.76,0,0,0,0,0,0,0,0,0,0,0,-0.19,0,0,0,0,0,0,否,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-20 03:34:37,'2026042003343341777894747155,入账,3.1,聚合账户,货款结算入账,小店自卖,'6952077324434740758,'6952077324434740758,'SS76296858830896172150197,2026-04-14 21:43:53,'3806649052561539077,复古新款碎花面纱双层大肠发圈气质丸子头绳高级感低马尾发绳发饰,,,普通订单,3.26,0,0,0,0,0,0,0,0,0,0,0,-0.16,0,0,0,0,0,0,否,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-20 03:35:31,'2026042003352808266225187155,入账,3.78,聚合账户,货款结算入账,小店自卖,'6925647839899778577,'6925647839899778577,'SS76296696742634457960062,2026-04-16 14:55:14,'3807906097046618343,高级感黑色蝴蝶结抓夹女双面满天星泡泡鲨鱼夹后脑勺显发量发夹,,,普通订单,0.98,0,0,3,0,0,0,0,0,0,0,0,-0.2,0,0,0,0,0,0,否,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-20 03:35:31,'2026042003352820439701007155,入账,5.87,聚合账户,货款结算入账,小店自卖,'6952062653441250760,'6952062653441250760,'SS76295118279905124190226,2026-04-14 08:09:42,'3808318474044965225,中国风孔雀盘发器女生古典旗袍发饰丸子懒人高级感饰品优雅发夹,,,普通订单,1.38,0,0,4.8,0,0,0,0,0,0,0,0,-0.31,0,0,0,0,0,0,否,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-20 03:35:31,'2026042003352703821570967155,入账,3.05,聚合账户,货款结算入账,小店自卖,'6951941661673067864,'6951941661673067864,'SS76296602599550817690109,2026-04-10 14:52:14,'3809990713068880312,甜美森系花朵鸭嘴夹女后脑勺盘发超仙新款头饰早春清新高级感发夹,,,普通订单,3.21,0,0,0,0,0,0,0,0,0,0,0,-0.16,0,0,0,0,0,0,否,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-20 03:35:31,'2026042003352630088399787155,入账,5.87,聚合账户,货款结算入账,小店自卖,'6925647394440576441,'6925647394440576441,'SS76297083895025710430015,2026-04-16 11:00:02,'3808318474044965225,中国风孔雀盘发器女生古典旗袍发饰丸子懒人高级感饰品优雅发夹,,,普通订单,6.18,0,0,0,0,0,0,0,0,0,0,0,-0.31,0,0,0,0,0,0,否,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-20 03:35:31,'2026042003352740769789797155,入账,6.11,聚合账户,货款结算入账,小店自卖,'6951937666153846250,'6951937666153846250,'SS76295517985729459610013,2026-04-09 11:00:17,'3811085218861940964,超仙蝴蝶大号盘发抓夹女2026新款高级感发夹后脑勺鲨鱼夹头饰ins,,,普通订单,6.43,0,0,0,0,0,0,0,0,0,0,0,-0.32,0,0,0,0,0,0,否,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
