动账时间,动帐流水号,动账方向,动账金额,动账账户,动账场景,计费类型,子订单号,订单号,售后编号,下单时间,商品ID,商品名称,达人ID,达人名称,订单类型,订单实付应结,运费实付,实际平台补贴_运费,实际平台补贴,其他平台补贴,以旧换新抵扣,政府补贴平台垫资,实际达人补贴,实际抖音支付补贴,实际抖音月付营销补贴,银行补贴,订单退款,平台服务费,佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,是否免佣,免佣金额,商户主体名称,备注
2026-04-20 01:23:18,'2026042001231028438208404795,入账,3.77,聚合账户,货款结算入账,小店自卖,'6925585914754792607,'6925585914754792607,'SS76295682223258831760195,2026-04-14 14:37:45,'3740185316129112344,丝绒珠珠波浪发高颅秋冬新款防滑发卡高级洗脸整理碎发头箍发箍,,,普通订单,3.79,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市亿芭电子商务商行,订单结算
2026-04-20 01:23:18,'2026042001231100928159244795,入账,4.65,聚合账户,货款结算入账,小店自卖,'6925346829489373116,'6925346829489373116,'SS76295542906752704380107,2026-04-04 17:28:07,'3776963894094987650,韩国奶咖爱心侧边发夹女高级感2025新款前额一字发卡刘海碎发夹子,,,普通订单,4.68,1.35,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市亿芭电子商务商行,订单结算
2026-04-20 01:23:18,'2026042001231000379294784795,入账,9.18,聚合账户,货款结算入账,小店自卖,'6952096839884412735,'6952096839884412735,'SS76296621879839956990050,2026-04-15 23:32:07,'3792529394694750640,万事不南~韩系超可爱毛线南瓜小发绳女气质洋气发圈减龄百搭发饰,,,普通订单,9.24,0.55,0,0,0,0,0,0,0,0,0,0,-0.06,0,0,0,0,0,0,是-商品卡免佣,0.44,义乌市亿芭电子商务商行,订单结算
2026-04-20 01:23:18,'2026042001231022547543444795,入账,4.57,聚合账户,货款结算入账,小店自卖,'6925578029033487898,'6925578029033487898,'SS76296818158043305360032,2026-04-14 00:56:21,'3763977762117910623,圆形金属发扣刘海碎发发卡银灰发夹女侧边夹高级感水钻小夹子头饰,,,普通订单,4.6,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市亿芭电子商务商行,订单结算
2026-04-20 01:23:18,'2026042001230811167664644795,入账,3.31,聚合账户,货款结算入账,小店自卖,'6925344606130503599,'6925344606130503599,'SS76295543129141785750211,2026-04-04 15:18:41,'3776956605703258199,复古格子布艺齿梳发箍女2025新款气质简约高颅顶压发卡学院风头箍,,,普通订单,3.33,0.55,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市亿芭电子商务商行,订单结算
2026-04-20 01:23:18,'2026042001231104963865664795,入账,2.46,聚合账户,货款结算入账,小店自卖,'6951831406482167361,'6951831406482167361,'SS76278563866759664980211,2026-04-04 23:02:32,'3740774753087127566,新款洗脸发饰时尚法式网红发箍发卡宽边复古秋冬头饰百搭高级纯色,,,普通订单,3.97,0,0,0,0,0,0,0,0,0,0,-1.5,-0.01,0,0,0,0,0,0,是-商品卡免佣,0.07,义乌市亿芭电子商务商行,订单结算
2026-04-20 01:32:42,'2026042001323630493946884795,入账,5.67,聚合账户,货款结算入账,小店自卖,'6925363427952393892,'6925363427952393892,'SS76296680806015841280016,2026-04-05 15:17:39,'3779913033489449864,短发半扎发饰过渡期神器一字弹簧夹2025新款简约后脑勺发夹头饰女,,,普通订单,5.7,0.3,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市亿芭电子商务商行,订单结算
2026-04-20 01:32:42,'2026042001323505964436484795,入账,2.81,聚合账户,货款结算入账,小店自卖,'6925470063488565148,'6925470063488565148,'SS76295943112351260510107,2026-04-10 05:32:07,'3765831620368662534,夏天简约随手盘发一字扭扭夹水钻抓夹高级发夹扭扭后脑勺盘发器,,,普通订单,2.96,0,0,0,0,0,0,0,0,0,0,0,-0.15,0,0,0,0,0,0,,0,义乌市亿芭电子商务商行,订单结算
2026-04-20 01:32:42,'2026042001323611996861874795,入账,8.68,聚合账户,货款结算入账,小店自卖,'6952077398822949993,'6952077398822949993,'SS76296739005192281960074,2026-04-14 22:03:12,'3807027237232967865,新款韩系复古碎花大肠发圈女扎丸子发饰马尾头饰发饰发绳2026春夏,,,普通订单,8.73,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0,0,0,0,0,是-商品卡免佣,0.37,义乌市亿芭电子商务商行,订单结算
2026-04-20 01:32:42,'2026042001323409117698904795,入账,5.33,聚合账户,货款结算入账,小店自卖,'6925495771806072412,'6925495771806072412,'SS76295567247682767550019,2026-04-11 02:04:11,'3757496430974074922,扎丸子头盘发神器固定盘发器简约扭扭棒发夹发饰挽发杆蓬松花苞头,,,普通订单,5.36,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市亿芭电子商务商行,订单结算
