动账时间,动帐流水号,动账方向,动账金额,动账账户,动账场景,计费类型,子订单号,订单号,售后编号,下单时间,商品ID,商品名称,达人ID,达人名称,订单类型,订单实付应结,运费实付,实际平台补贴_运费,实际平台补贴,其他平台补贴,以旧换新抵扣,政府补贴平台垫资,实际达人补贴,实际抖音支付补贴,实际抖音月付营销补贴,银行补贴,订单退款,平台服务费,佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,是否免佣,免佣金额,商户主体名称,备注
2026-04-20 01:21:50,'2026042001213832320392099544,入账,4.46,聚合账户,货款结算入账,小店自卖,'6951956576940528901,'6951956576940528901,'SS76296069771025782140175,2026-04-10 09:34:03,'3771959134203805710,网红洗脸束发带猫耳朵敷面膜发箍韩国女刘海压发男女兔耳朵洗脸,,,普通订单,4.49,0.5,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市增绩电子商务商行,订单结算
2026-04-20 01:21:50,'2026042001214306220723269544,入账,3.53,聚合账户,货款结算入账,小店自卖,'6951932210288465632,'6951932210288465632,'SS76295561105720942540065,2026-04-10 05:03:35,'3809604213181382701,新款高颜值橡皮筋高级发圈简约可爱头绳不勒发绳无扎痕头饰发饰品,,,普通订单,3.72,0,0,0,0,0,0,0,0,0,0,0,-0.19,0,0,0,0,0,0,,0,义乌市增绩电子商务商行,订单结算
2026-04-20 01:21:50,'2026042001214317030559359544,入账,4.86,聚合账户,货款结算入账,小店自卖,'6951958522820170776,'6951958522820170776,'SS76295522269145178140197,2026-04-10 06:14:22,'3701265153577320511,隐形发箍男女不勒头运动头饰发带发卡波浪发捆敷面膜洗脸手工波浪,,,普通订单,4.89,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市增绩电子商务商行,订单结算
2026-04-20 01:21:50,'2026042001213819557588549544,入账,6.27,聚合账户,货款结算入账,小店自卖,'6951794119384568856,'6951794119384568856,'SS76271300512715901850192,2026-04-03 19:02:43,'3747972929321828402,碎花飘带发箍绑带一体式编发带齿防滑头箍女森系日常外森系女防滑,,,普通订单,6.31,0,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,义乌市增绩电子商务商行,订单结算
2026-04-20 01:21:50,'2026042001214206426468209544,入账,4.74,聚合账户,货款结算入账,小店自卖,'6951952334158501031,'6951952334158501031,'SS76296069813428229500047,2026-04-10 09:37:57,'3777146213351162285,简约ins发夹方形波浪侧边BB夹新款发卡黑色夹女童侧边碎发bb夹,,,普通订单,4.99,0,0,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,,0,义乌市增绩电子商务商行,订单结算
2026-04-20 01:56:00,'2026042001555413095570389544,入账,4.01,聚合账户,货款结算入账,小店自卖,'6925474807225089902,'6925474807225089902,'SS76296149172512363780079,2026-04-10 00:44:03,'3747980673156251894,高级在逃公主2025新款大号双面蝴蝶结大抓鱼姬闪粉大号抓夹发饰,,,普通订单,4.03,0.5,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市增绩电子商务商行,订单结算
2026-04-20 02:05:11,'2026042002050525889349389544,入账,3.96,聚合账户,货款结算入账,小店自卖,'6952065078276658507,'6952065078276658507,'SS76295880357391240110121,2026-04-14 11:20:37,'3805903336675344782,2026新款可爱小狗扭扭夹香蕉夹竖夹发夹脑勺高马尾抓夹高级感百搭,,,普通订单,3.98,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市增绩电子商务商行,订单结算
2026-04-20 03:24:11,'2026042003240715688834839544,入账,7.21,聚合账户,货款结算入账,小店自卖,'6925136630206922196,'6925136630206922196,'SS76295959429663462740155,2026-03-26 10:42:30,'3701782396681716065,韩式多巴胺色系少女bb夹可爱侧边刘海碎发可爱刘海碎发魔术贴发夹,,,普通订单,7.59,0,0,0,0,0,0,0,0,0,0,0,-0.38,0,0,0,0,0,0,,0,义乌市增绩电子商务商行,订单结算
2026-04-20 03:24:11,'2026042003240523994703889544,入账,3.96,聚合账户,货款结算入账,小店自卖,'6952073868589340187,'6952073868589340187,'SS76296637898347034060126,2026-04-14 10:02:20,'3805903336675344782,2026新款可爱小狗扭扭夹香蕉夹竖夹发夹脑勺高马尾抓夹高级感百搭,,,普通订单,3.98,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市增绩电子商务商行,订单结算
2026-04-20 03:24:11,'2026042003240515436887139544,入账,5.19,聚合账户,货款结算入账,小店自卖,'6925470308733254700,'6925470308733254700,'SS76296068644054474510078,2026-04-10 09:32:59,'3692771948191940864,韩版发夹女发卡顶夹成人梳子头饰简约碎发刘海梳女童碎发整理发梳,,,普通订单,5.22,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市增绩电子商务商行,订单结算
2026-04-20 03:24:11,'2026042003240708305095779544,入账,3.96,聚合账户,货款结算入账,小店自卖,'6951831455565157829,'6951831455565157829,'SS76295671917604052980076,2026-04-04 23:36:13,'3805903336675344782,2026新款可爱小狗扭扭夹香蕉夹竖夹发夹脑勺高马尾抓夹高级感百搭,,,普通订单,3.98,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市增绩电子商务商行,订单结算
2026-04-20 03:24:11,'2026042003240519640164109544,入账,4.46,聚合账户,货款结算入账,小店自卖,'6925616142620916785,'6925616142620916785,'SS76296566904475817110047,2026-04-15 22:57:30,'3771959134203805710,网红洗脸束发带猫耳朵敷面膜发箍韩国女刘海压发男女兔耳朵洗脸,,,普通订单,4.49,0.5,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市增绩电子商务商行,订单结算
2026-04-20 03:24:11,'2026042003240611129820509544,入账,2.65,聚合账户,货款结算入账,小店自卖,'6952074399423206409,'6952074399423140873,'SS76296678145130176360141,2026-04-14 15:39:56,'3806089104563765564,2026新款可爱小狗扭扭夹香蕉夹发夹后脑勺马尾抓夹高级感百搭发饰,,,普通订单,2.67,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市增绩电子商务商行,订单结算
2026-04-20 03:24:11,'2026042003240522326812509544,入账,3.52,聚合账户,货款结算入账,小店自卖,'6952058442593342660,'6952058442593342660,'SS76297523615477276430194,2026-04-14 11:31:54,'3770851519977619641,趣味搞笑发卡会发光的电灯泡发夹女搞怪仿真可爱刘搞怪发光鸭嘴夹,,,普通订单,3.54,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市增绩电子商务商行,订单结算
2026-04-20 03:24:11,'2026042003240505581870589544,入账,3.66,聚合账户,货款结算入账,小店自卖,'6952023163228264012,'6952023163228264012,'SS76295785699387192700060,2026-04-13 00:26:22,'3791068888817598600,明星同款网红高颅顶金属发扣刘海小夹子夹头发夹侧边发卡头饰,,,普通订单,3.68,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市增绩电子商务商行,订单结算
2026-04-20 03:24:11,'2026042003240617830057119544,入账,1.99,聚合账户,货款结算入账,小店自卖,'6951813612338746532,'6951813612338746532,'SS76295915649684938580008,2026-04-05 09:09:27,'3767124356006805531,玫瑰花琵琶发夹新国风小众侧边夹刘海夹创意碎发夹碎发刘海一字夹,,,普通订单,2,0,0,0,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,0,0,是-商品卡免佣,0.07,义乌市增绩电子商务商行,订单结算
