动账时间,动帐流水号,动账方向,动账金额,动账账户,动账场景,计费类型,子订单号,订单号,售后编号,下单时间,商品ID,商品名称,达人ID,达人名称,订单类型,订单实付应结,运费实付,实际平台补贴_运费,实际平台补贴,其他平台补贴,以旧换新抵扣,政府补贴平台垫资,实际达人补贴,实际抖音支付补贴,实际抖音月付营销补贴,银行补贴,订单退款,平台服务费,佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,是否免佣,免佣金额,商户主体名称,备注
2026-04-20 01:23:44,'2026042001233715489602978792,入账,0.53,聚合账户,货款结算入账,小店自卖,'6952062622213281625,'6952062622213281625,'SS76296681836618719120026,2026-04-14 08:19:21,'3795714795936809351,疯狂动物城卡通甜美少女刘海侧边夹可爱爪爪冰棍发夹粉色猫爪发夹,,,普通订单,0.56,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,,0,义乌市增绩电子商务商行,订单结算
2026-04-20 01:23:44,'2026042001233717504834988792,入账,3.83,聚合账户,货款结算入账,小店自卖,'6952031302947641000,'6952031302947641000,'SS76295601920867704740213,2026-04-13 21:40:56,'3779153844332790041,新款时尚可爱波点大号米菲兔兔子显发量香蕉夹后脑勺盘发百搭发饰,,,普通订单,3.85,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市增绩电子商务商行,订单结算
2026-04-20 01:23:45,'2026042001233737463823868792,入账,0.56,聚合账户,货款结算入账,小店自卖,'6925583088219225545,'6925583088219225545,'SS76297206818205540240087,2026-04-14 09:31:59,'3795714795936809351,疯狂动物城卡通甜美少女刘海侧边夹可爱爪爪冰棍发夹粉色猫爪发夹,,,普通订单,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,是-商品卡免佣,0,义乌市增绩电子商务商行,订单结算
2026-04-20 01:23:45,'2026042001233736835335748792,入账,0.56,聚合账户,货款结算入账,小店自卖,'6952030917380347304,'6952030917380347304,'SS76296663838194409300114,2026-04-13 18:02:33,'3795714795936809351,疯狂动物城卡通甜美少女刘海侧边夹可爱爪爪冰棍发夹粉色猫爪发夹,,,普通订单,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,是-商品卡免佣,0,义乌市增绩电子商务商行,订单结算
2026-04-20 01:23:45,'2026042001233425097674508792,入账,7.62,聚合账户,货款结算入账,小店自卖,'6925578260317175709,'6925578260317175709,'SS76295971059756075790218,2026-04-14 07:27:33,'3706795469406601354,可爱少女皮筋头绳蝴蝶不伤发水晶高档双头皮筋长绳兔子扎头发发圈,,,普通订单,7.67,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0,0,0,0,0,是-商品卡免佣,0.37,义乌市增绩电子商务商行,订单结算
2026-04-20 01:23:45,'2026042001233437673868998792,入账,5.92,聚合账户,货款结算入账,小店自卖,'6951952320528390117,'6951952320528390117,'SS76295992885535872260207,2026-04-10 09:37:47,'3706795469406601354,可爱少女皮筋头绳蝴蝶不伤发水晶高档双头皮筋长绳兔子扎头发发圈,,,普通订单,5.96,0,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,义乌市增绩电子商务商行,订单结算
2026-04-20 01:23:45,'2026042001233210081244668792,入账,3.17,聚合账户,货款结算入账,小店自卖,'6925544278314286758,'6925544278314286758,'SS76296259135258954590010,2026-04-12 17:27:43,'3809971501764051407,2026新款珍珠精致感百搭一字夹后脑勺高级感扭扭夹大号发量多发卡,,,普通订单,3.19,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市增绩电子商务商行,订单结算
2026-04-20 01:23:45,'2026042001233719012815788792,入账,3.28,聚合账户,货款结算入账,小店自卖,'6952024842316944688,'6952024842316944688,'SS76297260386705782110041,2026-04-12 20:47:54,'3809955898114310432,可爱小黄鸡发圈萌系扎发神器黑色发绳扎头发皮筋儿童卡子卖萌头饰,,,普通订单,3.3,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市增绩电子商务商行,订单结算
2026-04-20 01:37:23,'2026042001371732474401748792,入账,0.56,聚合账户,货款结算入账,小店自卖,'6925571963365129347,'6925571963365129347,'SS76296119110926666640013,2026-04-13 11:20:53,'3795714795936809351,疯狂动物城卡通甜美少女刘海侧边夹可爱爪爪冰棍发夹粉色猫爪发夹,,,普通订单,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,是-商品卡免佣,0,义乌市增绩电子商务商行,订单结算
2026-04-20 01:42:26,'2026042001422015025608118792,入账,5.85,聚合账户,货款结算入账,小店自卖,'6925471461598002818,'6925471461598002818,'SS76295533246317205020205,2026-04-09 18:59:24,'3634805066835344609,新款高弹力糖果色圆珠发圈简约透明可爱女生扎头发橡皮筋发圈洋气,,,普通订单,5.89,0,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,义乌市增绩电子商务商行,订单结算
