动账时间,动帐流水号,动账方向,动账金额,动账账户,动账场景,计费类型,子订单号,订单号,售后编号,下单时间,商品ID,商品名称,达人ID,达人名称,订单类型,订单实付应结,运费实付,实际平台补贴_运费,实际平台补贴,其他平台补贴,以旧换新抵扣,政府补贴平台垫资,实际达人补贴,实际抖音支付补贴,实际抖音月付营销补贴,银行补贴,订单退款,平台服务费,佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,是否免佣,免佣金额,商户主体名称,备注
2026-04-20 01:16:08,'2026042001160205297935768659,入账,5.77,聚合账户,货款结算入账,小店自卖,'6925298155309662068,'6925298155309662068,'SS76270657943418314500229,2026-04-02 15:18:09,'3795484224912490696,可爱少女棉花糖猫碎发贴魔术贴无痕发饰甜美kitty少女可爱无痕碎,,,普通订单,5.8,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市唬廉电子商务商行（个体工商户）,订单结算
2026-04-20 01:16:08,'2026042001160117709512088659,入账,5.91,聚合账户,货款结算入账,小店自卖,'6952066451028776158,'6952066451028776158,'SS76296694002496801630023,2026-04-15 07:45:30,'3791631306379624508,可爱蝴蝶结小猫无痕少女刘海贴魔术贴发饰蝴蝶结飘带超长超仙发饰,,,普通订单,5.95,0,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,义乌市唬廉电子商务商行（个体工商户）,订单结算
2026-04-20 01:16:08,'2026042001160128445417488659,入账,3.89,聚合账户,货款结算入账,小店自卖,'6925352329491151907,'6925352329491151907,'SS76295542746749504000203,2026-04-04 21:38:24,'3746535990131556483,头发夹小雏菊抓夹成人亚克力发饰头饰发夹上档次闪钻发饰网红,,,普通订单,3.91,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市唬廉电子商务商行（个体工商户）,订单结算
2026-04-20 01:16:08,'2026042001160205286141798659,入账,3.62,聚合账户,货款结算入账,小店自卖,'6925418630678937491,'6925418630678937491,'SS76269942238332848900169,2026-04-07 09:32:31,'3795484224912490696,可爱少女棉花糖猫碎发贴魔术贴无痕发饰甜美kitty少女可爱无痕碎,,,普通订单,3.64,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市唬廉电子商务商行（个体工商户）,订单结算
2026-04-20 01:16:08,'2026042001160205297771928659,入账,3.89,聚合账户,货款结算入账,小店自卖,'6951936981690488644,'6951936981690488644,'SS76295998348109256030058,2026-04-10 11:21:59,'3746535990131556483,头发夹小雏菊抓夹成人亚克力发饰头饰发夹上档次闪钻发饰网红,,,普通订单,3.91,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市唬廉电子商务商行（个体工商户）,订单结算
2026-04-20 01:26:22,'2026042001261527987811848659,入账,5.77,聚合账户,货款结算入账,小店自卖,'6951888891464389678,'6951888891464389678,'SS76271282302062802340027,2026-04-08 07:26:37,'3795484224912490696,可爱少女棉花糖猫碎发贴魔术贴无痕发饰甜美kitty少女可爱无痕碎,,,普通订单,5.8,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市唬廉电子商务商行（个体工商户）,订单结算
2026-04-20 01:26:22,'2026042001261312091725148659,入账,2.6,聚合账户,货款结算入账,小店自卖,'6925485532871228793,'6925485532871228793,'SS76296191022113595230175,2026-04-10 12:31:05,'3776980011060429017,气质百搭抓夹繁星镶钻鲨鱼夹发量少半扎发夹子可爱后脑勺发饰女,,,普通订单,2.62,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市唬廉电子商务商行（个体工商户）,订单结算
2026-04-20 01:26:22,'2026042001261418418897928659,入账,5.87,聚合账户,货款结算入账,小店自卖,'6951960982698071988,'6951960982697940916,'SS76296073081086285260196,2026-04-10 10:28:22,'3799234390622601578,新款2026甜酷可爱高级感侧边刘海夹鸭嘴夹女高颜值蝴蝶结迷你发夹,,,普通订单,5.91,0,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,义乌市唬廉电子商务商行（个体工商户）,订单结算
2026-04-20 01:26:22,'2026042001261311128386718659,入账,5.87,聚合账户,货款结算入账,小店自卖,'6951934567148885868,'6951934567148885868,'SS76295965396163791620126,2026-04-10 10:23:50,'3799234390622601578,新款2026甜酷可爱高级感侧边刘海夹鸭嘴夹女高颜值蝴蝶结迷你发夹,,,普通订单,5.91,0,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,义乌市唬廉电子商务商行（个体工商户）,订单结算
2026-04-20 03:11:29,'2026042003112529404040318659,入账,3.76,聚合账户,货款结算入账,小店自卖,'6925319625384099026,'6925319625384099026,'SS76270637797521334160051,2026-04-02 17:52:32,'3795484224912490696,可爱少女棉花糖猫碎发贴魔术贴无痕发饰甜美kitty少女可爱无痕碎,,,普通订单,3.78,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市唬廉电子商务商行（个体工商户）,订单结算
