动账时间,动帐流水号,动账方向,动账金额,动账账户,动账场景,计费类型,子订单号,订单号,售后编号,下单时间,商品ID,商品名称,达人ID,达人名称,订单类型,订单实付应结,运费实付,实际平台补贴_运费,实际平台补贴,其他平台补贴,以旧换新抵扣,政府补贴平台垫资,实际达人补贴,实际抖音支付补贴,实际抖音月付营销补贴,银行补贴,订单退款,平台服务费,佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,是否免佣,免佣金额,商户主体名称,备注
2026-04-20 01:34:06,'2026042001340023386895865233,入账,4.14,聚合账户,货款结算入账,小店自卖,'6951558647246624733,'6951558647246297053,'SS76296392568516654590097,2026-03-25 14:10:05,'3809061451906286029,韩系扁头百搭小野氛围波点蝴蝶结抓夹鲨鱼夹半扎发夹气质发饰头饰,,,普通订单,4.16,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市羚絮电子商务商行（个体工商户）,订单结算
2026-04-20 01:35:23,'2026042001351711256630265233,入账,10.74,聚合账户,货款结算入账,小店自卖,'6951558647246428125,'6951558647246297053,'SS76296392668680363880246,2026-03-25 14:10:05,'3809969745080484499,高级感缎面波点蝴蝶结发夹复古优雅气质香蕉夹小众时尚百搭发饰女,,,普通订单,10.8,0,0,0,0,0,0,0,0,0,0,0,-0.06,0,0,0,0,0,0,是-商品卡免佣,0.44,义乌市羚絮电子商务商行（个体工商户）,订单结算
2026-04-20 01:38:23,'2026042001381821147819945233,入账,5.55,聚合账户,货款结算入账,小店自卖,'6925119267700965327,'6925119267700965327,'SS76296052783836536700023,2026-03-25 10:31:22,'3809969745080484499,高级感缎面波点蝴蝶结发夹复古优雅气质香蕉夹小众时尚百搭发饰女,,,普通订单,5.58,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市羚絮电子商务商行（个体工商户）,订单结算
2026-04-20 02:33:52,'2026042002334611375911035233,入账,11.73,聚合账户,货款结算入账,小店自卖,'6951558647246297053,'6951558647246297053,'SS76296392664122537380215,2026-03-25 14:10:05,'3810369076166000687,高级感发箍女网红2026新款高颅顶洗脸专用头箍压发卡秋冬发捆头饰,,,普通订单,11.8,0,0,0,0,0,0,0,0,0,0,0,-0.07,0,0,0,0,0,0,是-商品卡免佣,0.51,义乌市羚絮电子商务商行（个体工商户）,订单结算
2026-04-20 03:17:41,'2026042003173634069547795233,入账,6.36,聚合账户,货款结算入账,小店自卖,'6951566999211348993,'6951566999211021313,'SS76295541497486707660205,2026-03-25 10:04:46,'3809604060802318562,韩系格子最新款大肠发圈2026高级慵懒风扎方形头发头绳大号发饰,,,普通订单,6.4,0,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,义乌市羚絮电子商务商行（个体工商户）,订单结算
2026-04-20 03:17:41,'2026042003173414104376705233,入账,5.85,聚合账户,货款结算入账,小店自卖,'6951551354876859393,'6951551354876859393,'SS76296039351745910160089,2026-03-25 10:38:25,'3809964105687761181,可爱小粉猪发圈萌系扎发神器黑色发绳扎头发皮筋儿童卡子卖萌头饰,,,普通订单,5.89,0,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,义乌市羚絮电子商务商行（个体工商户）,订单结算
2026-04-20 03:17:41,'2026042003173811927229955233,入账,3.69,聚合账户,货款结算入账,小店自卖,'6951551354876924929,'6951551354876859393,'SS76296039274827658760003,2026-03-25 10:38:25,'3809617877695332547,豹纹Hello Kitty香蕉夹甜酷少女风卡通发饰 小众设计感扎马尾配饰,,,普通订单,3.71,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市羚絮电子商务商行（个体工商户）,订单结算
2026-04-20 03:17:41,'2026042003173614772024785233,入账,3.53,聚合账户,货款结算入账,小店自卖,'6951574113051482028,'6951574113051482028,'SS76295512819673997060209,2026-03-25 17:13:42,'3807578683208761440,可爱蝴蝶结小猫无痕刘海魔术发饰少女前额侧边kt星星发贴整理神器,,,普通订单,0.01,0,0,3.54,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市羚絮电子商务商行（个体工商户）,订单结算
2026-04-20 03:17:42,'2026042003173713475678815233,入账,6.13,聚合账户,货款结算入账,小店自卖,'6925119267701293007,'6925119267700965327,'SS76296052892763266900160,2026-03-25 10:31:22,'3809021004026610061,秋冬金碧辉煌高级水钻珠珠高颜值轻奢半扎抓夹小号2026新款头饰,,,普通订单,6.17,0,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,义乌市羚絮电子商务商行（个体工商户）,订单结算
2026-04-20 03:18:40,'2026042003183510792803845233,入账,4.33,聚合账户,货款结算入账,小店自卖,'6951566999211021313,'6951566999211021313,'SS76295541430452554740237,2026-03-25 10:04:46,'3809021004026610061,秋冬金碧辉煌高级水钻珠珠高颜值轻奢半扎抓夹小号2026新款头饰,,,普通订单,4.36,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市羚絮电子商务商行（个体工商户）,订单结算
