动账时间,动帐流水号,动账方向,动账金额,动账账户,动账场景,计费类型,子订单号,订单号,售后编号,下单时间,商品ID,商品名称,达人ID,达人名称,订单类型,订单实付应结,运费实付,实际平台补贴_运费,实际平台补贴,其他平台补贴,以旧换新抵扣,政府补贴平台垫资,实际达人补贴,实际抖音支付补贴,实际抖音月付营销补贴,银行补贴,订单退款,平台服务费,佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,是否免佣,免佣金额,商户主体名称,备注
2026-04-20 01:19:53,'2026042001194303067415104242,入账,5.53,聚合账户,货款结算入账,小店自卖,'6952075962579621412,'6952075962579621412,'SS76296040308386368360111,2026-04-15 14:50:54,'3797358013866705284,美拉德咖色波浪高颅顶发箍女款日常外戴头箍带齿防滑洗脸压发发卡,,,普通订单,5.82,0,0,0,0,0,0,0,0,0,0,0,-0.29,0,0,0,0,0,0,,0,义乌市蓓行电子商务商行（个体工商户）,订单结算
2026-04-20 01:19:53,'2026042001194214439757434242,入账,3.54,聚合账户,货款结算入账,小店自卖,'6925558267471887522,'6925558267471887522,'SS76297185776540226560217,2026-04-12 21:56:21,'3801832059815723099,懒人公主头编发夹女前额双层侧边夹子刘海碎发编发发夹鸭嘴夹发卡,,,普通订单,3.56,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市蓓行电子商务商行（个体工商户）,订单结算
2026-04-20 01:19:53,'2026042001194318093022914242,入账,3.2,聚合账户,货款结算入账,小店自卖,'6925474927005040247,'6925474927005040247,'SS76296163604436751360017,2026-04-10 05:00:21,'3807779006917509157,迷你小号精致蝴蝶结鸭嘴夹发夹侧边小夹子碎发夹刘海夹高级感发卡,,,普通订单,3.22,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市蓓行电子商务商行（个体工商户）,订单结算
2026-04-20 01:19:53,'2026042001194537580972064242,入账,2.86,聚合账户,货款结算入账,小店自卖,'6951934620833027506,'6951934620833027506,'SS76296068647408437760158,2026-04-10 10:32:44,'3799223013136794088,低马尾发饰红色格纹花朵发圈儿童秋冬植绒发绳可爱卡通丸子头皮筋,,,普通订单,2.88,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市蓓行电子商务商行（个体工商户）,订单结算
2026-04-20 01:19:53,'2026042001194824051392194242,入账,6.26,聚合账户,货款结算入账,小店自卖,'6951951922220766359,'6951951922220766359,'SS76295522068568847760048,2026-04-10 00:02:00,'3798263450837320143,儿童是兔子警官可爱兔子帽子发夹边夹侧边发卡女卡通甜美拍照道具,,,普通订单,6.3,0,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,义乌市蓓行电子商务商行（个体工商户）,订单结算
2026-04-20 01:19:53,'2026042001194438553690034242,入账,2.86,聚合账户,货款结算入账,小店自卖,'6925480634841399239,'6925480634841399239,'SS76296156350935867070229,2026-04-10 00:18:07,'3808130558396072095,缎面蝴蝶结香蕉夹竖夹女高级感饱满后脑勺马尾夹气质百搭发夹发饰,,,普通订单,2.88,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市蓓行电子商务商行（个体工商户）,订单结算
2026-04-20 01:19:53,'2026042001194629700595564242,入账,3.7,聚合账户,货款结算入账,巨量千川,'6925545414381633053,'6925545414381633053,'SS76295143242434808730061,2026-04-13 02:17:08,'3807220077028311460,【超显气质】简约不硌头扭扭夹发夹女2026新款盘发抓夹高级感水钻珠珠一字夹子,,,普通订单,3.89,0,0,0,0,0,0,0,0,0,0,0,-0.19,0,0,0,0,0,0,,0,义乌市蓓行电子商务商行（个体工商户）,订单结算
2026-04-20 01:19:53,'2026042001194422951370784242,入账,3.7,聚合账户,货款结算入账,巨量千川,'6925469920952614466,'6925469920952614466,'SS76295936885446745700167,2026-04-10 00:19:36,'3807220077028311460,【超显气质】简约不硌头扭扭夹发夹女2026新款盘发抓夹高级感水钻珠珠一字夹子,,,普通订单,3.89,0,0,0,0,0,0,0,0,0,0,0,-0.19,0,0,0,0,0,0,,0,义乌市蓓行电子商务商行（个体工商户）,订单结算
2026-04-20 01:19:54,'2026042001194610027054424242,出账,0.01,聚合账户,公益捐款,,'6951951922220766359,'6951951922220766359,,,,,,,普通订单,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,义乌市蓓行电子商务商行（个体工商户）,公益捐款支出|贵州省慈善总会|6951951922220766359
2026-04-20 01:33:12,'2026042001330433638648824242,出账,0.01,聚合账户,公益捐款,,'6925480634841399239,'6925480634841399239,,,,,,,普通订单,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,义乌市蓓行电子商务商行（个体工商户）,公益捐款支出|贵州省慈善总会|6925480634841399239
