动账时间,动帐流水号,动账方向,动账金额,动账账户,动账场景,计费类型,子订单号,订单号,售后编号,下单时间,商品ID,商品名称,达人ID,达人名称,订单类型,订单实付应结,运费实付,实际平台补贴_运费,实际平台补贴,其他平台补贴,以旧换新抵扣,政府补贴平台垫资,实际达人补贴,实际抖音支付补贴,实际抖音月付营销补贴,银行补贴,订单退款,平台服务费,佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,是否免佣,免佣金额,商户主体名称,备注
2026-04-20 01:27:34,'2026042001272540864486468849,入账,8.38,聚合账户,货款结算入账,小店自卖,'6925496743753449425,'6925496743753449425,'SS76296601260264821760042,2026-04-10 13:55:29,'3694037090888188056,新款发梳百搭花朵发夹可爱小女孩后脑勺插梳刘海碎发神器前额发卡,,,普通订单,8.82,0,0,0,0,0,0,0,0,0,0,0,-0.44,0,0,0,0,0,0,,0,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-20 01:27:34,'2026042001272820178870168849,入账,8.86,聚合账户,货款结算入账,小店自卖,'6951593107002693296,'6951593107002693296,'SS76296222577114854900216,2026-03-26 14:29:13,'3666978440441102435,时尚懒人鸟巢盘发器后脑勺高马尾抓夹丸子头盘发发抓发夹头饰简约,,,普通订单,8.91,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0,0,0,0,0,是-商品卡免佣,0.37,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-20 01:27:34,'2026042001272734729170468849,入账,2.44,聚合账户,货款结算入账,小店自卖,'6925496868882841189,'6925496868882841189,'SS76296605600406574180008,2026-04-10 15:13:55,'3780867877800903550,韩版发量多盘发夹子韩式亮面豹纹鲨鱼夹网红南瓜抓夹简约百搭发饰,,,普通订单,2.45,0,0,0,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,0,0,是-商品卡免佣,0.07,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-20 01:40:53,'2026042001404735407301128849,入账,1.87,聚合账户,货款结算入账,小店自卖,'6951947137046747045,'6951947137046747045,'SS76295535600363277060078,2026-04-09 22:46:37,'3776957078183215171,红蓝撞色~韩系百搭花朵发夹侧边刘海夹女甜美气质前额碎发鸭嘴夹,,,普通订单,1.88,0,0,0,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,0,0,是-商品卡免佣,0.07,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-20 01:40:53,'2026042001404721987822508849,入账,4.65,聚合账户,货款结算入账,小店自卖,'6925472076155551188,'6925472076155551188,'SS76295535208220309110110,2026-04-09 22:55:05,'3768810201629720709,可爱卡通蕾丝条纹蝴蝶结抓夹女爆款发量多发夹后脑勺高级感鲨鱼夹,,,普通订单,4.68,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-20 01:40:53,'2026042001404636034647568849,入账,6.56,聚合账户,货款结算入账,小店自卖,'6952041009314731452,'6952041009314731452,'SS76296768210341404420250,2026-04-13 07:49:11,'3689374783545409620,ins风发饰儿童发夹少女韩版色网红碎发夹边夹刘海夹学生bb夹头饰,,,普通订单,6.6,0,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-20 03:29:08,'2026042003290240435921988849,入账,3.83,聚合账户,货款结算入账,小店自卖,'6951968452622685219,'6951968452622685219,'SS76296597449652641550137,2026-04-10 16:54:15,'3670287231806996802,发卡女2024新款洗脸专用碎发发饰压发夹带齿黑色头饰架高颅顶发饰,,,普通订单,3.85,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-20 03:29:08,'2026042003290324790965958849,入账,7.79,聚合账户,货款结算入账,小店自卖,'6951941211713311776,'6951941211713311776,'SS76296601167401620570168,2026-04-10 09:30:43,'3674589934355874139,儿童发梳2024年新款碎发神器发卡小女孩刘海梳女童后脑勺可爱插梳,,,普通订单,7.84,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0,0,0,0,0,是-商品卡免佣,0.37,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-20 03:29:08,'2026042003290433136809328849,入账,2.93,聚合账户,货款结算入账,小店自卖,'6951956656698365719,'6951956656698365719,'SS76296147498018452840150,2026-04-10 10:40:53,'3670287231806996802,发卡女2024新款洗脸专用碎发发饰压发夹带齿黑色头饰架高颅顶发饰,,,普通订单,2.95,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-20 03:29:08,'2026042003290406005601788849,入账,5.22,聚合账户,货款结算入账,小店自卖,'6925482426476035865,'6925482426476035865,'SS76296168037566057470221,2026-04-09 20:40:10,'3762866147255517423,2025爆款可爱搞怪扭扭棒大眼仔蓝色洗脸发箍女头箍洗脸发卡发饰,,,普通订单,0.25,0,0,5,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市贯圳电子商务商行（个体工商户）,订单结算
