动账时间,动帐流水号,动账方向,动账金额,动账账户,动账场景,计费类型,子订单号,订单号,售后编号,下单时间,商品ID,商品名称,达人ID,达人名称,订单类型,订单实付应结,运费实付,实际平台补贴_运费,实际平台补贴,其他平台补贴,以旧换新抵扣,政府补贴平台垫资,实际达人补贴,实际抖音支付补贴,实际抖音月付营销补贴,银行补贴,订单退款,平台服务费,佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,是否免佣,免佣金额,商户主体名称,备注
2026-04-20 01:23:07,'2026042001230106218222443135,入账,5.69,聚合账户,货款结算入账,小店自卖,'6925479412555545669,'6925479412555545669,'SS76295998292489877110207,2026-04-10 09:51:09,'3795520547341861089,可爱网红爆款抓夹大号韩国2026新款气质高级感夹子后脑勺发夹鲨鱼,,,普通订单,5.72,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市绩妨电子商务商行（个体工商户）,订单结算
2026-04-20 01:23:07,'2026042001225638524564993135,入账,3.35,聚合账户,货款结算入账,小店自卖,'6951945236653610944,'6951945236653610944,'SS76296311737324017180050,2026-04-09 22:16:56,'3799054266094715138,明星同款高颅顶圆形金属发扣刘海发夹女前额侧边夹水钻发卡头饰,,,普通订单,3.37,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市绩妨电子商务商行（个体工商户）,订单结算
2026-04-20 01:23:07,'2026042001225822028291103135,入账,10.05,聚合账户,货款结算入账,小店自卖,'6925489896378498689,'6925489896378498689,'SS76296691755809513150122,2026-04-10 13:02:26,'3794924176024928741,秋冬韩版新款毛绒抓夹女时尚百搭发夹后脑勺高级感鲨鱼夹头饰饰品,,,普通订单,10.11,0,0,0,0,0,0,0,0,0,0,0,-0.06,0,0,0,0,0,0,是-商品卡免佣,0.44,义乌市绩妨电子商务商行（个体工商户）,订单结算
2026-04-20 01:23:07,'2026042001225802022121323135,入账,6.83,聚合账户,货款结算入账,小店自卖,'6925558606710341053,'6925558606710341053,'SS76295477631136568730171,2026-04-13 00:01:13,'3753196200287928774,新款水钻发夹珍珠发卡蝴蝶结碎发夹子女ins森女系简约高颜值夹子,,,普通订单,6.87,0,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,义乌市绩妨电子商务商行（个体工商户）,订单结算
2026-04-20 01:23:07,'2026042001225607564211583135,入账,3.25,聚合账户,货款结算入账,小店自卖,'6951970763769976205,'6951970763769976205,'SS76295473217598100860187,2026-04-10 19:28:13,'3794924176024928741,秋冬韩版新款毛绒抓夹女时尚百搭发夹后脑勺高级感鲨鱼夹头饰饰品,,,普通订单,3.27,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市绩妨电子商务商行（个体工商户）,订单结算
2026-04-20 01:23:07,'2026042001225641231490923135,入账,2.37,聚合账户,货款结算入账,小店自卖,'6925494659328605242,'6925494659328605242,'SS76296597400124134490115,2026-04-10 16:31:35,'3796308192821117112,法式秋冬新款郁金香丸子夹气质时尚优雅网纱云朵中号抓夹发夹头饰,,,普通订单,2.38,0,0,0,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,0,0,是-商品卡免佣,0.07,义乌市绩妨电子商务商行（个体工商户）,订单结算
2026-04-20 01:23:07,'2026042001225840313820433135,入账,3.18,聚合账户,货款结算入账,小店自卖,'6951952500206998560,'6951952500206998560,'SS76295941641662018900219,2026-04-10 11:18:48,'3807027924318683203,2026新款珍珠精致感百搭一字夹后脑勺高级大号发量多发卡女式发夹,,,普通订单,3.2,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市绩妨电子商务商行（个体工商户）,订单结算
2026-04-20 01:36:30,'2026042001362229543675383135,入账,5.26,聚合账户,货款结算入账,小店自卖,'6952057545309034003,'6952057545309034003,'SS76296535389222671860242,2026-04-13 20:33:12,'3795893618946998751,韩版轻奢花朵珠珠抓夹新款女高级感中号发夹后脑勺盘发鲨鱼夹头饰,,,普通订单,5.29,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市绩妨电子商务商行（个体工商户）,订单结算
2026-04-20 01:36:30,'2026042001362335457927953135,入账,7.51,聚合账户,货款结算入账,小店自卖,'6925591322162265677,'6925591322162265677,'SS76297035611270026340110,2026-04-14 11:59:54,'3704006560519946376,蝴蝶香蕉女大号新款高级甜美发夹夹子头饰发卡鲨鱼法式女款,,,普通订单,7.56,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0,0,0,0,0,是-商品卡免佣,0.37,义乌市绩妨电子商务商行（个体工商户）,订单结算
2026-04-20 01:36:30,'2026042001362425763354103135,入账,2.54,聚合账户,货款结算入账,小店自卖,'6952012358167631264,'6952012358167631264,'SS76296488800076436840240,2026-04-12 22:48:11,'3795520547341861089,可爱网红爆款抓夹大号韩国2026新款气质高级感夹子后脑勺发夹鲨鱼,,,普通订单,2.56,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市绩妨电子商务商行（个体工商户）,订单结算
