日志时间,自运行起秒,账号,页面,阶段,键/标签,动作,结果,是否成功
2026-04-21 10:01:07,2.814,伊一优选百货,globalAccountLoop,nav,goto,open_url,https://fxg.jinritemai.com/ffa/mshop/homepage/index,是
2026-04-21 10:01:20,16.058,伊一优选百货,globalAccountLoop,account,switch,switchAccount,已切换店铺: 伊一优选百货（CSS 流程）,是
2026-04-21 10:01:25,21.282,伊一优选百货,fxg_mshop_home,nav,goto,open_url,https://compass.jinritemai.com/shop,是
2026-04-21 10:01:36,32.417,伊一优选百货,fxg_mshop_home,field,经营概况整块文本,extract:text,"成交金额
¥253.87
昨日
¥1,017.54
同行基准
¥533
用户支付金额
¥194.55
昨日
¥732.98
同行基准
¥502.55
结算金额
¥242.42
昨日
¥942.37
同行基准
¥479.2
客单价
¥3.60
昨日
¥3.47
同行基准
¥15.89
成交订单数
55
昨日
214
同行标杆
164
商品曝光人数
7,878
昨日
3.57万
同行标杆
4.5万
商品点击人数
494
昨日
2,228
同行标杆
1,572
成交人数
54
昨日
211
同行标杆
139
退款金额（退款时间）
¥8.50
昨日
¥101.39
同行顶尖
¥0
退款金额（支付时间）
¥8.50
昨日
¥74.04
同行标杆
¥0
退款率（支付时间）
4.37%
昨日
10.1%
同行标杆
0%
成交退款金额（退款时间）
¥11.45
昨日
¥104.47
同行顶尖
¥0
退款订单数（退款时间）
3
昨日
29
同行标杆
1
退款订单数（支付时间）
3
昨日
20
同行标杆
0
商品曝光-点击转化率（人数）
6.27%
昨日
6.24%
同行标杆
20.37%
商品点击-成交转化率（人数）
10.93%
昨日
9.47%
同行标杆
20.78%  ← #root > div.homepageWrapper-zxLmZT > div > dynamic-module-wrapper:nth-child(1) > div > div > div.coreContent-J7jCZG > div.businessDataWrap-LUgNmI > div:nth-child(1) > div > div.ecom-spin-nested-loading > div > div:nth-child(1)",是
2026-04-21 10:01:38,33.804,伊一优选百货,fxg_aftersale_fund_detail_bill,nav,goto,open_url,https://fxg.jinritemai.com/ffa/fxg-bill/fund-detail-bill,是
2026-04-21 10:01:44,40.151,伊一优选百货,fxg_aftersale_fund_detail_bill,interaction,fund_detail_date_range,dateRange,auxoCalendarPick: 已点选起止均为 2026-04-20,是
2026-04-21 10:01:50,45.726,伊一优选百货,fxg_aftersale_fund_detail_bill,interaction,fund_detail_click_generate_report,click,#rc-tabs-0-panel-FUND_DETAIL_BILL > div > div.auxo-pro-table.custom-style-gray.auxo-pro-table-combined > div.auxo-pro-table-wrapper > div > div.auxo-pro-table-list-toolbar > div > div.auxo-space.auxo-space-horizontal.auxo-space-align-center.auxo-pro-table-list-toolbar-right > div > div > div > button,是
2026-04-21 10:01:51,46.853,伊一优选百货,fxg_aftersale_fund_detail_bill,interaction,confirm_fund_detail_generate,click,div.auxo-popover-inner div.auxo-popover-buttons button.auxo-btn-primary.auxo-btn-sm,是
2026-04-21 10:01:54,49.582,伊一优选百货,fxg_bill_history_report,nav,goto,skip_same_url,https://fxg.jinritemai.com/ffa/fxg-bill/history-report,是
2026-04-21 10:01:56,51.910,伊一优选百货,fxg_bill_history_report,interaction,export_bill_history_top,click+download,D:\Program Files (x86)\fff2_dianshang\output\抖店数据提取_20260421_100103_d80a469a\downloads\伊一优选百货_DL202604211001471216348426.csv,是
