动账时间,动帐流水号,动账方向,动账金额,动账账户,动账场景,计费类型,子订单号,订单号,售后编号,下单时间,商品ID,商品名称,达人ID,达人名称,订单类型,订单实付应结,运费实付,实际平台补贴_运费,实际平台补贴,其他平台补贴,以旧换新抵扣,政府补贴平台垫资,实际达人补贴,实际抖音支付补贴,实际抖音月付营销补贴,银行补贴,订单退款,平台服务费,佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,是否免佣,免佣金额,商户主体名称,备注
2026-04-20 01:22:53,'2026042001224727221530027642,入账,3.7,聚合账户,货款结算入账,小店自卖,'6951977887941269003,'6951977887941269003,'SS76296521804501819150226,2026-04-10 23:25:19,'3809808466911035670,豹纹镂空云朵抓夹女高级感2026新款秋冬发量大后脑勺鲨鱼夹子发饰,,,普通订单,3.72,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市郑意玩具厂（个体工商户）,订单结算
2026-04-20 01:22:53,'2026042001224614764121667642,入账,5.47,聚合账户,货款结算入账,小店自卖,'6951814009344497635,'6951814009344497635,'SS76270458496134192730232,2026-04-05 14:57:27,'3806828354544468284,可爱蝴蝶结小猫无痕刘海贴魔术贴发饰少女前额侧边碎发贴整理神器,,,普通订单,5.5,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市郑意玩具厂（个体工商户）,订单结算
2026-04-20 01:52:45,'2026042001523903443100707642,入账,4.53,聚合账户,货款结算入账,小店自卖,'6951946846209447627,'6951946846209447627,'SS76295533746627425380000,2026-04-09 20:25:19,'3811113617319920049,森系干枯山茶花朵7cm小抓夹 百搭气质发夹女后脑勺超仙鲨夹发饰,,,普通订单,4.56,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市郑意玩具厂（个体工商户）,订单结算
2026-04-20 01:52:45,'2026042001523922615006987642,入账,2.97,聚合账户,货款结算入账,小店自卖,'6925539850052074999,'6925539850052074999,'SS76296645885643988980090,2026-04-12 17:20:42,'3811113617319920049,森系干枯山茶花朵7cm小抓夹 百搭气质发夹女后脑勺超仙鲨夹发饰,,,普通订单,2.99,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市郑意玩具厂（个体工商户）,订单结算
2026-04-20 03:20:45,'2026042003204022082073797642,入账,4.53,聚合账户,货款结算入账,小店自卖,'6925462255149809104,'6925462255149809104,'SS76295519051403103100009,2026-04-09 17:40:47,'3811113617319920049,森系干枯山茶花朵7cm小抓夹 百搭气质发夹女后脑勺超仙鲨夹发饰,,,普通订单,4.56,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市郑意玩具厂（个体工商户）,订单结算
2026-04-20 03:21:00,'2026042003205612418096907642,入账,4.33,聚合账户,货款结算入账,小店自卖,'6951952745488914009,'6951952745488914009,'SS76296509022070707260019,2026-04-10 14:17:47,'3811113617319920049,森系干枯山茶花朵7cm小抓夹 百搭气质发夹女后脑勺超仙鲨夹发饰,,,普通订单,4.56,0,0,0,0,0,0,0,0,0,0,0,-0.23,0,0,0,0,0,0,,0,义乌市郑意玩具厂（个体工商户）,订单结算
2026-04-20 03:21:00,'2026042003205603823209477642,入账,2.83,聚合账户,货款结算入账,小店自卖,'6952053468280919245,'6952053468280919245,'SS76295381490364298600250,2026-04-13 20:09:44,'3809073142689824794,黑灰格纹蝴蝶结发圈韩系高端发饰头绳2026新款质感布艺肠圈发绳女,,,普通订单,2.85,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市郑意玩具厂（个体工商户）,订单结算
2026-04-20 03:21:00,'2026042003205433310028907642,入账,4.33,聚合账户,货款结算入账,小店自卖,'6951942436419737367,'6951942436419737367,'SS76295533337456972950227,2026-04-09 19:41:40,'3811113617319920049,森系干枯山茶花朵7cm小抓夹 百搭气质发夹女后脑勺超仙鲨夹发饰,,,普通订单,1.1,0,0,3.46,0,0,0,0,0,0,0,0,-0.23,0,0,0,0,0,0,,0,义乌市郑意玩具厂（个体工商户）,订单结算
2026-04-20 03:21:01,'2026042003205615232376737642,入账,3.26,聚合账户,货款结算入账,小店自卖,'6925548475619441689,'6925548475619441689,'SS76296403479418642440143,2026-04-12 15:40:42,'3807348857336102969,迷你小号鸭嘴夹发夹侧边小夹子精致蝴蝶结碎发夹刘海夹高级感发卡,,,普通订单,1.08,0,0,2.35,0,0,0,0,0,0,0,0,-0.17,0,0,0,0,0,0,,0,义乌市郑意玩具厂（个体工商户）,订单结算
2026-04-20 03:21:01,'2026042003205427600041597642,入账,3.7,聚合账户,货款结算入账,小店自卖,'6925558665243884562,'6925558665243884562,'SS76294193786650956800058,2026-04-13 00:25:42,'3809808466911035670,豹纹镂空云朵抓夹女高级感2026新款秋冬发量大后脑勺鲨鱼夹子发饰,,,普通订单,3.72,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市郑意玩具厂（个体工商户）,订单结算
