动账时间,动帐流水号,动账方向,动账金额,动账账户,动账场景,计费类型,子订单号,订单号,售后编号,下单时间,商品ID,商品名称,达人ID,达人名称,订单类型,订单实付应结,运费实付,实际平台补贴_运费,实际平台补贴,其他平台补贴,以旧换新抵扣,政府补贴平台垫资,实际达人补贴,实际抖音支付补贴,实际抖音月付营销补贴,银行补贴,订单退款,平台服务费,佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,是否免佣,免佣金额,商户主体名称,备注
2026-04-20 01:18:17,'2026042001180836926426233283,入账,5.66,聚合账户,货款结算入账,小店自卖,'6925467778125757590,'6925467778125757590,'SS76296579103473669530130,2026-04-09 22:05:08,'3811256588266766944,韩版发绳高弹力头绳橡皮筋高级新款发圈简约可爱无扎痕头饰发饰,,,普通订单,5.69,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市天籁电子商务商行（个体工商户）,订单结算
2026-04-20 01:18:17,'2026042001180717749775703283,入账,0.97,聚合账户,货款结算入账,小店自卖,'6952010118372005019,'6952010118372005019,'SS76296364364048634880136,2026-04-13 07:53:42,'3812757674873978944,2026抓夹高级感珠珠水钻发夹女夏天简约随手盘发一字扭扭夹盘发,,,普通订单,0.98,0,0,0,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,0,0,是-商品卡免佣,0.07,义乌市天籁电子商务商行（个体工商户）,订单结算
2026-04-20 01:28:52,'2026042001284600632141233283,入账,4.7,聚合账户,货款结算入账,小店自卖,'6952076878490834359,'6952076878490572215,'SS76297079465950415820192,2026-04-14 17:04:03,'3809573038236762270,日韩高级感蕾丝头花大肠发圈女2026新款波点发圈公主头饰马尾发饰,,,普通订单,4.73,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市天籁电子商务商行（个体工商户）,订单结算
2026-04-20 01:29:07,'2026042001290015651638263283,入账,3.5,聚合账户,货款结算入账,小店自卖,'6925462013172612981,'6925462013172350837,'SS76296056366416860660183,2026-04-09 15:28:06,'3810744767533416691,高级牡丹花流苏抓夹2026新款超洋气毛毛发夹后脑勺抓夹显发量发饰,,,普通订单,3.52,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市天籁电子商务商行（个体工商户）,订单结算
2026-04-20 01:29:07,'2026042001290013010537473283,入账,2.44,聚合账户,货款结算入账,小店自卖,'6951946486496695612,'6951946486496564540,'SS76296056499031580260242,2026-04-09 16:26:02,'3812757674873978944,2026抓夹高级感珠珠水钻发夹女夏天简约随手盘发一字扭扭夹盘发,,,普通订单,2.45,0,0,0,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,0,0,是-商品卡免佣,0.07,义乌市天籁电子商务商行（个体工商户）,订单结算
2026-04-20 01:29:07,'2026042001285928983465423283,入账,3.71,聚合账户,货款结算入账,小店自卖,'6925472994141896647,'6925472994141700039,'SS76296056507219648100108,2026-04-09 11:31:28,'3809266334622154873,新中式气质碎花多层大肠发圈皮筋女高级感丸子头复古发饰头绳百搭,,,普通订单,3.73,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市天籁电子商务商行（个体工商户）,订单结算
2026-04-20 01:29:07,'2026042001285920190497783283,入账,3.5,聚合账户,货款结算入账,小店自卖,'6925472994141962183,'6925472994141700039,'SS76296056563624348260229,2026-04-09 11:31:28,'3810744767533416691,高级牡丹花流苏抓夹2026新款超洋气毛毛发夹后脑勺抓夹显发量发饰,,,普通订单,3.52,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市天籁电子商务商行（个体工商户）,订单结算
2026-04-20 01:29:07,'2026042001285833351273223283,入账,2.56,聚合账户,货款结算入账,小店自卖,'6925645236840856620,'6925645236840856620,'SS76297090749186711190205,2026-04-16 12:30:10,'3812569128015888761,高颅顶慵懒风缎面波点海绵发箍复古ins韩系精致超仙网红头箍发饰,,,普通订单,2.58,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市天籁电子商务商行（个体工商户）,订单结算
2026-04-20 01:29:07,'2026042001285830272927353283,入账,7.67,聚合账户,货款结算入账,小店自卖,'6952032670626026537,'6952032670625698857,'SS76297278235777602710146,2026-04-13 12:11:57,'3813908743398228262,复古豹纹猫咪香蕉夹可爱暴击秋冬毛绒质感立体小熊马尾夹发夹新款,,,普通订单,7.72,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0,0,0,0,0,是-商品卡免佣,0.37,义乌市天籁电子商务商行（个体工商户）,订单结算
2026-04-20 01:29:07,'2026042001285925514314503283,入账,2.68,聚合账户,货款结算入账,小店自卖,'6925460192665631831,'6925460192665500759,'SS76296615735151211920214,2026-04-09 13:35:13,'3812796299682644426,新品五角星发夹发扣韩国少女甜美甜酷侧边刘海夹头顶前额固定卡子,,,普通订单,2.7,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市天籁电子商务商行（个体工商户）,订单结算
