日志时间,自运行起秒,账号,页面,阶段,键/标签,动作,结果,是否成功
2026-04-22 10:11:50,2.241,小缘发饰供应链,globalAccountLoop,nav,goto,open_url,https://fxg.jinritemai.com/ffa/mshop/homepage/index,是
2026-04-22 10:12:35,47.274,小缘发饰供应链,globalAccountLoop,account,switch,switchAccount,"当前页未出现抖店顶栏 #fxg-pc-header（45s）：Locator.wait_for: Timeout 45000ms exceeded.
Call log:
  - waiting for locator(""#fxg-pc-header"").first to be visible
；page.url='https://fxg.jinritemai.com/ffa/mshop/homepage/index'。请确认已登录抖店 PC 后台；若多标签请把抖店页置于优先或关闭干扰标签。脚本会优先选用已打开 fxg.jinritemai.com 的标签。",否
2026-04-22 10:12:37,49.584,熠熠生辉饰品屋,globalAccountLoop,nav,goto,open_url,https://fxg.jinritemai.com/ffa/mshop/homepage/index,是
2026-04-22 10:12:53,65.158,熠熠生辉饰品屋,globalAccountLoop,account,switch,switchAccount,已切换店铺: 熠熠生辉饰品屋（CSS 流程）,是
2026-04-22 10:12:57,69.229,熠熠生辉饰品屋,fxg_mshop_home,nav,goto,open_url,https://compass.jinritemai.com/shop,是
2026-04-22 10:13:52,124.288,熠熠生辉饰品屋,fxg_mshop_home,field,经营概况整块文本,extract:text,"Locator.wait_for: Timeout 12000ms exceeded.
Call log:
  - waiting for locator(""#homepage-sub-app-provider div[class*='coreContent'] div[class*='businessDataWrap'] > div:nth-child(1) > div > div.ecom-spin-nested-loading > div > div:nth-child(1)"").first to be visible
",否
2026-04-22 10:13:53,125.492,熠熠生辉饰品屋,fxg_aftersale_fund_detail_bill,nav,goto,open_url,https://fxg.jinritemai.com/ffa/fxg-bill/fund-detail-bill,是
2026-04-22 10:14:26,158.154,熠熠生辉饰品屋,fxg_aftersale_fund_detail_bill,interaction,fund_detail_date_range,dateRange,"auxoCalendarPick: 点击日期容器失败: Locator.wait_for: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""#rc-tabs-0-panel-FUND_DETAIL_BILL > div > div.auxo-pro-table.custom-style-gray.auxo-pro-table-combined > div.auxo-pro-table-search.auxo-pro-table-search-query-filter > form > div > div > div:nth-child(1) > div > div > div > div > div > div > div > span > div.auxo-picker.auxo-picker-range"").first to be visible
",否
2026-04-22 10:14:36,168.356,熠熠生辉饰品屋,fxg_aftersale_fund_detail_bill,interaction,fund_detail_click_generate_report,click,"Locator.scroll_into_view_if_needed: Timeout 10000ms exceeded.
Call log:
  - waiting for locator(""#rc-tabs-0-panel-FUND_DETAIL_BILL > div > div.auxo-pro-table.custom-style-gray.auxo-pro-table-combined > div.auxo-pro-table-wrapper > div > div.auxo-pro-table-list-toolbar > div > div.auxo-space.auxo-space-horizontal.auxo-space-align-center.auxo-pro-table-list-toolbar-right > div > div > div > button"").first
",否
2026-04-22 10:14:56,188.568,熠熠生辉饰品屋,fxg_aftersale_fund_detail_bill,interaction,confirm_fund_detail_generate,click,"Locator.scroll_into_view_if_needed: Timeout 10000ms exceeded.
Call log:
  - waiting for locator(""div.auxo-popover-inner div.auxo-popover-buttons button.auxo-btn-primary"").first
",否
2026-04-22 10:15:00,192.563,熠熠生辉饰品屋,fxg_bill_history_report,nav,goto,open_url,https://fxg.jinritemai.com/ffa/fxg-bill/history-report,是
2026-04-22 10:15:33,225.280,熠熠生辉饰品屋,fxg_bill_history_report,interaction,export_bill_history_top,click+download,D:\Program Files (x86)\fff2_dianshang\output\抖店数据提取_20260422_101147_d647b283\downloads\熠熠生辉饰品屋_DL202604211044150383324691.csv,是
2026-04-22 10:15:37,228.976,熠熠生辉饰品屋,fxg_aftersale_order_list_export,nav,goto,open_url,https://fxg.jinritemai.com/ffa/merchant-aftersale-workbench/aftersale/list,是
