动账时间,动帐流水号,动账方向,动账金额,动账账户,动账场景,计费类型,子订单号,订单号,售后编号,下单时间,商品ID,商品名称,达人ID,达人名称,订单类型,订单实付应结,运费实付,实际平台补贴_运费,实际平台补贴,其他平台补贴,以旧换新抵扣,政府补贴平台垫资,实际达人补贴,实际抖音支付补贴,实际抖音月付营销补贴,银行补贴,订单退款,平台服务费,佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,是否免佣,免佣金额,商户主体名称,备注
2026-04-21 01:54:14,'2026042101540734025477557642,入账,2.95,聚合账户,货款结算入账,小店自卖,'6951978318667453726,'6951978318667453726,'SS76299219093772088590071,2026-04-11 09:08:43,'3808899879506411880,M豆款韩版橡皮筋高弹力新款发绳简约可爱头绳发圈无扎痕头饰头绳,,,普通订单,2.97,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市郑意玩具厂（个体工商户）,订单结算
2026-04-21 01:54:14,'2026042101540822150848547642,入账,8.92,聚合账户,货款结算入账,小店自卖,'6952065150038381806,'6952065150038381806,'SS76300558046243231240218,2026-04-14 11:48:05,'3811113617319920049,森系干枯山茶花朵7cm小抓夹 百搭气质发夹女后脑勺超仙鲨夹发饰,,,普通订单,8.97,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0,0,0,0,0,是-商品卡免佣,0.37,义乌市郑意玩具厂（个体工商户）,订单结算
2026-04-21 01:54:14,'2026042101540522028170767642,入账,4.32,聚合账户,货款结算入账,精选联盟,'6925500182122167394,'6925500182122167394,'SS76299221910313377710026,2026-04-11 02:17:00,'3807348857336102969,迷你小号鸭嘴夹发夹侧边小夹子精致蝴蝶结碎发夹刘海夹高级感发卡,'479040913815549,文静好物,普通订单,4.8,0,0,0,0,0,0,0,0,0,0,0,-0.24,-0.24,0,0,0,0,0,,0,义乌市郑意玩具厂（个体工商户）,订单结算
2026-04-21 02:01:54,'2026042102014507271757437642,入账,4.89,聚合账户,货款结算入账,小店自卖,'6925634783764053422,'6925634783764053422,'SS76300680726695286280041,2026-04-16 13:56:34,'3809436774007177539,高级感合金蝴蝶结小发夹侧边碎发刘海夹气质发卡头饰迷你鸭嘴夹子,,,普通订单,4.92,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市郑意玩具厂（个体工商户）,订单结算
2026-04-21 02:01:54,'2026042102014634992993797642,入账,8.38,聚合账户,货款结算入账,小店自卖,'6951802928558445772,'6951802928558445772,'SS76273311737945626100121,2026-04-03 18:34:06,'3806828354544468284,可爱蝴蝶结小猫无痕刘海贴魔术贴发饰少女前额侧边碎发贴整理神器,,,普通订单,8.43,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0,0,0,0,0,是-商品卡免佣,0.37,义乌市郑意玩具厂（个体工商户）,订单结算
2026-04-21 02:01:54,'2026042102014720579945057642,入账,4.32,聚合账户,货款结算入账,精选联盟,'6952114399620699389,'6952114399620699389,'SS76300185350703193950087,2026-04-15 22:47:20,'3807348857336102969,迷你小号鸭嘴夹发夹侧边小夹子精致蝴蝶结碎发夹刘海夹高级感发卡,'3591434731003651,清风恋优选好物,普通订单,4.8,0,0,0,0,0,0,0,0,0,0,0,-0.24,-0.24,0,0,0,0,0,,0,义乌市郑意玩具厂（个体工商户）,订单结算
2026-04-21 02:01:54,'2026042102014406727112067642,入账,2.44,聚合账户,货款结算入账,小店自卖,'6951768728018294016,'6951768728018294016,'SS76273710164947440790175,2026-04-03 01:25:05,'3806828354544468284,可爱蝴蝶结小猫无痕刘海贴魔术贴发饰少女前额侧边碎发贴整理神器,,,普通订单,2.45,0,0,0,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,0,0,是-商品卡免佣,0.07,义乌市郑意玩具厂（个体工商户）,订单结算
2026-04-21 03:34:01,'2026042103335704914427307642,入账,2.58,聚合账户,货款结算入账,巨量千川,'6925562423753473797,'6925562423753473797,'SS76299054950292034660053,2026-04-13 17:15:10,'3809808466911035670,豹纹镂空云朵抓夹女高级感2026新款秋冬发量大后脑勺鲨鱼夹子发饰,,,普通订单,0.01,0,0,2.71,0,0,0,0,0,0,0,0,-0.14,0,0,0,0,0,0,,0,义乌市郑意玩具厂（个体工商户）,订单结算
2026-04-21 03:34:01,'2026042103335824244063357642,入账,4.53,聚合账户,货款结算入账,小店自卖,'6925500736156433520,'6925500736156433520,'SS76299533703994455300220,2026-04-11 11:08:30,'3811113617319920049,森系干枯山茶花朵7cm小抓夹 百搭气质发夹女后脑勺超仙鲨夹发饰,,,普通订单,4.56,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市郑意玩具厂（个体工商户）,订单结算
2026-04-21 03:34:01,'2026042103335807806366917642,入账,2.81,聚合账户,货款结算入账,小店自卖,'6925380736559644063,'6925380736559644063,'SS76299516953608361060056,2026-04-06 10:18:55,'3807348857336102969,迷你小号鸭嘴夹发夹侧边小夹子精致蝴蝶结碎发夹刘海夹高级感发卡,,,普通订单,2.83,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市郑意玩具厂（个体工商户）,订单结算
