动账时间,动帐流水号,动账方向,动账金额,动账账户,动账场景,计费类型,子订单号,订单号,售后编号,下单时间,商品ID,商品名称,达人ID,达人名称,订单类型,订单实付应结,运费实付,实际平台补贴_运费,实际平台补贴,其他平台补贴,以旧换新抵扣,政府补贴平台垫资,实际达人补贴,实际抖音支付补贴,实际抖音月付营销补贴,银行补贴,订单退款,平台服务费,佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,是否免佣,免佣金额,商户主体名称,备注
2026-04-21 01:33:19,'2026042101331312122568113283,入账,2.96,聚合账户,货款结算入账,小店自卖,'6951959608344122996,'6951959608344122996,'SS76299399660367590830171,2026-04-10 19:05:09,'3809565171995771309,卡通可爱猫咪抓夹女2025新款夹子头饰发夹气质后脑勺半扎发鲨鱼夹,,,普通订单,2.98,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市天籁电子商务商行（个体工商户）,订单结算
2026-04-21 01:42:17,'2026042101421215144722433283,入账,0.01,聚合账户,退款-订单退款触发-分账,小店自卖,'6952218202776934217,'6952218202776934217,'147450258957164240,2026-04-20 02:35:45,'3813889787409072547,ins爆款卡通蓬松夹鸭嘴夹一字夹化妆发夹超萌可爱猫咪少女刘海夹,,,普通订单,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,义乌市天籁电子商务商行（个体工商户）,签到领现金追缴用户后商家退回平台返现金额
2026-04-21 01:42:17,'2026042101421009399875073283,出账,0.01,聚合账户,平台返现/返券活动追缴用户退回平台,小店自卖,'6952218202776934217,'6952218202776934217,'147450258957164240,2026-04-20 02:35:45,'3813889787409072547,ins爆款卡通蓬松夹鸭嘴夹一字夹化妆发夹超萌可爱猫咪少女刘海夹,,,普通订单,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,义乌市天籁电子商务商行（个体工商户）,签到领现金追缴用户后商家退回平台返现金额
2026-04-21 01:53:26,'2026042101531828911047833283,入账,5.03,聚合账户,货款结算入账,小店自卖,'6951959867856393735,'6951959867856393735,'SS76299534221554529550229,2026-04-10 21:30:46,'3810184145485824090,新款山茶花珠子花朵中号抓夹女后脑勺洋气盘发时尚半扎鲨鱼夹发饰,,,普通订单,5.06,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市天籁电子商务商行（个体工商户）,订单结算
2026-04-21 01:59:32,'2026042101592528614047083283,入账,2.68,聚合账户,货款结算入账,小店自卖,'6925503717276745328,'6925503717276745328,'SS76299399869890934110189,2026-04-10 20:00:14,'3812796299682644426,新品五角星发夹发扣韩国少女甜美甜酷侧边刘海夹头顶前额固定卡子,,,普通订单,2.7,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市天籁电子商务商行（个体工商户）,订单结算
2026-04-21 02:05:06,'2026042102045718205250713283,入账,6.94,聚合账户,货款结算入账,小店自卖,'6951953219996882731,'6951953219996686123,'SS76299399830547505150083,2026-04-10 20:00:16,'3809573038236762270,日韩高级感蕾丝头花大肠发圈女2026新款波点发圈公主头饰马尾发饰,,,普通订单,6.98,0,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,义乌市天籁电子商务商行（个体工商户）,订单结算
2026-04-21 02:38:28,'2026042102382422756562333283,入账,3.93,聚合账户,货款结算入账,小店自卖,'6951959608344385140,'6951959608344122996,'SS76299399647598021540054,2026-04-10 19:05:09,'3809614503998522161,可爱小猫无痕刘海贴2026款魔术贴发饰少女前额侧边碎发贴整理神器,,,普通订单,3.95,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市天籁电子商务商行（个体工商户）,订单结算
2026-04-21 02:40:23,'2026042102401736082857593283,入账,5.53,聚合账户,货款结算入账,小店自卖,'6925503717276941936,'6925503717276745328,'SS76299399827462272270028,2026-04-10 20:00:14,'3809573038236762270,日韩高级感蕾丝头花大肠发圈女2026新款波点发圈公主头饰马尾发饰,,,普通订单,5.56,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市天籁电子商务商行（个体工商户）,订单结算
2026-04-21 02:41:35,'2026042102413034477716583283,入账,5.25,聚合账户,货款结算入账,小店自卖,'6925503717277073008,'6925503717276745328,'SS76299399829417210970198,2026-04-10 20:00:14,'3810744767533416691,高级牡丹花流苏抓夹2026新款超洋气毛毛发夹后脑勺抓夹显发量发饰,,,普通订单,5.28,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市天籁电子商务商行（个体工商户）,订单结算
2026-04-21 02:42:23,'2026042102421717632015903283,入账,3.67,聚合账户,货款结算入账,小店自卖,'6925486567922040640,'6925486567921975104,'SS76299399734600665980140,2026-04-10 20:36:10,'3809637333821685874,复古豹纹波点褶皱香蕉夹2026新款马尾扭扭竖夹后脑勺显发量盘发夹,,,普通订单,3.69,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市天籁电子商务商行（个体工商户）,订单结算
