动账时间,动帐流水号,动账方向,动账金额,动账账户,动账场景,计费类型,子订单号,订单号,售后编号,下单时间,商品ID,商品名称,达人ID,达人名称,订单类型,订单实付应结,运费实付,实际平台补贴_运费,实际平台补贴,其他平台补贴,以旧换新抵扣,政府补贴平台垫资,实际达人补贴,实际抖音支付补贴,实际抖音月付营销补贴,银行补贴,订单退款,平台服务费,佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,是否免佣,免佣金额,商户主体名称,备注
2026-04-21 01:07:12,'2026042101070532328463862649,入账,2.51,聚合账户,货款结算入账,小店自卖,'6952088944759347132,'6952088944759347132,'SS76299012990856896410036,2026-04-15 06:25:28,'3794382101785215262,网红新款本命年红色珍珠小肠发圈马尾头绳头绳网红喜庆2026喜庆,,,普通订单,2.53,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-21 01:07:12,'2026042101070732511429462649,入账,3.17,聚合账户,货款结算入账,小店自卖,'6925504967602437816,'6925504967602437816,'SS76299201424292912740051,2026-04-11 09:45:59,'3807943134646763828,可爱小猫无痕刘海贴2026款魔术贴发饰少女前额侧边碎发贴整理神器,,,普通订单,3.19,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-21 01:07:12,'2026042101070810472535422649,入账,7.71,聚合账户,货款结算入账,小店自卖,'6951963836162840492,'6951963836162840492,'SS76300151227040238340233,2026-04-10 18:53:16,'3812391142306218566,高级感法式珍珠泡泡纱网发圈2026款简约精致优雅百搭气质个性发饰,,,普通订单,7.76,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0,0,0,0,0,是-商品卡免佣,0.37,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-21 01:07:12,'2026042101070706890460562649,入账,5.11,聚合账户,货款结算入账,小店自卖,'6925502438596116049,'6925502438596116049,'SS76299199719090304100070,2026-04-11 00:28:08,'3807943134646763828,可爱小猫无痕刘海贴2026款魔术贴发饰少女前额侧边碎发贴整理神器,,,普通订单,5.14,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-21 01:07:12,'2026042101070724706749532649,入账,5.11,聚合账户,货款结算入账,小店自卖,'6952007017063454661,'6952007017063454661,'SS76297715258769088350171,2026-04-12 16:51:14,'3807943134646763828,可爱小猫无痕刘海贴2026款魔术贴发饰少女前额侧边碎发贴整理神器,,,普通订单,5.14,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-21 01:07:13,'2026042101071105832054122649,入账,2.09,聚合账户,货款结算入账,小店自卖,'6925506035439402928,'6925506035439402928,'SS76298946125019715020149,2026-04-10 20:04:20,'3806075116023054608,气质黑色碎钻满天星抓夹女后脑勺半扎发鲨鱼夹发量少百搭发卡头饰,,,普通订单,2.1,0.4,0,0,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,0,0,是-商品卡免佣,0.07,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-21 01:07:13,'2026042101070940818772912649,入账,4.12,聚合账户,货款结算入账,小店自卖,'6925587361463893966,'6925587361463893966,'SS76300477650950884240235,2026-04-14 20:19:00,'3807943134646763828,可爱小猫无痕刘海贴2026款魔术贴发饰少女前额侧边碎发贴整理神器,,,普通订单,4.14,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-21 01:07:13,'2026042101070826734267302649,入账,5.11,聚合账户,货款结算入账,小店自卖,'6925510732154568181,'6925510732154568181,'SS76299199378556851600197,2026-04-10 23:53:24,'3807943134646763828,可爱小猫无痕刘海贴2026款魔术贴发饰少女前额侧边碎发贴整理神器,,,普通订单,5.14,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-21 01:07:13,'2026042101070930457533542649,入账,3.9,聚合账户,货款结算入账,小店自卖,'6925616538794294919,'6925616538794294919,'SS76299992150448709220037,2026-04-16 06:58:04,'3810904952826626483,森系干枯山茶花朵7cm小抓夹 百搭气质发夹女后脑勺超仙鲨夹发饰,,,普通订单,3.92,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-21 01:07:13,'2026042101070917295324572649,入账,3.34,聚合账户,货款结算入账,小店自卖,'6952009954672579733,'6952009954672579733,'SS76301166985190935470196,2026-04-12 23:53:15,'3798826901154431049,虞书欣尖叫之夜同款发扣2025新款金属编发夹水钻圆形发环发夹头饰,,,普通订单,3.36,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市诗柚电子商务商行（个体工商户）,订单结算
