动账时间,动帐流水号,动账方向,动账金额,动账账户,动账场景,计费类型,子订单号,订单号,售后编号,下单时间,商品ID,商品名称,达人ID,达人名称,订单类型,订单实付应结,运费实付,实际平台补贴_运费,实际平台补贴,其他平台补贴,以旧换新抵扣,政府补贴平台垫资,实际达人补贴,实际抖音支付补贴,实际抖音月付营销补贴,银行补贴,订单退款,平台服务费,佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,是否免佣,免佣金额,商户主体名称,备注
2026-04-21 01:08:46,'2026042101084029916040227155,入账,3.22,聚合账户,货款结算入账,小店自卖,'6951967490269517143,'6951967490269517143,'SS76299948164909796250003,2026-04-11 13:07:45,'3808318474044965225,中国风孔雀盘发器女生古典旗袍发饰丸子懒人高级感饰品优雅发夹,,,普通订单,3.39,0,0,0,0,0,0,0,0,0,0,0,-0.17,0,0,0,0,0,0,否,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-21 01:08:46,'2026042101084226851254177155,入账,5.87,聚合账户,货款结算入账,小店自卖,'6952033364393202714,'6952033364393202714,'SS76300726333667415040197,2026-04-13 19:02:46,'3808318474044965225,中国风孔雀盘发器女生古典旗袍发饰丸子懒人高级感饰品优雅发夹,,,普通订单,6.18,0,0,0,0,0,0,0,0,0,0,0,-0.31,0,0,0,0,0,0,,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-21 01:08:46,'2026042101084205715233917155,入账,2.58,聚合账户,货款结算入账,精选联盟,'6952094833026536571,'6952094833026536571,'SS76299913456811056900230,2026-04-15 23:52:45,'3809969743033663599,2026新款韩系格子方巾大肠发圈高级慵懒风扎马尾发绳头绳大号发饰,'0,,普通订单,2.86,0,0,0,0,0,0,0,0,0,0,0,-0.14,0,0,0,0,-0.14,0,,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-21 01:08:46,'2026042101084100826744517155,入账,5.87,聚合账户,货款结算入账,小店自卖,'6952057280806065593,'6952057280806065593,'SS76299830950260575350224,2026-04-14 21:06:44,'3808318474044965225,中国风孔雀盘发器女生古典旗袍发饰丸子懒人高级感饰品优雅发夹,,,普通订单,6.18,0,0,0,0,0,0,0,0,0,0,0,-0.31,0,0,0,0,0,0,否,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-21 01:08:46,'2026042101084208576371627155,入账,3.57,聚合账户,货款结算入账,小店自卖,'6925557802540957529,'6925557802540957529,'SS76300829409964078710048,2026-04-12 19:06:20,'3808318474044965225,中国风孔雀盘发器女生古典旗袍发饰丸子懒人高级感饰品优雅发夹,,,普通订单,3.76,0,0,0,0,0,0,0,0,0,0,0,-0.19,0,0,0,0,0,0,否,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-21 01:26:07,'2026042101260029779566467155,入账,4.14,聚合账户,货款结算入账,小店自卖,'6951962441389840196,'6951962441389840196,'SS76299236622121374780023,2026-04-11 07:52:01,'3808318083261661303,2026新款简约珍珠大肠发圈橡皮筋女扎头发优雅皮套高颜值头绳发饰,,,普通订单,4.36,0,0,0,0,0,0,0,0,0,0,0,-0.22,0,0,0,0,0,0,否,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-21 01:26:07,'2026042101255903427865877155,入账,3.59,聚合账户,货款结算入账,小店自卖,'6952073642910225919,'6952073642910225919,'SS76300483377023227420077,2026-04-15 14:42:34,'3808132001588969935,赫本风发夹路易斯蝴蝶结抓夹女盘发高级感鲨鱼夹后脑勺显发量头饰,,,普通订单,3.78,0,0,0,0,0,0,0,0,0,0,0,-0.19,0,0,0,0,0,0,否,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-21 01:26:07,'2026042101255727686385147155,入账,2.81,聚合账户,货款结算入账,小店自卖,'6951991622465033322,'6951991622465033322,'SS76299998502218473380048,2026-04-11 13:40:04,'3811086962769658167,韩国发夹横夹头饰妈妈新款盘发后脑勺高档水钻头发大号鸭嘴发发饰,,,普通订单,2.96,0,0,0,0,0,0,0,0,0,0,0,-0.15,0,0,0,0,0,0,否,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-21 03:07:27,'2026042103072201479971907155,入账,3.69,聚合账户,货款结算入账,小店自卖,'6925504366346665575,'6925504366346665575,'SS76299164452340045150162,2026-04-10 23:55:47,'3808132001588969935,赫本风发夹路易斯蝴蝶结抓夹女盘发高级感鲨鱼夹后脑勺显发量头饰,,,普通订单,3.88,0,0,0,0,0,0,0,0,0,0,0,-0.19,0,0,0,0,0,0,否,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-21 03:07:27,'2026042103072318077949717155,入账,3.59,聚合账户,货款结算入账,小店自卖,'6951966086933911003,'6951966086933911003,'SS76299157431780313790180,2026-04-10 17:07:00,'3808132001588969935,赫本风发夹路易斯蝴蝶结抓夹女盘发高级感鲨鱼夹后脑勺显发量头饰,,,普通订单,3.78,0,0,0,0,0,0,0,0,0,0,0,-0.19,0,0,0,0,0,0,否,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
