动账时间,动帐流水号,动账方向,动账金额,动账账户,动账场景,计费类型,子订单号,订单号,售后编号,下单时间,商品ID,商品名称,达人ID,达人名称,订单类型,订单实付应结,运费实付,实际平台补贴_运费,实际平台补贴,其他平台补贴,以旧换新抵扣,政府补贴平台垫资,实际达人补贴,实际抖音支付补贴,实际抖音月付营销补贴,银行补贴,订单退款,平台服务费,佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,是否免佣,免佣金额,商户主体名称,备注
2026-04-21 01:11:45,'2026042101114034740800099544,入账,58.05,聚合账户,货款结算入账,小店自卖,'6952086829504796284,'6952086829504796284,'SS76299637372559040150021,2026-04-15 12:03:43,'3782377449359278379,蝴蝶结头绳橡皮筋女扎头小肠发圈头花头筋皮套马尾高弹力网纱发绳,,,普通订单,58.4,0,0,0,0,0,0,0,0,0,0,0,-0.35,0,0,0,0,0,0,是-商品卡免佣,2.57,义乌市增绩电子商务商行,订单结算
2026-04-21 01:11:45,'2026042101113925475320429544,入账,2.54,聚合账户,货款结算入账,小店自卖,'6951964916842173694,'6951964916842173694,'SS76299909630921979070017,2026-04-11 12:05:13,'3805903336675344782,2026新款可爱小狗扭扭夹香蕉夹竖夹发夹脑勺高马尾抓夹高级感百搭,,,普通订单,2.56,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市增绩电子商务商行,订单结算
2026-04-21 01:11:45,'2026042101114140102633059544,入账,2.54,聚合账户,货款结算入账,小店自卖,'6952106245029369053,'6952106245029369053,'SS76300857490442493780246,2026-04-16 13:23:00,'3805903336675344782,2026新款可爱小狗扭扭夹香蕉夹竖夹发夹脑勺高马尾抓夹高级感百搭,,,普通订单,2.56,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市增绩电子商务商行,订单结算
2026-04-21 01:11:45,'2026042101113909743078789544,入账,2.12,聚合账户,货款结算入账,小店自卖,'6952108858539119767,'6952108858539119767,'SS76300156251587709860250,2026-04-16 14:57:46,'3699955117735411890,简约夹子磨砂发夹少女侧边夹头饰百搭刘海夹气质爱心侧边发夹,,,普通订单,2.13,0,0,0,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,0,0,是-商品卡免佣,0.07,义乌市增绩电子商务商行,订单结算
2026-04-21 01:11:46,'2026042101114204957803629544,入账,3.96,聚合账户,货款结算入账,小店自卖,'6925652071447232399,'6925652071447232399,'SS76301001430516698230028,2026-04-17 09:33:38,'3805903336675344782,2026新款可爱小狗扭扭夹香蕉夹竖夹发夹脑勺高马尾抓夹高级感百搭,,,普通订单,3.98,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市增绩电子商务商行,订单结算
2026-04-21 01:11:52,'2026042101114810239677709544,入账,6.14,聚合账户,货款结算入账,小店自卖,'6925549977403882627,'6925549977403882627,'SS76299586308847867310084,2026-04-13 07:26:58,'3701782396681716065,韩式多巴胺色系少女bb夹可爱侧边刘海碎发可爱刘海女童小碎发发夹,,,普通订单,6.18,0,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,义乌市增绩电子商务商行,订单结算
2026-04-21 01:11:53,'2026042101114616118912469544,入账,5.56,聚合账户,货款结算入账,小店自卖,'6925631115347853134,'6925631115347853134,'SS76300208346182456950246,2026-04-15 15:32:49,'3747980673156251894,高级在逃公主2025新款大号双面蝴蝶结大抓鱼姬闪粉大号抓夹发饰,,,普通订单,5.59,0.5,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市增绩电子商务商行,订单结算
2026-04-21 01:11:53,'2026042101114529619331199544,入账,3.96,聚合账户,货款结算入账,小店自卖,'6952089275799377380,'6952089275799377380,'SS76301148517312148880204,2026-04-15 10:51:52,'3805903336675344782,2026新款可爱小狗扭扭夹香蕉夹竖夹发夹脑勺高马尾抓夹高级感百搭,,,普通订单,3.98,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市增绩电子商务商行,订单结算
2026-04-21 01:45:04,'2026042101445725906918789544,入账,2.55,聚合账户,货款结算入账,小店自卖,'6925308092318055719,'6925308092318055719,'SS76299903789763630140026,2026-04-02 12:31:20,'3805903336675344782,2026新款可爱小狗扭扭夹香蕉夹竖夹发夹脑勺高马尾抓夹高级感百搭,,,普通订单,2.57,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市增绩电子商务商行,订单结算
2026-04-21 01:45:04,'2026042101445833815759629544,入账,2.84,聚合账户,货款结算入账,小店自卖,'6925560991693307799,'6925560991693307799,'SS76298534514141924030056,2026-04-13 07:24:20,'3763800227505635749,水钻发夹懒人扭扭夹后脑勺盘发器一字夹气质百搭水钻蕾丝抓夹发饰,,,普通订单,2.99,0,0,0,0,0,0,0,0,0,0,0,-0.15,0,0,0,0,0,0,,0,义乌市增绩电子商务商行,订单结算
2026-04-21 01:45:04,'2026042101445500939013129544,入账,3.7,聚合账户,货款结算入账,小店自卖,'6952087679267509364,'6952087679267509364,'SS76300142023639249920081,2026-04-15 20:21:35,'3747988273209933891,超大蝴蝶结抓夹高级感在逃公主后脑勺发夹盘发鲨在逃公主发型抓夹,,,普通订单,3.72,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市增绩电子商务商行,订单结算
2026-04-21 01:45:04,'2026042101445331597534819544,入账,3.41,聚合账户,货款结算入账,小店自卖,'6925385828528324469,'6925385828528324469,'SS76299090949591206670209,2026-04-06 04:57:22,'3766027589014126967,在逃公主头饰缎面大蝴蝶结抓夹鲨鱼夹韩国抓夹i在逃公主发型抓夹,,,普通订单,3.43,0.4,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市增绩电子商务商行,订单结算
2026-04-21 01:45:04,'2026042101445801846973709544,入账,3.31,聚合账户,货款结算入账,小店自卖,'6925598351558278784,'6925598351558278784,'SS76300463522567460030052,2026-04-14 18:03:10,'3701782396681716065,韩式多巴胺色系少女bb夹可爱侧边刘海碎发可爱刘海女童小碎发发夹,,,普通订单,3.33,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市增绩电子商务商行,订单结算
2026-04-21 01:45:04,'2026042101445525723704679544,入账,2.94,聚合账户,货款结算入账,小店自卖,'6951859415329215529,'6951859415329215529,'SS76299122225136277020049,2026-04-06 08:04:04,'3791068888817598600,明星同款网红高颅顶金属发扣刘海小夹子夹头发夹侧边发卡头饰,,,普通订单,2.96,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市增绩电子商务商行,订单结算
2026-04-21 01:45:04,'2026042101445617876262809544,入账,5.89,聚合账户,货款结算入账,小店自卖,'6952101347762181686,'6952101347762181686,'SS76299290661290483600131,2026-04-15 23:09:36,'3807208257295089885,天使米菲兔KT韩系灰色宽边灰发箍可爱少女头饰发卡通头箍发饰ins,,,普通订单,5.93,0,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,义乌市增绩电子商务商行,订单结算
2026-04-21 01:45:04,'2026042101445801263539469544,入账,3.55,聚合账户,货款结算入账,小店自卖,'6925378036002028816,'6925378036002028816,'SS76299277458080077140246,2026-04-06 06:18:22,'3699955117735411890,简约夹子磨砂发夹少女侧边夹头饰百搭刘海夹气质爱心侧边发夹,,,普通订单,3.74,0,0,0,0,0,0,0,0,0,0,0,-0.19,0,0,0,0,0,0,,0,义乌市增绩电子商务商行,订单结算
