动账时间,动帐流水号,动账方向,动账金额,动账账户,动账场景,计费类型,子订单号,订单号,售后编号,下单时间,商品ID,商品名称,达人ID,达人名称,订单类型,订单实付应结,运费实付,实际平台补贴_运费,实际平台补贴,其他平台补贴,以旧换新抵扣,政府补贴平台垫资,实际达人补贴,实际抖音支付补贴,实际抖音月付营销补贴,银行补贴,订单退款,平台服务费,佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,是否免佣,免佣金额,商户主体名称,备注
2026-04-21 01:26:55,'2026042101264910530824198792,入账,6.32,聚合账户,货款结算入账,小店自卖,'6925500549488540722,'6925500549488540722,'SS76299548655400555950032,2026-04-11 09:10:49,'3809054811819737193,中国风孔雀盘发器女生古典旗袍发饰丸子懒人高级感饰品优雅发夹,,,普通订单,6.36,0,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,义乌市增绩电子商务商行,订单结算
2026-04-21 01:26:55,'2026042101264509996211308792,入账,5.46,聚合账户,货款结算入账,小店自卖,'6952118412295476465,'6952118412295476465,'SS76301199199460070590029,2026-04-16 22:26:30,'3783267643474182258,2025新款甜美kitty刘海魔术贴可爱棉花糖猫碎发贴魔术贴无痕发饰,,,普通订单,5.49,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市增绩电子商务商行,订单结算
2026-04-21 01:26:55,'2026042101264939302930188792,入账,5.46,聚合账户,货款结算入账,小店自卖,'6951852668226311677,'6951852668226311677,'SS76299095986108831140168,2026-04-06 02:09:56,'3783267643474182258,2025新款甜美kitty刘海魔术贴可爱棉花糖猫碎发贴魔术贴无痕发饰,,,普通订单,5.49,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市增绩电子商务商行,订单结算
2026-04-21 01:26:55,'2026042101264838937441748792,入账,3.98,聚合账户,货款结算入账,小店自卖,'6925514037480685044,'6925514037480685044,'SS76299998839362688500205,2026-04-11 14:33:36,'3780821082009895039,秋冬款韩系防滑带齿豹纹发箍毛绒发箍洗脸化妆发卡头箍束发带发饰,,,普通订单,4,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市增绩电子商务商行,订单结算
2026-04-21 01:26:55,'2026042101264841273428758792,入账,6.72,聚合账户,货款结算入账,小店自卖,'6951995987933664505,'6951995987933664505,'SS76299998734895516700016,2026-04-11 13:37:24,'3779920667768651923,2026新款爆款原创设计可爱百搭发夹卡通后脑勺高级鲨鱼夹发饰女 ,,,普通订单,7.07,1,0,0,0,0,0,0,0,0,0,0,-0.35,0,0,0,0,0,0,,0,义乌市增绩电子商务商行,订单结算
2026-04-21 01:26:55,'2026042101264235580810668792,入账,3.28,聚合账户,货款结算入账,小店自卖,'6951948369091434087,'6951948369091434087,'SS76299158042636457060075,2026-04-10 19:00:26,'3809955898114310432,可爱小黄鸡发圈萌系扎发神器黑色发绳扎头发皮筋儿童卡子卖萌头饰,,,普通订单,3.3,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市增绩电子商务商行,订单结算
2026-04-21 01:26:55,'2026042101264826178033148792,入账,6.06,聚合账户,货款结算入账,小店自卖,'6925513669043322106,'6925513669043322106,'SS76299963447581581230125,2026-04-11 12:09:08,'3812031181231358312,紫色玫瑰花木簪春夏发簪古风簪花网纱花朵发钗女气质发饰配饰头饰,,,普通订单,6.1,0,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,义乌市增绩电子商务商行,订单结算
2026-04-21 01:26:55,'2026042101264813770921238792,入账,7.03,聚合账户,货款结算入账,小店自卖,'6951959705120740966,'6951959705120740966,'SS76299157784816195080030,2026-04-10 20:12:40,'3779920667768651923,2026新款爆款原创设计可爱百搭发夹卡通后脑勺高级鲨鱼夹发饰女 ,,,普通订单,7.07,1,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,义乌市增绩电子商务商行,订单结算
2026-04-21 01:26:55,'2026042101264732549276548792,入账,4.72,聚合账户,货款结算入账,小店自卖,'6951984352700929126,'6951984352700929126,'SS76300002574912927100221,2026-04-10 23:20:08,'3783267643474182258,2025新款甜美kitty刘海魔术贴可爱棉花糖猫碎发贴魔术贴无痕发饰,,,普通订单,4.75,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市增绩电子商务商行,订单结算
2026-04-21 01:26:55,'2026042101264727151447478792,入账,5.86,聚合账户,货款结算入账,小店自卖,'6951989478816617862,'6951989478816617862,'SS76299996560722168410041,2026-04-11 13:13:19,'3706815831829774772,双头水晶库洛米长皮筋可爱卡通美乐蒂发绳扎高马尾头绳女孩扎头发,,,普通订单,5.9,0,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,义乌市增绩电子商务商行,订单结算
2026-04-21 01:59:21,'2026042101591604656335558792,入账,5.93,聚合账户,货款结算入账,小店自卖,'6925637165573832443,'6925637165573832443,'SS76300660488045573660151,2026-04-16 14:16:04,'3706795469406601354,可爱少女皮筋头绳蝴蝶不伤发水晶高档双头皮筋长绳兔子扎头发发圈,,,普通订单,5.97,0,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,义乌市增绩电子商务商行,订单结算
2026-04-21 02:08:40,'2026042102083402062259548792,入账,5.66,聚合账户,货款结算入账,小店自卖,'6925511919482010671,'6925511919482010671,'SS76299996732979290060160,2026-04-11 13:37:28,'3706795469406601354,可爱少女皮筋头绳蝴蝶不伤发水晶高档双头皮筋长绳兔子扎头发发圈,,,普通订单,5.96,0,0,0,0,0,0,0,0,0,0,0,-0.3,0,0,0,0,0,0,,0,义乌市增绩电子商务商行,订单结算
2026-04-21 02:09:03,'2026042102085301734948118792,入账,5.66,聚合账户,货款结算入账,小店自卖,'6925489074473762098,'6925489074473762098,'SS76299159216450934020168,2026-04-10 21:18:20,'3706795469406601354,可爱少女皮筋头绳蝴蝶不伤发水晶高档双头皮筋长绳兔子扎头发发圈,,,普通订单,5.96,0,0,0,0,0,0,0,0,0,0,0,-0.3,0,0,0,0,0,0,,0,义乌市增绩电子商务商行,订单结算
2026-04-21 03:27:55,'2026042103274926857480148792,入账,5.92,聚合账户,货款结算入账,小店自卖,'6951978206945286005,'6951978206945286005,'SS76299164860863452590101,2026-04-11 06:46:49,'3706795469406601354,可爱少女皮筋头绳蝴蝶不伤发水晶高档双头皮筋长绳兔子扎头发发圈,,,普通订单,5.96,0,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,义乌市增绩电子商务商行,订单结算
2026-04-21 03:40:43,'2026042103404035611937668792,入账,8.43,聚合账户,货款结算入账,小店自卖,'6925584109278953343,'6925584109278953343,'SS76297951274947875840137,2026-04-13 20:38:52,'3778233046394863996,时尚的可爱波点大号米菲兔显发量多香蕉夹后脑勺盘发百搭款发饰女,,,普通订单,8.48,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0,0,0,0,0,是-商品卡免佣,0.37,义乌市增绩电子商务商行,订单结算
2026-04-21 03:40:43,'2026042103403836294374928792,入账,9.24,聚合账户,货款结算入账,小店自卖,'6952061300643665414,'6952061300643665414,'SS76299713952332188250048,2026-04-14 15:31:33,'3809054811819737193,中国风孔雀盘发器女生古典旗袍发饰丸子懒人高级感饰品优雅发夹,,,普通订单,9.3,0,0,0,0,0,0,0,0,0,0,0,-0.06,0,0,0,0,0,0,是-商品卡免佣,0.44,义乌市增绩电子商务商行,订单结算
2026-04-21 03:40:44,'2026042103404039396849158792,入账,0.53,聚合账户,货款结算入账,小店自卖,'6925568574839029436,'6925568574839029436,'SS76300748437650317260235,2026-04-13 22:04:26,'3795714795936809351,疯狂动物城卡通甜美少女刘海侧边夹可爱爪爪冰棍发夹粉色猫爪发夹,,,普通订单,0.4,0,0,0.16,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,,0,义乌市增绩电子商务商行,订单结算
2026-04-21 03:40:44,'2026042103404004797079448792,入账,3.95,聚合账户,货款结算入账,小店自卖,'6952067758821480050,'6952067758821480050,'SS76299868535757215080225,2026-04-14 13:40:19,'3794602553925304629,网红爆款新款颅顶圆形金属发扣百搭刘海发夹女前额侧边夹发卡头饰,,,普通订单,3.97,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市增绩电子商务商行,订单结算
2026-04-21 03:40:44,'2026042103404126099556228792,入账,0.56,聚合账户,货款结算入账,小店自卖,'6925570638722858983,'6925570638722858983,'SS76299025842414723190109,2026-04-13 17:38:54,'3795714795936809351,疯狂动物城卡通甜美少女刘海侧边夹可爱爪爪冰棍发夹粉色猫爪发夹,,,普通订单,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,是-商品卡免佣,0,义乌市增绩电子商务商行,订单结算
2026-04-21 03:40:58,'2026042103405517498442598792,入账,3.98,聚合账户,货款结算入账,小店自卖,'6951984469064226188,'6951984469064226188,'SS76299163913737183100208,2026-04-11 00:22:09,'3780821082009895039,秋冬款韩系防滑带齿豹纹发箍毛绒发箍洗脸化妆发卡头箍束发带发饰,,,普通订单,2,0,0,2,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市增绩电子商务商行,订单结算
2026-04-21 03:40:58,'2026042103405507344463768792,入账,3.79,聚合账户,货款结算入账,小店自卖,'6951967089244182327,'6951967089244182327,'SS76299548651201497860006,2026-04-11 08:51:30,'3657830144011281947,大版蝴蝶抓夹黑色法式女后脑勺高头饰遮阳鲨鱼夹抓夹绸缎时尚发饰,,,普通订单,3.81,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市增绩电子商务商行,订单结算
2026-04-21 03:40:58,'2026042103405520098260988792,入账,3.79,聚合账户,货款结算入账,小店自卖,'6925632201756933763,'6925632201756933763,'SS76300691491164162920028,2026-04-15 22:48:44,'3657830144011281947,大版蝴蝶抓夹黑色法式女后脑勺高头饰遮阳鲨鱼夹抓夹绸缎时尚发饰,,,普通订单,0.01,0,0,3.8,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市增绩电子商务商行,订单结算
2026-04-21 03:40:58,'2026042103405414262646268792,入账,0.56,聚合账户,货款结算入账,小店自卖,'6925586090569727445,'6925586090569727445,'SS76300656655188833630196,2026-04-14 09:08:02,'3795714795936809351,疯狂动物城卡通甜美少女刘海侧边夹可爱爪爪冰棍发夹粉色猫爪发夹,,,普通订单,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,是-商品卡免佣,0,义乌市增绩电子商务商行,订单结算
2026-04-21 03:40:58,'2026042103405540618071148792,入账,0.53,聚合账户,货款结算入账,小店自卖,'6925554682169097448,'6925554682169097448,'SS76297835409478131350083,2026-04-13 00:21:18,'3795714795936809351,疯狂动物城卡通甜美少女刘海侧边夹可爱爪爪冰棍发夹粉色猫爪发夹,,,普通订单,0.56,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,,0,义乌市增绩电子商务商行,订单结算
2026-04-21 03:42:52,'2026042103424726979210588792,入账,4.75,聚合账户,货款结算入账,小店自卖,'6952092054801029002,'6952092054801029002,'SS76300574193429552980198,2026-04-15 20:13:07,'3812785057387643369,超温柔!粉色双面蝴蝶结香蕉夹后脑勺盘发竖夹气质高马尾发夹发饰,,,普通订单,4.78,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市增绩电子商务商行,订单结算
2026-04-21 03:42:52,'2026042103424637302810068792,入账,3.73,聚合账户,货款结算入账,小店自卖,'6925491197164748368,'6925491197164748368,'SS76299157927217935770127,2026-04-10 23:14:21,'3809046546171953320,韩系扁头百搭小野氛围波点蝴蝶结抓夹鲨鱼夹半扎发夹气质发饰头饰,,,普通订单,3.75,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市增绩电子商务商行,订单结算
2026-04-21 03:42:52,'2026042103424701062832798792,入账,0.56,聚合账户,货款结算入账,小店自卖,'6952051796453365210,'6952051796453365210,'SS76299515195845511940075,2026-04-14 06:11:02,'3795714795936809351,疯狂动物城卡通甜美少女刘海侧边夹可爱爪爪冰棍发夹粉色猫爪发夹,,,普通订单,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,是-商品卡免佣,0,义乌市增绩电子商务商行,订单结算
2026-04-21 03:42:52,'2026042103424807681810448792,入账,5.66,聚合账户,货款结算入账,小店自卖,'6951993835940746396,'6951993835940746396,'SS76299546579681654260219,2026-04-11 11:43:39,'3706795469406601354,可爱少女皮筋头绳蝴蝶不伤发水晶高档双头皮筋长绳兔子扎头发发圈,,,普通订单,5.96,0,0,0,0,0,0,0,0,0,0,0,-0.3,0,0,0,0,0,0,,0,义乌市增绩电子商务商行,订单结算
2026-04-21 03:42:52,'2026042103424715656064068792,入账,1.86,聚合账户,货款结算入账,小店自卖,'6952050928542095131,'6952050928542095131,'SS76299039453148001710194,2026-04-13 17:52:14,'3795714795936809351,疯狂动物城卡通甜美少女刘海侧边夹可爱爪爪冰棍发夹粉色猫爪发夹,,,普通订单,0.01,0,0,1.86,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,0,0,是-商品卡免佣,0.07,义乌市增绩电子商务商行,订单结算
