动账时间,动帐流水号,动账方向,动账金额,动账账户,动账场景,计费类型,子订单号,订单号,售后编号,下单时间,商品ID,商品名称,达人ID,达人名称,订单类型,订单实付应结,运费实付,实际平台补贴_运费,实际平台补贴,其他平台补贴,以旧换新抵扣,政府补贴平台垫资,实际达人补贴,实际抖音支付补贴,实际抖音月付营销补贴,银行补贴,订单退款,平台服务费,佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,是否免佣,免佣金额,商户主体名称,备注
2026-04-21 01:14:18,'2026042101141332092165548659,入账,8.16,聚合账户,货款结算入账,小店自卖,'6925517780782316900,'6925517780782316900,'SS76299966980725972750170,2026-04-11 12:54:33,'3809263624472625291,新中式咖色碎花四层大肠发圈女慵懒风扎头发大号复古发饰头绳头饰,,,普通订单,8.21,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0,0,0,0,0,是-商品卡免佣,0.37,义乌市唬廉电子商务商行（个体工商户）,订单结算
2026-04-21 01:14:18,'2026042101141126730007308659,入账,4.09,聚合账户,货款结算入账,小店自卖,'6951993632345757172,'6951993632345757172,'SS76299241460635896700111,2026-04-11 09:30:56,'3737498107596898515,儿童黑色皮筋不伤发女童宝宝弹性好拇指发圈头绳小号皮筋发箍,,,普通订单,4.11,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市唬廉电子商务商行（个体工商户）,订单结算
2026-04-21 01:14:18,'2026042101141207356255188659,入账,4.93,聚合账户,货款结算入账,小店自卖,'6951958451711776596,'6951958451711776596,'SS76300213648303109550045,2026-04-10 03:24:51,'3796449479973011493,新款夏季前额侧边碎发发卡夹子头饰发箍盘发百搭双层刘海蓬松发夹,,,普通订单,4.96,0.4,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市唬廉电子商务商行（个体工商户）,订单结算
2026-04-21 01:14:18,'2026042101141200253796348659,入账,9.24,聚合账户,货款结算入账,小店自卖,'6952095252480464831,'6952095252480464831,'SS76301001771661112320096,2026-04-15 08:14:35,'3799403702553542806,冬季毛茸茸的mini小猫耳朵抓夹 三角甜美可爱甜高档鸭嘴发夹女,,,普通订单,9.3,0,0,0,0,0,0,0,0,0,0,0,-0.06,0,0,0,0,0,0,是-商品卡免佣,0.44,义乌市唬廉电子商务商行（个体工商户）,订单结算
2026-04-21 01:14:18,'2026042101141214686953378659,入账,2.77,聚合账户,货款结算入账,小店自卖,'6925650953589194466,'6925650953589194466,'SS76301179412285199450095,2026-04-16 20:36:11,'3737498107596898515,儿童黑色皮筋不伤发女童宝宝弹性好拇指发圈头绳小号皮筋发箍,,,普通订单,2.79,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市唬廉电子商务商行（个体工商户）,订单结算
2026-04-21 01:14:18,'2026042101141024334835268659,入账,3.36,聚合账户,货款结算入账,小店自卖,'6951962656752735760,'6951962656752735760,'SS76299928881977267700092,2026-04-11 10:45:49,'3796244857169772600,韩版东大门新款小众设计刘海碎发夹感炫彩高档侧边刘海夹鸭嘴夹,,,普通订单,3.38,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市唬廉电子商务商行（个体工商户）,订单结算
2026-04-21 01:14:18,'2026042101141101606945648659,入账,4.81,聚合账户,货款结算入账,小店自卖,'6925347936952221028,'6925347936952221028,'SS76274300762084646910145,2026-04-04 00:10:31,'3795484224912490696,可爱少女棉花糖猫碎发贴魔术贴无痕发饰甜美kitty少女可爱无痕碎,,,普通订单,4.84,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市唬廉电子商务商行（个体工商户）,订单结算
2026-04-21 01:14:18,'2026042101140927990635618659,入账,2.76,聚合账户,货款结算入账,小店自卖,'6951984927905813552,'6951984927905813552,'SS76300003402592586670068,2026-04-11 10:42:19,'3795484224912490696,可爱少女棉花糖猫碎发贴魔术贴无痕发饰甜美kitty少女可爱无痕碎,,,普通订单,2.78,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市唬廉电子商务商行（个体工商户）,订单结算
2026-04-21 01:14:18,'2026042101141126183767238659,入账,2.88,聚合账户,货款结算入账,小店自卖,'6925639364672978500,'6925639364672978500,'SS76300765192191882430036,2026-04-16 21:33:43,'3742961065479242108,新中式古风花朵发夹女后脑勺森系鸭嘴夹新款鲨鱼夹一字抓夹大号,,,普通订单,2.9,0.6,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市唬廉电子商务商行（个体工商户）,订单结算
2026-04-21 01:49:17,'2026042101490627861488708659,入账,5.53,聚合账户,货款结算入账,小店自卖,'6952069545784055689,'6952069545784055689,'SS76300458143500252430035,2026-04-14 11:46:09,'3795484224912490696,可爱少女棉花糖猫碎发贴魔术贴无痕发饰甜美kitty少女可爱无痕碎,,,普通订单,4.56,0,0,0,0,0,0,0,1,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市唬廉电子商务商行（个体工商户）,订单结算
