动账时间,动帐流水号,动账方向,动账金额,动账账户,动账场景,计费类型,子订单号,订单号,售后编号,下单时间,商品ID,商品名称,达人ID,达人名称,订单类型,订单实付应结,运费实付,实际平台补贴_运费,实际平台补贴,其他平台补贴,以旧换新抵扣,政府补贴平台垫资,实际达人补贴,实际抖音支付补贴,实际抖音月付营销补贴,银行补贴,订单退款,平台服务费,佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,是否免佣,免佣金额,商户主体名称,备注
2026-04-21 00:05:00,'2026042100044708067650968209,出账,4,聚合账户,评价有礼保证金扣款,,,,,,,,,,普通订单,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,义乌市衍郝电子商务商行,扣除货款充值评价有礼保证金，详情至【流量-营销工具-工具列表-评价有礼】查看
2026-04-21 01:07:14,'2026042101070938547300278209,入账,3.25,聚合账户,货款结算入账,小店自卖,'6951971651968702411,'6951971651968702411,'SS76299905252318579620145,2026-04-11 10:19:33,'3765042594023866584,国风新款中式水钻珠珠一字夹扭扭夹盘发抓夹发量高级感半扎发抓夹,,,普通订单,3.27,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市衍郝电子商务商行,订单结算
2026-04-21 01:25:09,'2026042101250017796139888209,入账,2.94,聚合账户,货款结算入账,小店自卖,'6951957871087195627,'6951957871087195627,'SS76299164042513126780001,2026-04-11 00:57:09,'3708484733857038545,细齿防滑压发波浪发箍简约植绒洗脸束神器百搭发饰网红夏天带齿,,,普通订单,3.1,0,0,0,0,0,0,0,0,0,0,0,-0.16,0,0,0,0,0,0,,0,义乌市衍郝电子商务商行,订单结算
2026-04-21 01:25:09,'2026042101245930076767358209,入账,3.95,聚合账户,货款结算入账,小店自卖,'6925502303225937895,'6925502303225937895,'SS76299767598954089380245,2026-04-10 23:16:07,'3765042594023866584,国风新款中式水钻珠珠一字夹扭扭夹盘发抓夹发量高级感半扎发抓夹,,,普通订单,3.97,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市衍郝电子商务商行,订单结算
2026-04-21 03:26:31,'2026042103262535746291608209,入账,1.91,聚合账户,货款结算入账,小店自卖,'6925508671893896948,'6925508671893896948,'SS76299534655567956900111,2026-04-11 07:47:28,'3796432579301867534,法式新款郁金香丸子头发夹时尚优雅气质网纱云朵马尾抓夹发夹头饰,,,普通订单,1.92,0,0,0,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,0,0,是-商品卡免佣,0.07,义乌市衍郝电子商务商行,订单结算
2026-04-21 03:26:31,'2026042103262408779374438209,入账,4.87,聚合账户,货款结算入账,小店自卖,'6925619379257507805,'6925619379257507805,'SS76300135950400722300230,2026-04-15 14:08:23,'3795547242727866426,爆款甜心摩卡法式韩系复古格纹云朵香蕉蝴蝶结飘带减龄学院马尾,,,普通订单,0.9,0,0,4,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市衍郝电子商务商行,订单结算
2026-04-21 03:26:31,'2026042103262536125578588209,入账,8.91,聚合账户,货款结算入账,小店自卖,'6925624614448823947,'6925624614448823947,'SS76300498407360596900062,2026-04-15 16:54:02,'3796027415784980629,甜美可爱卡通儿童新款屁屁三丽鸥高级丸子头发饰大肠花发圈头饰,,,普通订单,9.38,0,0,0,0,0,0,0,0,0,0,0,-0.47,0,0,0,0,0,0,,0,义乌市衍郝电子商务商行,订单结算
2026-04-21 03:26:31,'2026042103262316455764678209,入账,4.8,聚合账户,货款结算入账,小店自卖,'6951976376115729514,'6951976376115729514,'SS76299963727243348990121,2026-04-11 14:52:32,'3761202302652907894,网红仙气薄纱玫瑰花透明电话线发圈头饰麻花辫纹理发饰马尾辫头绳,,,普通订单,4.83,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市衍郝电子商务商行,订单结算
2026-04-21 03:26:31,'2026042103262617454210968209,入账,3.56,聚合账户,货款结算入账,小店自卖,'6925517733640896376,'6925517733640896376,'SS76299767634984312860064,2026-04-11 12:33:29,'3807027941574049865,甜美自制米菲兔无痕魔术贴发饰毛绒卡通发帖刘海贴甜美少女发饰,,,普通订单,0.58,0,0,3,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市衍郝电子商务商行,订单结算
2026-04-21 03:26:40,'2026042103263530618749988209,入账,6.71,聚合账户,货款结算入账,小店自卖,'6951974309958325437,'6951974309958325437,'SS76299962299795540940218,2026-04-11 14:35:59,'3770464204264439981,会发光的电灯泡发夹趣味搞笑发卡搞怪闪光刘海鸭嘴一字夹发饰,,,普通订单,6.75,0,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,义乌市衍郝电子商务商行,订单结算
