动账时间,动帐流水号,动账方向,动账金额,动账账户,动账场景,计费类型,子订单号,订单号,售后编号,下单时间,商品ID,商品名称,达人ID,达人名称,订单类型,订单实付应结,运费实付,实际平台补贴_运费,实际平台补贴,其他平台补贴,以旧换新抵扣,政府补贴平台垫资,实际达人补贴,实际抖音支付补贴,实际抖音月付营销补贴,银行补贴,订单退款,平台服务费,佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,是否免佣,免佣金额,商户主体名称,备注
2026-04-21 01:19:43,'2026042101193619304453538265,入账,2.42,聚合账户,货款结算入账,小店自卖,'6951776539482920607,'6951776539482920607,'SS76274302060219110920154,2026-04-03 20:46:56,'3808470599706214686,可爱蝴蝶结小猫无痕刘海贴魔术贴发饰少女前额侧边碎发贴整理神器,,,普通订单,2.43,0,0,0,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,0,0,是-商品卡免佣,0.07,义乌市隔逐电子商务商行（个体工商户）,订单结算
2026-04-21 01:28:15,'2026042101280635328497278265,入账,5.48,聚合账户,货款结算入账,小店自卖,'6951972891127453607,'6951972891127453607,'SS76299217140046072580013,2026-04-10 17:25:20,'3809819945160802744,黑色网红蝴蝶结抓夹后脑勺高级感大号鲨鱼夹公主发夹法式发卡发饰,,,普通订单,5.51,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市隔逐电子商务商行（个体工商户）,订单结算
2026-04-21 04:06:36,'2026042104062304912908868265,出账,5.05,聚合账户,上门取件运费,,'6952118355816289996,'6952118355816289996,'147448404554069455,,,,,,普通订单,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,义乌市隔逐电子商务商行（个体工商户）,因商品存在品质问题，扣除商家相应金额进行运费赔付-订单6952118355816289996-售后单147448404554069455-运单73704530972536
2026-04-21 04:08:36,'2026042104082409367718498265,入账,5.12,聚合账户,货款结算入账,小店自卖,'6925507716793925210,'6925507716793925210,'SS76299967459630784510019,2026-04-11 12:49:02,'3811844833430077727,少女粉小碎花蝴蝶结香蕉夹韩系ins风高马尾鲨鱼夹中号脑勺盘发,,,普通订单,5.15,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市隔逐电子商务商行（个体工商户）,订单结算
2026-04-21 04:11:09,'2026042104110025632158828265,入账,3.09,聚合账户,货款结算入账,小店自卖,'6952039446966900568,'6952039446966835032,'SS76300728639214717900039,2026-04-13 14:48:25,'3813337291414438361,可爱毛绒兔米菲针织魔术贴卡通侧边碎发米刘海贴前额bb时尚头饰,,,普通订单,3.11,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市隔逐电子商务商行（个体工商户）,订单结算
2026-04-21 04:11:09,'2026042104105917254162028265,入账,3.45,聚合账户,货款结算入账,小店自卖,'6952039446966966104,'6952039446966835032,'SS76300728602840277000146,2026-04-13 14:48:25,'3813341663758254211,韩国ins新款咖色百搭条纹大肠发圈甜美时尚扎丸子头头饰发饰复古,,,普通订单,3.47,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市隔逐电子商务商行（个体工商户）,订单结算
2026-04-21 04:11:09,'2026042104105822538488708265,入账,3.87,聚合账户,货款结算入账,小店自卖,'6952039446967031640,'6952039446966835032,'SS76300728553674020300134,2026-04-13 14:48:25,'3813348572229927091,时尚甜美小众花朵发圈欧根纱优雅气质简约复古水钻头绳女扎头皮筋,,,普通订单,3.89,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市隔逐电子商务商行（个体工商户）,订单结算
2026-04-21 04:11:09,'2026042104105927649152368265,入账,3.4,聚合账户,货款结算入账,小店自卖,'6925500895938052008,'6925500895938052008,'SS76300044584241072900198,2026-04-11 12:26:56,'3810942898720079981,云朵泡泡蝴蝶结抓夹新款黑色蝴蝶结发夹大号后脑勺盘发鲨鱼夹子,,,普通订单,3.58,0,0,0,0,0,0,0,0,0,0,0,-0.18,0,0,0,0,0,0,,0,义乌市隔逐电子商务商行（个体工商户）,订单结算
2026-04-21 05:46:33,'2026042105462821055572898265,入账,2.7,聚合账户,货款结算入账,小店自卖,'6925547292120612400,'6925547292120612400,'SS76298310440324510780100,2026-04-12 23:44:46,'3808889676719325489,简约红大号南瓜抓夹女发量多加宽后脑勺发夹气质鲨鱼夹头饰发饰,,,普通订单,2.72,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市隔逐电子商务商行（个体工商户）,订单结算
2026-04-21 05:46:33,'2026042105462902181371248265,入账,5.94,聚合账户,货款结算入账,小店自卖,'6952039446967097176,'6952039446966835032,'SS76300728684744056660121,2026-04-13 14:48:25,'3813506684907815426,简约可爱俏皮风蓬松卡通一字发卡碎发刘海头饰女用无痕化妆头发夹,,,普通订单,5.98,0,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,义乌市隔逐电子商务商行（个体工商户）,订单结算
