动账时间,动帐流水号,动账方向,动账金额,动账账户,动账场景,计费类型,子订单号,订单号,售后编号,下单时间,商品ID,商品名称,达人ID,达人名称,订单类型,订单实付应结,运费实付,实际平台补贴_运费,实际平台补贴,其他平台补贴,以旧换新抵扣,政府补贴平台垫资,实际达人补贴,实际抖音支付补贴,实际抖音月付营销补贴,银行补贴,订单退款,平台服务费,佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,是否免佣,免佣金额,商户主体名称,备注
2026-04-21 01:11:28,'2026042101112330461302289539,入账,2.97,聚合账户,货款结算入账,巨量千川,'6925501784154209807,'6925501784154209807,'SS76298946180271969640152,2026-04-10 20:31:46,'3811082891065163878,M豆发绳气质头绳彩色糖果色发圈简约网红可爱皮筋百搭头发饰少女,,,普通订单,2.99,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-21 01:11:28,'2026042101112434901696349539,入账,7.54,聚合账户,货款结算入账,小店自卖,'6951950830265374313,'6951950830265374313,'SS76299157997215585430089,2026-04-10 17:12:14,'3771728569672269942,2025新款爆款女孩百搭发夹女童可爱卡通发卡宝宝碎发刘海夹子发饰,,,普通订单,7.59,0.6,0,0,0,0,0,0,0,0,0,0,-0.05,0,0,0,0,0,0,是-商品卡免佣,0.37,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-21 01:11:28,'2026042101112416402194279539,入账,3.37,聚合账户,货款结算入账,小店自卖,'6952023943133926876,'6952023943133926876,'SS76298736329497976320118,2026-04-13 14:48:37,'3807211302443679752,紫色玫瑰花木簪夏季发簪网纱花朵发钗古风簪花头饰气质发饰配饰女,,,普通订单,3.19,0,0,0,0,0,0,0,0.2,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-21 01:11:28,'2026042101112409027917149539,入账,5.63,聚合账户,货款结算入账,小店自卖,'6951987426916701581,'6951987426916701581,'SS76300000773452600950108,2026-04-11 13:50:26,'3775450659281830334,新款包包丝巾卡其裸色系百搭韩版飘带扎发发带装饰春秋职业领巾女,,,普通订单,5.66,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-21 01:11:28,'2026042101112424286868889539,入账,4.85,聚合账户,货款结算入账,巨量千川,'6951982202209834602,'6951982202209834602,'SS76299543142868260190102,2026-04-11 00:31:53,'3766934741782233570,夏天简约扭扭一字夹水钻抓夹高级发夹后脑勺盘发器随手盘发头饰女,,,普通订单,4.88,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-21 01:11:33,'2026042101112915563207749539,入账,2.97,聚合账户,货款结算入账,巨量千川,'6925499479504616791,'6925499479504616791,'SS76298946143849357310088,2026-04-10 20:29:23,'3811082891065163878,M豆发绳气质头绳彩色糖果色发圈简约网红可爱皮筋百搭头发饰少女,,,普通订单,2.99,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-21 01:11:33,'2026042101112931168105329539,入账,2.94,聚合账户,货款结算入账,小店自卖,'6951962241264129309,'6951962241264129309,'SS76299164103402337340216,2026-04-11 01:22:12,'3807002775188013235,2026新款发饰樱桃红珠扭扭夹牛仔蝴蝶结一字抓夹女高级感盘发夹,,,普通订单,2.96,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-21 01:11:33,'2026042101112817677891109539,入账,2.27,聚合账户,货款结算入账,巨量千川,'6925545281240595537,'6925545281240595537,'SS76299799266656588890138,2026-04-12 23:50:16,'3806831189021557250,高级发夹夏天简约随手盘发一字夹时尚水钻抓夹扭扭后脑勺盘发器,,,普通订单,2.28,0,0,0,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,0,0,是-商品卡免佣,0.07,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-21 01:11:33,'2026042101112420393659249539,入账,3.85,聚合账户,货款结算入账,小店自卖,'6951982782604055633,'6951982782604055633,'SS76300008802631196620083,2026-04-11 11:27:50,'3809291168181780494,新款韩版min泡泡辫编发神器儿童彩色时尚活力头绳卷卷电话线头饰,,,普通订单,3.87,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-21 01:11:33,'2026042101112800471045489539,入账,2.97,聚合账户,货款结算入账,小店自卖,'6952038178488849410,'6952038178488849410,'SS76300572091577306110089,2026-04-14 03:50:23,'3811082891065163878,M豆发绳气质头绳彩色糖果色发圈简约网红可爱皮筋百搭头发饰少女,,,普通订单,2.99,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市贯圳电子商务商行（个体工商户）,订单结算
