动账时间,动帐流水号,动账方向,动账金额,动账账户,动账场景,计费类型,子订单号,订单号,售后编号,下单时间,商品ID,商品名称,达人ID,达人名称,订单类型,订单实付应结,运费实付,实际平台补贴_运费,实际平台补贴,其他平台补贴,以旧换新抵扣,政府补贴平台垫资,实际达人补贴,实际抖音支付补贴,实际抖音月付营销补贴,银行补贴,订单退款,平台服务费,佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,是否免佣,免佣金额,商户主体名称,备注
2026-04-21 00:25:16,'2026042100250608263437304242,入账,118,聚合账户,评价有礼活动资金回退,,,,,,,,,,普通订单,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,义乌市蓓行电子商务商行（个体工商户）,评价有礼活动资金回退
2026-04-21 01:14:10,'2026042101140326262740484242,入账,3.7,聚合账户,货款结算入账,巨量千川,'6951963940802336210,'6951963940802336210,'SS76298957040350502550053,2026-04-10 19:54:04,'3807220077028311460,【超显气质】简约不硌头扭扭夹发夹女2026新款盘发抓夹高级感水钻珠珠一字夹子,,,普通订单,3.89,0,0,0,0,0,0,0,0,0,0,0,-0.19,0,0,0,0,0,0,,0,义乌市蓓行电子商务商行（个体工商户）,订单结算
2026-04-21 01:14:10,'2026042101140606517563034242,入账,3.7,聚合账户,货款结算入账,巨量千川,'6952035005401404813,'6952035005401404813,'SS76300888382450240090063,2026-04-13 14:38:56,'3807220077028311460,【超显气质】简约不硌头扭扭夹发夹女2026新款盘发抓夹高级感水钻珠珠一字夹子,,,普通订单,3.89,0,0,0,0,0,0,0,0,0,0,0,-0.19,0,0,0,0,0,0,,0,义乌市蓓行电子商务商行（个体工商户）,订单结算
2026-04-21 01:14:10,'2026042101140308485773074242,入账,5.15,聚合账户,货款结算入账,小店自卖,'6925486140391849728,'6925486140391849728,'SS76299158313847857180184,2026-04-10 17:15:35,'3801832059815723099,懒人公主头编发夹女前额双层侧边夹子刘海碎发编发发夹鸭嘴夹发卡,,,普通订单,5.18,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市蓓行电子商务商行（个体工商户）,订单结算
2026-04-21 01:14:10,'2026042101140200973051264242,入账,3.67,聚合账户,货款结算入账,小店自卖,'6925521344734723626,'6925521344734723626,'SS76301265904789266440209,2026-04-11 22:30:46,'3799969300262028066,复古波点褶皱香蕉夹高级感马尾扭扭竖夹后脑勺显发量横夹发卡发饰,,,普通订单,3.69,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市蓓行电子商务商行（个体工商户）,订单结算
2026-04-21 01:14:10,'2026042101140340169807714242,入账,10.68,聚合账户,货款结算入账,小店自卖,'6952056807546296296,'6952056807546296296,'SS76301239572742971290101,2026-04-14 15:15:40,'3807250008697339947,蓝咖格子大肠发圈蓝色韩系新款复古四层头发丸子马尾高级头绳发饰,,,普通订单,10.74,0,0,0,0,0,0,0,0,0,0,0,-0.06,0,0,0,0,0,0,是-商品卡免佣,0.44,义乌市蓓行电子商务商行（个体工商户）,订单结算
2026-04-21 01:14:10,'2026042101140036882025054242,入账,8.08,聚合账户,货款结算入账,小店自卖,'6925643479312006459,'6925643479312006459,'SS76299891169482017700097,2026-04-16 14:39:42,'3805708033615593705,咖色磨砂抓夹大号发夹女2026年新款后脑勺发量多鲨鱼夹子发卡头饰,,,普通订单,8.13,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0,0,0,0,0,是-商品卡免佣,0.37,义乌市蓓行电子商务商行（个体工商户）,订单结算
2026-04-21 01:14:10,'2026042101140514557844824242,入账,4.21,聚合账户,货款结算入账,小店自卖,'6952076266093286748,'6952076266093286748,'SS76299141623749186910161,2026-04-14 10:25:22,'3807250008697339947,蓝咖格子大肠发圈蓝色韩系新款复古四层头发丸子马尾高级头绳发饰,,,普通订单,4.24,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市蓓行电子商务商行（个体工商户）,订单结算
2026-04-21 01:14:10,'2026042101140409529758724242,入账,2.82,聚合账户,货款结算入账,小店自卖,'6952097503228466338,'6952097503228466338,'SS76299854326643307870111,2026-04-15 09:57:26,'3807235944625602787,LOVEIXCC南瓜豹纹抓夹大号发量大2026新款高级感鲨鱼夹后脑勺发夹,,,普通订单,2.84,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市蓓行电子商务商行（个体工商户）,订单结算
2026-04-21 01:14:10,'2026042101140409528775684242,入账,9.82,聚合账户,货款结算入账,小店自卖,'6951960535571634028,'6951960535571634028,'SS76299566812674629640160,2026-04-11 08:35:31,'3798263450837320143,儿童是兔子警官可爱兔子帽子发夹边夹侧边发卡女卡通甜美拍照道具,,,普通订单,9.88,0,0,0,0,0,0,0,0,0,0,0,-0.06,0,0,0,0,0,0,是-商品卡免佣,0.44,义乌市蓓行电子商务商行（个体工商户）,订单结算
2026-04-21 01:14:10,'2026042101140105714744824242,入账,6.55,聚合账户,货款结算入账,巨量千川,'6925511352139480189,'6925511352139480189,'SS76299544305029455360123,2026-04-11 09:52:54,'3811112236538265926,【超值特惠】古风高级感发夹女2026新款网红后脑抓夹发量少专用水钻一字扭扭夹,,,普通订单,6.89,0,0,0,0,0,0,0,0,0,0,0,-0.34,0,0,0,0,0,0,,0,义乌市蓓行电子商务商行（个体工商户）,订单结算
2026-04-21 01:14:10,'2026042101140207767864414242,入账,3.38,聚合账户,货款结算入账,小店自卖,'6925499584989003344,'6925499584989003344,'SS76299159521091423230231,2026-04-10 21:08:03,'3801832059815723099,懒人公主头编发夹女前额双层侧边夹子刘海碎发编发发夹鸭嘴夹发卡,,,普通订单,3.56,0,0,0,0,0,0,0,0,0,0,0,-0.18,0,0,0,0,0,0,,0,义乌市蓓行电子商务商行（个体工商户）,订单结算
2026-04-21 01:14:10,'2026042101140231012172804242,入账,3.7,聚合账户,货款结算入账,巨量千川,'6951973771340224461,'6951973771340224461,'SS76299551776672322900239,2026-04-11 08:37:18,'3807220077028311460,【超显气质】简约不硌头扭扭夹发夹女2026新款盘发抓夹高级感水钻珠珠一字夹子,,,普通订单,3.89,0,0,0,0,0,0,0,0,0,0,0,-0.19,0,0,0,0,0,0,,0,义乌市蓓行电子商务商行（个体工商户）,订单结算
2026-04-21 01:14:10,'2026042101140602016381844242,入账,6.03,聚合账户,货款结算入账,小店自卖,'6951976209250194604,'6951976209250194604,'SS76299996350723568730073,2026-04-11 12:32:15,'3805708033615593705,咖色磨砂抓夹大号发夹女2026年新款后脑勺发量多鲨鱼夹子发卡头饰,,,普通订单,6.07,0,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,义乌市蓓行电子商务商行（个体工商户）,订单结算
2026-04-21 01:14:11,'2026042101140607093455714242,出账,0.01,聚合账户,公益捐款,,'6925511352139480189,'6925511352139480189,,,,,,,普通订单,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,义乌市蓓行电子商务商行（个体工商户）,公益捐款支出|贵州省慈善总会|6925511352139480189
2026-04-21 01:14:11,'2026042101140537054592524242,出账,0.01,聚合账户,公益捐款,,'6925499584989003344,'6925499584989003344,,,,,,,普通订单,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,义乌市蓓行电子商务商行（个体工商户）,公益捐款支出|贵州省慈善总会|6925499584989003344
2026-04-21 01:14:11,'2026042101140501030720364242,出账,0.01,聚合账户,公益捐款,,'6952076266093286748,'6952076266093286748,,,,,,,普通订单,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,义乌市蓓行电子商务商行（个体工商户）,公益捐款支出|贵州省慈善总会|6952076266093286748
2026-04-21 01:14:11,'2026042101140534243425794242,出账,0.01,聚合账户,公益捐款,,'6925521344734723626,'6925521344734723626,,,,,,,普通订单,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,义乌市蓓行电子商务商行（个体工商户）,公益捐款支出|贵州省慈善总会|6925521344734723626
2026-04-21 01:14:11,'2026042101140418571474024242,出账,0.01,聚合账户,公益捐款,,'6951973771340224461,'6951973771340224461,,,,,,,普通订单,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,义乌市蓓行电子商务商行（个体工商户）,公益捐款支出|贵州省慈善总会|6951973771340224461
2026-04-21 01:14:12,'2026042101140620386619234242,出账,0.01,聚合账户,公益捐款,,'6951960535571634028,'6951960535571634028,,,,,,,普通订单,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,义乌市蓓行电子商务商行（个体工商户）,公益捐款支出|贵州省慈善总会|6951960535571634028
2026-04-21 01:26:58,'2026042101264928151198824242,入账,3.7,聚合账户,货款结算入账,巨量千川,'6951976036961228076,'6951976036961228076,'SS76299761255158586970142,2026-04-11 10:48:22,'3807220077028311460,【超显气质】简约不硌头扭扭夹发夹女2026新款盘发抓夹高级感水钻珠珠一字夹子,,,普通订单,3.89,0,0,0,0,0,0,0,0,0,0,0,-0.19,0,0,0,0,0,0,,0,义乌市蓓行电子商务商行（个体工商户）,订单结算
2026-04-21 01:26:58,'2026042101264936714749594242,入账,2.72,聚合账户,货款结算入账,小店自卖,'6925507573448998361,'6925507573448998361,'SS76299761555084091220022,2026-04-11 11:34:44,'3799969300262028066,复古波点褶皱香蕉夹高级感马尾扭扭竖夹后脑勺显发量横夹发卡发饰,,,普通订单,2.74,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市蓓行电子商务商行（个体工商户）,订单结算
2026-04-21 01:26:58,'2026042101265204878666394242,入账,3.82,聚合账户,货款结算入账,小店自卖,'6925511907396845391,'6925511907396845391,'SS76299996495579553470210,2026-04-11 13:36:36,'3805708033615593705,咖色磨砂抓夹大号发夹女2026年新款后脑勺发量多鲨鱼夹子发卡头饰,,,普通订单,3.84,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市蓓行电子商务商行（个体工商户）,订单结算
2026-04-21 01:26:58,'2026042101265121560363874242,入账,3.97,聚合账户,货款结算入账,小店自卖,'6925495113366600962,'6925495113366600962,'SS76299158731352315420128,2026-04-10 20:25:32,'3798263450837320143,儿童是兔子警官可爱兔子帽子发夹边夹侧边发卡女卡通甜美拍照道具,,,普通订单,0.01,0,0,0,0,0,0,0,0,3.98,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市蓓行电子商务商行（个体工商户）,订单结算
2026-04-21 01:26:58,'2026042101265002108667284242,入账,3.35,聚合账户,货款结算入账,小店自卖,'6925550780762259298,'6925550780762259298,'SS76300017668139093110073,2026-04-12 14:26:04,'3811112236538265926,古风高级感发夹女2026新款网红后脑抓夹发量少专用水钻一字扭扭夹,,,普通订单,3.37,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市蓓行电子商务商行（个体工商户）,订单结算
2026-04-21 01:26:58,'2026042101264917533837144242,入账,4.89,聚合账户,货款结算入账,小店自卖,'6925497680361323997,'6925497680361323997,'SS76299159448954970140022,2026-04-10 21:53:46,'3807210443248894285,韩风发夹侧边夹FRANCE小号一字夹法式简约鸭嘴夹顶夹水墨豹纹时尚,,,普通订单,4.92,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市蓓行电子商务商行（个体工商户）,订单结算
2026-04-21 01:26:58,'2026042101265037148759194242,入账,4.65,聚合账户,货款结算入账,小店自卖,'6925524621485178085,'6925524621485178085,'SS76299141438369958810035,2026-04-12 14:05:40,'3811112236538265926,【超值特惠】古风高级感发夹女2026新款网红后脑抓夹发量少专用水钻一字扭扭夹,,,普通订单,4.89,0,0,0,0,0,0,0,0,0,0,0,-0.24,0,0,0,0,0,0,,0,义乌市蓓行电子商务商行（个体工商户）,订单结算
2026-04-21 01:26:58,'2026042101265012878318084242,入账,5.15,聚合账户,货款结算入账,小店自卖,'6952071279939687731,'6952071279939687731,'SS76300367130664678810127,2026-04-15 11:55:45,'3801832059815723099,懒人公主头编发夹女前额双层侧边夹子刘海碎发编发发夹鸭嘴夹发卡,,,普通订单,5.18,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市蓓行电子商务商行（个体工商户）,订单结算
