动账时间,动帐流水号,动账方向,动账金额,动账账户,动账场景,计费类型,子订单号,订单号,售后编号,下单时间,商品ID,商品名称,达人ID,达人名称,订单类型,订单实付应结,运费实付,实际平台补贴_运费,实际平台补贴,其他平台补贴,以旧换新抵扣,政府补贴平台垫资,实际达人补贴,实际抖音支付补贴,实际抖音月付营销补贴,银行补贴,订单退款,平台服务费,佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,是否免佣,免佣金额,商户主体名称,备注
2026-04-21 01:07:18,'2026042101071325720468758849,入账,4.44,聚合账户,货款结算入账,小店自卖,'6925497430453222570,'6925497430453222570,'SS76299159074783070720089,2026-04-10 20:14:39,'3768810201629720709,可爱卡通蕾丝条纹蝴蝶结抓夹女爆款发量多发夹后脑勺高级感鲨鱼夹,,,普通订单,4.47,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-21 01:07:18,'2026042101071502740063068849,入账,4.65,聚合账户,货款结算入账,小店自卖,'6951955738352162252,'6951955738352162252,'SS76299164004250913630236,2026-04-11 00:06:19,'3768810201629720709,可爱卡通蕾丝条纹蝴蝶结抓夹女爆款发量多发夹后脑勺高级感鲨鱼夹,,,普通订单,4.68,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-21 01:07:19,'2026042101071317882649948849,入账,3.61,聚合账户,货款结算入账,小店自卖,'6952092968361923602,'6952092968361923602,'SS76297876020492211300134,2026-04-15 01:47:22,'3666948871772307700,新款在逃公主头饰黑色双面大蝴蝶结抓夹发饰气质鲨鱼夹子发夹,,,普通订单,3.63,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-21 01:07:19,'2026042101071333058491398849,入账,2.69,聚合账户,货款结算入账,小店自卖,'6925504265197551062,'6925504265197551062,'SS76299224970790013820005,2026-04-10 23:21:57,'3763425341150986416,发卡女2025新款洗脸专用碎发发饰压发夹带齿黑色头饰架高颅顶发饰,,,普通订单,2.83,0.5,0,0,0,0,0,0,0,0,0,0,-0.14,0,0,0,0,0,0,,0,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-21 01:07:19,'2026042101071602015070818849,入账,3.84,聚合账户,货款结算入账,小店自卖,'6925262212474305751,'6925262212474305751,'SS76299336983344297500249,2026-04-01 00:24:44,'3808506288594354179,路易斯星语抓夹气质优雅时尚百搭后脑勺赫本风法式路易斯星语抓夹,,,普通订单,3.86,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-21 01:07:19,'2026042101071418844721168849,入账,13.44,聚合账户,货款结算入账,小店自卖,'6952108906989229330,'6952108906989229330,'SS76299916032354060800185,2026-04-16 16:19:06,'3768810201629720709,可爱卡通蕾丝条纹蝴蝶结抓夹女爆款发量多发夹后脑勺高级感鲨鱼夹,,,普通订单,13.52,0,0,0,0,0,0,0,0,0,0,0,-0.08,0,0,0,0,0,0,是-商品卡免佣,0.59,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-21 01:07:27,'2026042101072340391521478849,入账,4.57,聚合账户,货款结算入账,小店自卖,'6925498080777305721,'6925498080777305721,'SS76299164322186038140074,2026-04-11 00:43:43,'3760838057272672704,高级感轻奢金属发夹女后脑勺抓夹扣盘发气质发卡头饰一字夹扭扭夹,,,普通订单,4.6,0.4,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-21 01:07:27,'2026042101072401598753348849,入账,5.9,聚合账户,货款结算入账,小店自卖,'6925486420043529806,'6925486420043529806,'SS76299159181571689500016,2026-04-10 19:16:08,'3689374783545409620,ins风发饰儿童发夹少女韩版色网红碎发夹边夹刘海夹学生bb夹头饰,,,普通订单,5.94,0,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-21 01:07:27,'2026042101072223755167158849,入账,1.38,聚合账户,货款结算入账,小店自卖,'6925486235636236221,'6925486235636236221,'SS76299157756717635080222,2026-04-10 17:50:01,'3666965497456492639,儿童花朵盘发神器新款宝宝丸子头盘发器发饰,,,普通订单,1.39,0,0,0,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,0,0,是-商品卡免佣,0.07,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-21 01:07:27,'2026042101072307102633598849,入账,10.72,聚合账户,货款结算入账,小店自卖,'6925498477430931264,'6925498477430931264,'SS76299551401071413950128,2026-04-11 09:33:31,'3806245012002439650,米菲兔巨显发量香蕉兔子后脑勺盘发百搭少女发饰时尚可爱波点网红,,,普通订单,10.78,0,0,0,0,0,0,0,0,0,0,0,-0.06,0,0,0,0,0,0,是-商品卡免佣,0.44,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-21 01:07:27,'2026042101072205085924258849,入账,3.72,聚合账户,货款结算入账,小店自卖,'6925506635180834332,'6925506635180834332,'SS76299549941306823940086,2026-04-10 23:27:27,'3806613530849968301,蝴蝶结发带女飘带头绳大肠发圈高级感扎头发皮筋发饰发绳法式甜美,,,普通订单,3.74,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-21 01:07:29,'2026042101072511786982508849,入账,2.93,聚合账户,货款结算入账,小店自卖,'6925490409532849251,'6925490409532849251,'SS76299223449704535390032,2026-04-10 17:44:02,'3670287231806996802,发卡女2024新款洗脸专用碎发发饰压发夹带齿黑色头饰架高颅顶发饰,,,普通订单,2.95,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-21 03:17:25,'2026042103172009196838808849,入账,3.78,聚合账户,货款结算入账,小店自卖,'6951979836488947313,'6951979836488947313,'SS76299164167282693500203,2026-04-10 23:38:42,'3671607315632619542,超大号抓夹发量多加大号抓夹女时尚夏季简约鲨鱼夹发女后脑勺发饰,,,普通订单,0.01,0,0,3.97,0,0,0,0,0,0,0,0,-0.2,0,0,0,0,0,0,,0,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-21 03:17:25,'2026042103172032718036918849,入账,6.1,聚合账户,货款结算入账,小店自卖,'6925547441145871389,'6925547441145871389,'SS76300744661187179520098,2026-04-13 01:21:15,'3768810201629720709,可爱卡通蕾丝条纹蝴蝶结抓夹女爆款发量多发夹后脑勺高级感鲨鱼夹,,,普通订单,10.14,0,0,0,0,0,0,0,0,0,0,-4,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-21 03:17:25,'2026042103172123210074038849,入账,4.39,聚合账户,货款结算入账,小店自卖,'6925506161154030933,'6925506161154030933,'SS76299159399533000100228,2026-04-10 20:47:52,'3753575295475646545,水钻太阳花抓夹马尾丸子头抓夹气质百搭发饰小香风网红头饰简约,,,普通订单,4.42,1,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-21 03:17:25,'2026042103172033774679238849,入账,3.83,聚合账户,货款结算入账,小店自卖,'6925605593889472233,'6925605593889472233,'SS76300440758589732350048,2026-04-14 18:27:35,'3670287231806996802,发卡女2024新款洗脸专用碎发发饰压发夹带齿黑色头饰架高颅顶发饰,,,普通订单,3.85,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市贯圳电子商务商行（个体工商户）,订单结算
