动账时间,动帐流水号,动账方向,动账金额,动账账户,动账场景,计费类型,子订单号,订单号,售后编号,下单时间,商品ID,商品名称,达人ID,达人名称,订单类型,订单实付应结,运费实付,实际平台补贴_运费,实际平台补贴,其他平台补贴,以旧换新抵扣,政府补贴平台垫资,实际达人补贴,实际抖音支付补贴,实际抖音月付营销补贴,银行补贴,订单退款,平台服务费,佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,是否免佣,免佣金额,商户主体名称,备注
2026-04-21 01:20:21,'2026042101201406084572593135,入账,7.51,聚合账户,货款结算入账,小店自卖,'6925625899374313338,'6925625899374313338,'SS76300258039671365220169,2026-04-16 06:53:00,'3704006560519946376,蝴蝶香蕉女大号新款高级甜美发夹夹子头饰发卡鲨鱼法式女款,,,普通订单,7.56,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0,0,0,0,0,是-商品卡免佣,0.37,义乌市绩妨电子商务商行（个体工商户）,订单结算
2026-04-21 01:20:21,'2026042101201436074785433135,入账,12.94,聚合账户,货款结算入账,小店自卖,'6952055429543630063,'6952055429543630063,'SS76298781294155702120162,2026-04-13 19:53:16,'3704021940739113235,2025新款甜珠蝴蝶抓夹女后脑勺夏季森系盘发夹超仙大号鲨鱼夹头饰,,,普通订单,13.02,1.25,0,0,0,0,0,0,0,0,0,0,-0.08,0,0,0,0,0,0,是-商品卡免佣,0.59,义乌市绩妨电子商务商行（个体工商户）,订单结算
2026-04-21 01:20:21,'2026042101201323244311103135,入账,6.62,聚合账户,货款结算入账,小店自卖,'6925493839821832107,'6925493839821832107,'SS76299164918333120260116,2026-04-11 00:27:13,'3795520547341861089,可爱网红爆款抓夹大号韩国2026新款气质高级感夹子后脑勺发夹鲨鱼,,,普通订单,6.66,0,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,义乌市绩妨电子商务商行（个体工商户）,订单结算
2026-04-21 01:20:21,'2026042101201115702433343135,入账,3.2,聚合账户,货款结算入账,小店自卖,'6925529253142363577,'6925529253142363577,'SS76300244263396805210216,2026-04-12 12:22:37,'3799054266094715138,明星同款高颅顶圆形金属发扣刘海发夹女前额侧边夹水钻发卡头饰,,,普通订单,3.37,0,0,0,0,0,0,0,0,0,0,0,-0.17,0,0,0,0,0,0,,0,义乌市绩妨电子商务商行（个体工商户）,订单结算
2026-04-21 01:20:21,'2026042101201318253952193135,入账,6.62,聚合账户,货款结算入账,小店自卖,'6951948457634698298,'6951948457634698298,'SS76299158195274429790135,2026-04-10 19:55:47,'3795520547341861089,可爱网红爆款抓夹大号韩国2026新款气质高级感夹子后脑勺发夹鲨鱼,,,普通订单,6.66,0,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,义乌市绩妨电子商务商行（个体工商户）,订单结算
2026-04-21 01:20:21,'2026042101201402561149983135,入账,7.3,聚合账户,货款结算入账,小店自卖,'6925635932065988429,'6925635932065988429,'SS76299884255140787710132,2026-04-16 01:19:53,'3795849393593253943,复古皮质豹纹卡通蕾丝格纹三角抓夹发夹新款高级百搭后脑勺鲨鱼夹,,,普通订单,7.68,0,0,0,0,0,0,0,0,0,0,0,-0.38,0,0,0,0,0,0,,0,义乌市绩妨电子商务商行（个体工商户）,订单结算
2026-04-21 01:20:21,'2026042101201401220288063135,入账,6.62,聚合账户,货款结算入账,小店自卖,'6925568433803984289,'6925568433803984289,'SS76300394793649976750125,2026-04-13 21:02:08,'3795520547341861089,可爱网红爆款抓夹大号韩国2026新款气质高级感夹子后脑勺发夹鲨鱼,,,普通订单,6.66,0,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,义乌市绩妨电子商务商行（个体工商户）,订单结算
2026-04-21 01:34:34,'2026042101343027348505983135,入账,4.62,聚合账户,货款结算入账,小店自卖,'6925595321747668697,'6925595321747668697,'SS76298006577965962600122,2026-04-15 09:12:34,'3795893086354276474,2026新年喜庆红色小抓夹女侧边碎发刘海夹发夹百搭高级感发饰头饰,,,普通订单,4.65,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市绩妨电子商务商行（个体工商户）,订单结算
2026-04-21 01:34:34,'2026042101342835115054183135,入账,7.94,聚合账户,货款结算入账,小店自卖,'6925495605977512975,'6925495605977512975,'SS76299549122311130230239,2026-04-10 23:37:47,'3810563352443355256,新款赫本风三角抓夹发卡发量多大号高级感发夹后脑勺盘发鲨鱼夹子,,,普通订单,7.99,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0,0,0,0,0,是-商品卡免佣,0.37,义乌市绩妨电子商务商行（个体工商户）,订单结算
2026-04-21 01:34:34,'2026042101342841904747863135,入账,2.92,聚合账户,货款结算入账,小店自卖,'6951978570473018652,'6951978570473018652,'SS76299549241483474070093,2026-04-11 11:23:33,'3794583299628859720,可爱卡通法式珍珠三角抓夹女新款发量多发夹后脑勺高级感鲨鱼夹,,,普通订单,2.94,0.35,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市绩妨电子商务商行（个体工商户）,订单结算
2026-04-21 01:34:34,'2026042101342828703296003135,入账,5.63,聚合账户,货款结算入账,小店自卖,'6952068403202102484,'6952068403202102484,'SS76298880429078164860074,2026-04-14 20:16:32,'3795520547341861089,可爱网红爆款抓夹大号韩国2026新款气质高级感夹子后脑勺发夹鲨鱼,,,普通订单,5.66,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市绩妨电子商务商行（个体工商户）,订单结算
2026-04-21 01:34:34,'2026042101342918179197783135,入账,2.37,聚合账户,货款结算入账,小店自卖,'6952030698515469887,'6952030698515469887,'SS76300421120919800730017,2026-04-13 15:56:53,'3796308192821117112,法式秋冬新款郁金香丸子夹气质时尚优雅网纱云朵中号抓夹发夹头饰,,,普通订单,2.38,0,0,0,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,0,0,是-商品卡免佣,0.07,义乌市绩妨电子商务商行（个体工商户）,订单结算
2026-04-21 01:34:34,'2026042101342804196436753135,入账,4.27,聚合账户,货款结算入账,小店自卖,'6925673373111909462,'6925673373111909462,'SS76300218538432927260033,2026-04-17 12:29:41,'3670684488180039744,会发光的发夹发饰卡通KT猫玉桂狗库洛米夹子头饰发卡亚克力刘海,,,普通订单,4.5,0,0,0,0,0,0,0,0,0,0,0,-0.23,0,0,0,0,0,0,,0,义乌市绩妨电子商务商行（个体工商户）,订单结算
2026-04-21 02:24:46,'2026042102243528030077543135,入账,0.26,聚合账户,退款-订单退款触发-退分账,小店自卖,'6951903775932945612,'6951903775932945612,'147451623900507078,2026-04-09 02:56:51,'3810721819506377094,格纹气质带齿发箍女布艺多色防滑可选复古简约固定头发头箍发饰,,,普通订单,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0,0,0,0,0,0,,0,义乌市绩妨电子商务商行（个体工商户）,服务费返还
