动账时间,动帐流水号,动账方向,动账金额,动账账户,动账场景,计费类型,子订单号,订单号,售后编号,下单时间,商品ID,商品名称,达人ID,达人名称,订单类型,订单实付应结,运费实付,实际平台补贴_运费,实际平台补贴,其他平台补贴,以旧换新抵扣,政府补贴平台垫资,实际达人补贴,实际抖音支付补贴,实际抖音月付营销补贴,银行补贴,订单退款,平台服务费,佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,是否免佣,免佣金额,商户主体名称,备注
2026-04-22 01:07:45,'2026042201074016034207187155,入账,5.87,聚合账户,货款结算入账,小店自卖,'6951993037132928782,'6951993037132928782,'SS76303236990859023550024,2026-04-12 10:09:10,'3808318474044965225,中国风孔雀盘发器女生古典旗袍发饰丸子懒人高级感饰品优雅发夹,,,普通订单,6.18,0,0,0,0,0,0,0,0,0,0,0,-0.31,0,0,0,0,0,0,否,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-22 01:07:45,'2026042201074012302136737155,入账,5.2,聚合账户,货款结算入账,精选联盟,'6925525539409788893,'6925525539409788893,'SS76303291750686067460134,2026-04-11 21:11:45,'3809969743033663599,2026新款韩系格子方巾大肠发圈高级慵懒风扎马尾发绳头绳大号发饰,'0,,普通订单,5.78,0,0,0,0,0,0,0,0,0,0,0,-0.29,0,0,0,0,-0.29,0,,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-22 01:07:45,'2026042201074035573768147155,入账,4.43,聚合账户,货款结算入账,小店自卖,'6951993381647357413,'6951993381647357413,'SS76302789592734971390081,2026-04-12 13:57:57,'3808322541261553780,新款水钻珠子花朵6厘米中号抓夹后脑勺洋气盘发夹时尚半扎鲨鱼夹,,,普通订单,4.66,0,0,0,0,0,0,0,0,0,0,0,-0.23,0,0,0,0,0,0,否,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-22 01:07:45,'2026042201074116956175467155,入账,5.29,聚合账户,货款结算入账,小店自卖,'6952162446659229002,'6952162446659229002,'SS76304683840918001050138,2026-04-18 07:12:47,'3808318474044965225,中国风孔雀盘发器女生古典旗袍发饰丸子懒人高级感饰品优雅发夹,,,普通订单,5.57,0,0,0,0,0,0,0,0,0,0,0,-0.28,0,0,0,0,0,0,否,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-22 01:07:45,'2026042201074120594368107155,入账,3.24,聚合账户,货款结算入账,小店自卖,'6951992281918150352,'6951992281918150352,'SS76302879592307105700067,2026-04-11 21:08:08,'3808132001588969935,赫本风发夹路易斯蝴蝶结抓夹女盘发高级感鲨鱼夹后脑勺显发量头饰,,,普通订单,3.41,0,0,0,0,0,0,0,0,0,0,0,-0.17,0,0,0,0,0,0,否,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-22 01:25:08,'2026042201245939365555627155,入账,8.44,聚合账户,货款结算入账,小店自卖,'6925605176128863479,'6925605176128863479,'SS76303192023877596520096,2026-04-14 15:10:04,'3808318474044965225,中国风孔雀盘发器女生古典旗袍发饰丸子懒人高级感饰品优雅发夹,,,普通订单,8.88,0,0,0,0,0,0,0,0,0,0,0,-0.44,0,0,0,0,0,0,,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-22 01:25:08,'2026042201245741031273237155,入账,5.87,聚合账户,货款结算入账,小店自卖,'6951985708626613439,'6951985708626613439,'SS76302723920444137380131,2026-04-11 18:35:53,'3808318474044965225,中国风孔雀盘发器女生古典旗袍发饰丸子懒人高级感饰品优雅发夹,,,普通订单,6.18,0,0,0,0,0,0,0,0,0,0,0,-0.31,0,0,0,0,0,0,否,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-22 01:25:08,'2026042201245711983467787155,入账,2.66,聚合账户,货款结算入账,小店自卖,'6952121768842433974,'6952121768842433974,'SS76303008935583260540188,2026-04-16 09:11:48,'3811086962769658167,韩国发夹横夹头饰妈妈新款盘发后脑勺高档水钻头发大号鸭嘴发发饰,,,普通订单,2.96,0,0,0,0,0,0,0,0,0,0,0,-0.15,0,0,0,0,-0.15,0,,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-22 01:25:08,'2026042201245734698370757155,入账,3.57,聚合账户,货款结算入账,小店自卖,'6925525497919143019,'6925525497919143019,'SS76302723565235412580161,2026-04-11 21:07:16,'3808318474044965225,中国风孔雀盘发器女生古典旗袍发饰丸子懒人高级感饰品优雅发夹,,,普通订单,3.76,0,0,0,0,0,0,0,0,0,0,0,-0.19,0,0,0,0,0,0,否,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-22 01:25:08,'2026042201245918634022837155,入账,6.55,聚合账户,货款结算入账,小店自卖,'6925652172072779632,'6925652172072779632,'SS76304123172215035220027,2026-04-16 14:01:19,'3808132001588969935,赫本风发夹路易斯蝴蝶结抓夹女盘发高级感鲨鱼夹后脑勺显发量头饰,,,普通订单,6.89,0,0,0,0,0,0,0,0,0,0,0,-0.34,0,0,0,0,0,0,否,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
