动账时间,动帐流水号,动账方向,动账金额,动账账户,动账场景,计费类型,子订单号,订单号,售后编号,下单时间,商品ID,商品名称,达人ID,达人名称,订单类型,订单实付应结,运费实付,实际平台补贴_运费,实际平台补贴,其他平台补贴,以旧换新抵扣,政府补贴平台垫资,实际达人补贴,实际抖音支付补贴,实际抖音月付营销补贴,银行补贴,订单退款,平台服务费,佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,是否免佣,免佣金额,商户主体名称,备注
2026-04-22 00:14:52,'2026042200143908840525438209,出账,7,聚合账户,评价有礼保证金扣款,,,,,,,,,,普通订单,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,义乌市衍郝电子商务商行,扣除货款充值评价有礼保证金，详情至【流量-营销工具-工具列表-评价有礼】查看
2026-04-22 01:27:34,'2026042201272514100564918209,入账,3.96,聚合账户,货款结算入账,小店自卖,'6925535349966929677,'6925535349966929677,'SS76304137733015802940143,2026-04-12 10:53:00,'3796433595111964743,温柔玫瑰花抓夹增发量盘发神器7cm法式慵懒感半扎发卡卡子,,,普通订单,3.98,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市衍郝电子商务商行,订单结算
2026-04-22 01:35:15,'2026042201351022862935238209,入账,1.91,聚合账户,货款结算入账,小店自卖,'6925516105037414171,'6925516105037414171,'SS76302878918638843390126,2026-04-11 15:57:42,'3796432579301867534,法式新款郁金香丸子头发夹时尚优雅气质网纱云朵马尾抓夹发夹头饰,,,普通订单,1.92,0,0,0,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,0,0,是-商品卡免佣,0.07,义乌市衍郝电子商务商行,订单结算
2026-04-22 01:35:15,'2026042201351024496870558209,入账,5.55,聚合账户,货款结算入账,小店自卖,'6952154808608626312,'6952154808608626312,'SS76304060467396283220202,2026-04-17 15:05:16,'3800168524559810722,2026新款洋气爆款鲨鱼抓夹专用头发多巴胺可爱发夹头花抓夹香蕉,,,普通订单,8.58,0,0,0,0,0,0,0,0,0,0,-3,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市衍郝电子商务商行,订单结算
2026-04-22 01:35:15,'2026042201351029541829758209,入账,2.93,聚合账户,货款结算入账,小店自卖,'6925179370131521402,'6925179370131521402,'SS76302993500532618510084,2026-03-28 07:52:41,'3791274136899289565,无痕定型夹自然高颅顶蓬松夹镂空防滑八字刘海夹发根增高定位夹子,,,普通订单,2.95,0.4,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市衍郝电子商务商行,订单结算
2026-04-22 01:35:15,'2026042201350933239413768209,入账,1.91,聚合账户,货款结算入账,小店自卖,'6951996822053983588,'6951996822053983588,'SS76302879055918866300177,2026-04-11 23:01:42,'3796432579301867534,法式新款郁金香丸子头发夹时尚优雅气质网纱云朵马尾抓夹发夹头饰,,,普通订单,1.92,0,0,0,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,0,0,是-商品卡免佣,0.07,义乌市衍郝电子商务商行,订单结算
2026-04-22 03:19:32,'2026042203192531005619478209,入账,3.25,聚合账户,货款结算入账,小店自卖,'6951990956914513644,'6951990956914513644,'SS76303124671636938750149,2026-04-12 11:18:59,'3765042594023866584,国风新款中式水钻珠珠一字夹扭扭夹盘发抓夹发量高级感半扎发抓夹,,,普通订单,3.27,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市衍郝电子商务商行,订单结算
2026-04-22 03:19:32,'2026042203192816404854038209,入账,5.37,聚合账户,货款结算入账,小店自卖,'6925564754094554721,'6925564754094554721,'SS76304643300187343900046,2026-04-14 08:16:17,'3791274136899289565,无痕定型夹自然高颅顶蓬松夹镂空防滑八字刘海夹发根增高定位夹子,,,普通订单,5.4,0.4,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市衍郝电子商务商行,订单结算
2026-04-22 03:19:32,'2026042203192711499320708209,入账,4.73,聚合账户,货款结算入账,小店自卖,'6925515195015659047,'6925515195015659047,'SS76302878569822456860072,2026-04-11 23:02:32,'3795540860549070935,纯棉格子2026新款褶皱蝴蝶结英伦风香蕉夹女后脑勺高级半扎发抓夹,,,普通订单,4.76,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市衍郝电子商务商行,订单结算
2026-04-22 03:19:32,'2026042203192730331543558209,入账,2.35,聚合账户,货款结算入账,小店自卖,'6925532288561020288,'6925532288561020288,'SS76302879390553912670248,2026-04-12 00:18:56,'3708484733857038545,细齿防滑压发波浪发箍简约植绒洗脸束神器百搭发饰网红夏天带齿,,,普通订单,2.36,0,0,0,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,0,0,是-商品卡免佣,0.07,义乌市衍郝电子商务商行,订单结算
2026-04-22 03:19:32,'2026042203192636690004948209,入账,5.73,聚合账户,货款结算入账,小店自卖,'6952049263054624744,'6952049263054624744,'SS76304088635318443930185,2026-04-14 00:26:29,'3796027415784980629,甜美可爱卡通儿童新款屁屁三丽鸥高级丸子头发饰大肠花发圈头饰,,,普通订单,5.76,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市衍郝电子商务商行,订单结算
2026-04-22 03:24:30,'2026042203242516453471358209,入账,2.44,聚合账户,货款结算入账,小店自卖,'6951994689746442146,'6951994689746442146,'SS76303727007997342990040,2026-04-11 20:36:55,'3806846502903611859,2026新款盘发抓夹不硌头扭扭夹发夹简约女高级感水钻珠珠一字夹子,,,普通订单,2.57,0,0,0,0,0,0,0,0,0,0,0,-0.13,0,0,0,0,0,0,,0,义乌市衍郝电子商务商行,订单结算
2026-04-22 03:24:30,'2026042203242332557962668209,入账,5.62,聚合账户,货款结算入账,小店自卖,'6925628327439335222,'6925628327439335222,'SS76304220748756093820241,2026-04-16 12:00:52,'3766167446000632132,网红爆款洋气水钻波浪专用压发发箍女夏季发饰神器头箍发卡女士,,,普通订单,2.75,0,0,3.17,0,0,0,0,0,0,0,0,-0.3,0,0,0,0,0,0,,0,义乌市衍郝电子商务商行,订单结算
2026-04-22 03:24:30,'2026042203242405465710718209,入账,5.87,聚合账户,货款结算入账,小店自卖,'6952074359488845079,'6952074359488845079,'SS76303560279340487740025,2026-04-14 15:19:07,'3796432579301867534,法式新款郁金香丸子头发夹时尚优雅气质网纱云朵马尾抓夹发夹头饰,,,普通订单,5.91,0,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,义乌市衍郝电子商务商行,订单结算
2026-04-22 03:39:05,'2026042203390133600681318209,入账,2.55,聚合账户,货款结算入账,小店自卖,'6925521744374496430,'6925521744374496430,'SS76302656154792269220086,2026-04-12 06:20:32,'3765042594023866584,国风新款中式水钻珠珠一字夹扭扭夹盘发抓夹发量高级感半扎发抓夹,,,普通订单,2.57,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市衍郝电子商务商行,订单结算
