动账时间,动帐流水号,动账方向,动账金额,动账账户,动账场景,计费类型,子订单号,订单号,售后编号,下单时间,商品ID,商品名称,达人ID,达人名称,订单类型,订单实付应结,运费实付,实际平台补贴_运费,实际平台补贴,其他平台补贴,以旧换新抵扣,政府补贴平台垫资,实际达人补贴,实际抖音支付补贴,实际抖音月付营销补贴,银行补贴,订单退款,平台服务费,佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,是否免佣,免佣金额,商户主体名称,备注
2026-04-22 03:24:40,'2026042203243517542682068265,入账,4.9,聚合账户,货款结算入账,小店自卖,'6925541474149694599,'6925541474149563527,'SS76303995949834083990131,2026-04-12 13:14:34,'3811855824226222573,新款波点褶皱香蕉夹甜美风高马尾抓夹后脑盘发时尚发饰气质百搭,,,普通订单,4.93,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市隔逐电子商务商行（个体工商户）,订单结算
2026-04-22 03:24:40,'2026042203243427770232838265,入账,2.58,聚合账户,货款结算入账,小店自卖,'6925525575753760099,'6925525575753760099,'SS76302880028033359360214,2026-04-11 21:23:10,'3808889676719325489,简约红大号南瓜抓夹女发量多加宽后脑勺发夹气质鲨鱼夹头饰发饰,,,普通订单,2.72,0,0,0,0,0,0,0,0,0,0,0,-0.14,0,0,0,0,0,0,,0,义乌市隔逐电子商务商行（个体工商户）,订单结算
2026-04-22 03:24:40,'2026042203243617478292998265,入账,3.55,聚合账户,货款结算入账,小店自卖,'6925535610987970329,'6925535610987970329,'SS76303996684234266120134,2026-04-12 12:25:15,'3812412026752467005,时尚休闲豹纹波点褶皱香蕉夹高级感马尾扭扭竖夹后脑勺显发量发夹,,,普通订单,3.57,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市隔逐电子商务商行（个体工商户）,订单结算
2026-04-22 05:51:32,'2026042205512710298864988265,入账,3.45,聚合账户,货款结算入账,小店自卖,'6925535610988101401,'6925535610987970329,'SS76303996688199851670177,2026-04-12 12:25:15,'3813341663758254211,韩国ins新款咖色百搭条纹大肠发圈甜美时尚扎丸子头头饰发饰复古,,,普通订单,3.47,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市隔逐电子商务商行（个体工商户）,订单结算
2026-04-22 06:43:35,'2026042206433004163016188265,入账,2.35,聚合账户,货款结算入账,小店自卖,'6925520730897480963,'6925520730897480963,'SS76304117155405501840154,2026-04-11 18:35:54,'3809243343678996514,时尚珍珠大肠发圈头绳2026新款橡皮筋女扎头发优雅皮套高颜值发圈,,,普通订单,2.36,0,0,0,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,0,0,是-商品卡免佣,0.07,义乌市隔逐电子商务商行（个体工商户）,订单结算
2026-04-22 07:55:51,'2026042207554809026278818265,入账,2.34,聚合账户,货款结算入账,小店自卖,'6952115966315730178,'6952115966315730178,'SS76304220930483533320041,2026-04-16 22:06:14,'3811462054972359032,超仙森系简约优雅百搭黑色波点泡泡纱黑天鹅抓夹碎发夹发饰韩版,,,普通订单,0.35,0,0,2,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,0,0,是-商品卡免佣,0.07,义乌市隔逐电子商务商行（个体工商户）,订单结算
2026-04-22 07:55:51,'2026042207554928151158038265,入账,5.5,聚合账户,货款结算入账,小店自卖,'6925541474149760135,'6925541474149563527,'SS76303995931670284990147,2026-04-12 13:14:34,'3809769107897844175,春日超仙韩系碎花蕾丝大肠发圈女甜美感丸子头甜妹风超大发饰头绳,,,普通订单,5.53,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市隔逐电子商务商行（个体工商户）,订单结算
2026-04-22 07:55:51,'2026042207554804869819158265,入账,3.87,聚合账户,货款结算入账,小店自卖,'6925535610988166937,'6925535610987970329,'SS76303996682495268350117,2026-04-12 12:25:15,'3813348572229927091,时尚甜美小众花朵发圈欧根纱优雅气质简约复古水钻头绳女扎头皮筋,,,普通订单,3.89,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市隔逐电子商务商行（个体工商户）,订单结算
2026-04-22 09:01:33,'2026042209012609326430918265,入账,2.34,聚合账户,货款结算入账,小店自卖,'6952140955330615159,'6952140955330615159,'SS76302591962225915260001,2026-04-17 10:47:47,'3811462054972359032,超仙森系简约优雅百搭黑色波点泡泡纱黑天鹅抓夹碎发夹发饰韩版,,,普通订单,2.35,0,0,0,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,0,0,是-商品卡免佣,0.07,义乌市隔逐电子商务商行（个体工商户）,订单结算
2026-04-22 10:25:28,'2026042210252217463549808265,入账,3.3,聚合账户,货款结算入账,小店自卖,'6925541474149629063,'6925541474149563527,'SS76303996044345390340165,2026-04-12 13:14:34,'3812408341569864462,虞书欣同款发扣女2026新款金属编发夹时尚圆形触角边夹小发夹头饰,,,普通订单,3.32,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市隔逐电子商务商行（个体工商户）,订单结算
