动账时间,动帐流水号,动账方向,动账金额,动账账户,动账场景,计费类型,子订单号,订单号,售后编号,下单时间,商品ID,商品名称,达人ID,达人名称,订单类型,订单实付应结,运费实付,实际平台补贴_运费,实际平台补贴,其他平台补贴,以旧换新抵扣,政府补贴平台垫资,实际达人补贴,实际抖音支付补贴,实际抖音月付营销补贴,银行补贴,订单退款,平台服务费,佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,是否免佣,免佣金额,商户主体名称,备注
2026-04-22 01:18:25,'2026042201181620521290249539,入账,2.97,聚合账户,货款结算入账,巨量千川,'6952002665290864563,'6952002665290864563,'SS76303714204383153180114,2026-04-12 15:19:06,'3811082891065163878,M豆发绳气质头绳彩色糖果色发圈简约网红可爱皮筋百搭头发饰少女,,,普通订单,2.99,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-22 01:18:25,'2026042201181820428395619539,入账,2.54,聚合账户,货款结算入账,巨量千川,'6925521142470048793,'6925521142470048793,'SS76303124036170429540091,2026-04-11 21:38:02,'3766934741782233570,夏天简约扭扭一字夹水钻抓夹高级发夹后脑勺盘发器随手盘发头饰女,,,普通订单,2.56,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-22 01:18:25,'2026042201181815147545699539,入账,13.68,聚合账户,货款结算入账,小店自卖,'6925529082700725323,'6925529082700725323,'SS76304131105082411520042,2026-04-12 11:14:15,'3807351627606786364,韩国水钻发夹2026年新款女碎发bb夹子头饰网红高端一字夹女人,,,普通订单,13.76,0,0,0,0,0,0,0,0,0,0,0,-0.08,0,0,0,0,0,0,是-商品卡免佣,0.59,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-22 01:18:25,'2026042201181616792130759539,入账,2.97,聚合账户,货款结算入账,巨量千川,'6952010606959400015,'6952010606959400015,'SS76303548773699422780118,2026-04-12 02:13:39,'3811082891065163878,M豆发绳气质头绳彩色糖果色发圈简约网红可爱皮筋百搭头发饰少女,,,普通订单,2.99,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-22 01:18:25,'2026042201182018161344389539,入账,4.74,聚合账户,货款结算入账,小店自卖,'6925582480254664527,'6925582480254664527,'SS76304835453118264410247,2026-04-13 23:36:27,'3771919657037070740,黑色大号蝴蝶结抓夹后脑勺高级感百搭鲨鱼夹在逃公主发饰发夹发饰,,,普通订单,4.77,2,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-22 01:18:25,'2026042201181620958087779539,入账,3.78,聚合账户,货款结算入账,小店自卖,'6925590046014274961,'6925590046014274961,'SS76304167235563853160206,2026-04-14 20:00:15,'3767137528637948417,新款精致高级感麻花辫发夹洗脸专用防滑不掉发卡压发头饰碎发头箍,,,普通订单,3.98,0,0,0,0,0,0,0,0,0,0,0,-0.2,0,0,0,0,0,0,,0,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-22 01:18:25,'2026042201181826728696419539,入账,7.54,聚合账户,货款结算入账,小店自卖,'6925516805433360091,'6925516805433360091,'SS76302877959499822420053,2026-04-11 21:25:00,'3771728569672269942,2025新款爆款女孩百搭发夹女童可爱卡通发卡宝宝碎发刘海夹子发饰,,,普通订单,7.59,0.6,0,0,0,0,0,0,0,0,0,0,-0.05,0,0,0,0,0,0,是-商品卡免佣,0.37,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-22 01:18:25,'2026042201181438098378659539,入账,2.27,聚合账户,货款结算入账,巨量千川,'6952013030756390513,'6952013030756390513,'SS76303721588074749590122,2026-04-12 10:01:27,'3806831189021557250,高级发夹夏天简约随手盘发一字夹时尚水钻抓夹扭扭后脑勺盘发器,,,普通订单,2.28,0,0,0,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,0,0,是-商品卡免佣,0.07,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-22 01:18:25,'2026042201181633521339389539,入账,4.03,聚合账户,货款结算入账,小店自卖,'6925546137279626312,'6925546137279626312,'SS76303996337640085110061,2026-04-12 16:10:24,'3809979088765059128,春夏新款至臻米白蕾丝头巾时尚轻奢发箍高级感外戴旅游显脸小头箍,,,普通订单,4.05,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-22 01:30:05,'2026042201295909655956829539,入账,3.39,聚合账户,货款结算入账,小店自卖,'6925529748330610634,'6925529748330610634,'SS76302679042163840090069,2026-04-11 18:27:50,'3807534565103370615,春夏新款法式竖夹小众款发夹学院风少女盘发一字夹马尾香蕉夹,,,普通订单,3.41,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-22 01:30:05,'2026042201295735451701769539,入账,3.39,聚合账户,货款结算入账,小店自卖,'6925600493172522857,'6925600493172522857,'SS76303585394203205460104,2026-04-14 16:35:30,'3807534565103370615,春夏新款法式竖夹小众款发夹学院风少女盘发一字夹马尾香蕉夹,,,普通订单,3.41,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-22 01:30:05,'2026042201300004949281439539,入账,4.03,聚合账户,货款结算入账,小店自卖,'6925524149610446500,'6925524149610446500,'SS76303261781253166440235,2026-04-12 10:02:37,'3809979088765059128,春夏新款至臻米白蕾丝头巾时尚轻奢发箍高级感外戴旅游显脸小头箍,,,普通订单,4.05,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-22 01:30:05,'2026042201295803322519469539,入账,2.27,聚合账户,货款结算入账,巨量千川,'6952001787454297698,'6952001787454297698,'SS76302647745931556240240,2026-04-12 01:23:05,'3806831189021557250,高级发夹夏天简约随手盘发一字夹时尚水钻抓夹扭扭后脑勺盘发器,,,普通订单,2.28,0,0,0,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,0,0,是-商品卡免佣,0.07,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-22 01:30:05,'2026042201295718921884319539,入账,3.52,聚合账户,货款结算入账,小店自卖,'6925539190496067494,'6925539190496067494,'SS76303289009922874880189,2026-04-12 11:28:56,'3763949327194652725,可爱儿童发箍拉拉碎发梳女童后脑勺碎发神器前额刘海插梳发卡头饰,,,普通订单,3.54,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-22 01:30:05,'2026042201300034816007879539,入账,6.94,聚合账户,货款结算入账,小店自卖,'6951999357796226365,'6951999357796226365,'SS76303556535021122650206,2026-04-12 07:02:46,'3811281324912803988,柔软泡泡纱韩式简约气质粉色碎花大肠发圈高级仙气慵懒头绳发饰,,,普通订单,6.98,0,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-22 01:39:16,'2026042201390832269153669539,入账,3.39,聚合账户,货款结算入账,小店自卖,'6951999828494390662,'6951999828494390662,'SS76304101307880412160131,2026-04-12 12:52:32,'3807534565103370615,春夏新款法式竖夹小众款发夹学院风少女盘发一字夹马尾香蕉夹,,,普通订单,3.41,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-22 01:39:16,'2026042201391001269926499539,入账,2.97,聚合账户,货款结算入账,巨量千川,'6952022095003260842,'6952022095003260842,'SS76303548898262715380198,2026-04-12 13:29:26,'3811082891065163878,M豆发绳气质头绳彩色糖果色发圈简约网红可爱皮筋百搭头发饰少女,,,普通订单,2.99,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-22 03:19:07,'2026042203190229291689429539,入账,2.97,聚合账户,货款结算入账,巨量千川,'6951991725260543347,'6951991725260543347,'SS76302644887830902280179,2026-04-11 15:09:46,'3811082891065163878,M豆发绳气质头绳彩色糖果色发圈简约网红可爱皮筋百搭头发饰少女,,,普通订单,2.99,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-22 03:19:07,'2026042203190408557532679539,入账,6.55,聚合账户,货款结算入账,小店自卖,'6951985108984796922,'6951985108984796922,'SS76303716775573591040216,2026-04-11 12:11:17,'3810337325477659112,小清新甜美碎花飘带蝴蝶结抓夹半扎发抓夹时尚高级感蓬松发卡发饰,,,普通订单,6.89,0,0,0,0,0,0,0,0,0,0,0,-0.34,0,0,0,0,0,0,,0,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-22 03:19:07,'2026042203190300336368919539,入账,6.07,聚合账户,货款结算入账,小店自卖,'6951756210985047704,'6951756210985047704,'SS76302950553502684790093,2026-04-01 23:10:50,'3807211302443679752,紫色玫瑰花木簪夏季发簪网纱花朵发钗古风簪花头饰气质发饰配饰女,,,普通订单,6.11,0,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-22 03:19:07,'2026042203190132225695079539,入账,3.84,聚合账户,货款结算入账,小店自卖,'6925543854617820739,'6925543854617820739,'SS76303728382310981460186,2026-04-12 14:03:36,'3811281324912803988,柔软泡泡纱韩式简约气质粉色碎花大肠发圈高级仙气慵懒头绳发饰,,,普通订单,4.04,0,0,0,0,0,0,0,0,0,0,0,-0.2,0,0,0,0,0,0,,0,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-22 03:19:07,'2026042203190208319470589539,入账,5.75,聚合账户,货款结算入账,小店自卖,'6952005839078102585,'6952005839078102585,'SS76302678951799527030136,2026-04-11 22:58:18,'3807534565103370615,春夏新款法式竖夹小众款发夹学院风少女盘发一字夹马尾香蕉夹,,,普通订单,5.78,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市贯圳电子商务商行（个体工商户）,订单结算
