动账时间,动帐流水号,动账方向,动账金额,动账账户,动账场景,计费类型,子订单号,订单号,售后编号,下单时间,商品ID,商品名称,达人ID,达人名称,订单类型,订单实付应结,运费实付,实际平台补贴_运费,实际平台补贴,其他平台补贴,以旧换新抵扣,政府补贴平台垫资,实际达人补贴,实际抖音支付补贴,实际抖音月付营销补贴,银行补贴,订单退款,平台服务费,佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,是否免佣,免佣金额,商户主体名称,备注
2026-04-22 01:38:17,'2026042201381124044877263135,入账,6.57,聚合账户,货款结算入账,小店自卖,'6951972145974547723,'6951972145974547723,'SS76302877341644393340111,2026-04-11 15:49:28,'3810909294879179231,春日超仙韩系碎花蕾丝大肠发圈女甜美感丸子头慵懒风超大发饰头绳,,,普通订单,6.61,0.5,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,义乌市绩妨电子商务商行（个体工商户）,订单结算
2026-04-22 01:38:17,'2026042201381130040274383135,入账,5.29,聚合账户,货款结算入账,小店自卖,'6952002607293667191,'6952002607293667191,'SS76303714382264573820074,2026-04-12 14:34:59,'3704006560519946376,蝴蝶香蕉女大号新款高级甜美发夹夹子头饰发卡鲨鱼法式女款,,,普通订单,5.32,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市绩妨电子商务商行（个体工商户）,订单结算
2026-04-22 01:38:17,'2026042201381136789619473135,入账,1.74,聚合账户,货款结算入账,小店自卖,'6952080720341374330,'6952080720341374330,'SS76304610654284521230148,2026-04-15 15:57:10,'3795893618946998751,韩版轻奢花朵珠珠抓夹新款女高级感中号发夹后脑勺盘发鲨鱼夹头饰,,,普通订单,3.75,0,0,0,0,0,0,0,0,0,0,-2,-0.01,0,0,0,0,0,0,是-商品卡免佣,0.07,义乌市绩妨电子商务商行（个体工商户）,订单结算
2026-04-22 01:38:17,'2026042201381215153403243135,入账,6.62,聚合账户,货款结算入账,小店自卖,'6925532348311633420,'6925532348311633420,'SS76302879608254794740011,2026-04-12 01:23:55,'3795520547341861089,可爱网红爆款抓夹大号韩国2026新款气质高级感夹子后脑勺发夹鲨鱼,,,普通订单,6.66,0,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,义乌市绩妨电子商务商行（个体工商户）,订单结算
2026-04-22 01:38:17,'2026042201381113433249713135,入账,6.62,聚合账户,货款结算入账,小店自卖,'6925516265187802415,'6925516265187802415,'SS76302877142075479040165,2026-04-11 17:08:39,'3795520547341861089,可爱网红爆款抓夹大号韩国2026新款气质高级感夹子后脑勺发夹鲨鱼,,,普通订单,6.66,0,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,义乌市绩妨电子商务商行（个体工商户）,订单结算
2026-04-22 01:38:17,'2026042201381235755341343135,入账,5.63,聚合账户,货款结算入账,小店自卖,'6952015683734934890,'6952015683734934890,'SS76303714370684690320102,2026-04-12 14:34:10,'3704006560519946376,蝴蝶香蕉女大号新款高级甜美发夹夹子头饰发卡鲨鱼法式女款,,,普通订单,5.66,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市绩妨电子商务商行（个体工商户）,订单结算
2026-04-22 01:41:37,'2026042201413234321577423135,入账,5.81,聚合账户,货款结算入账,小店自卖,'6951995675961136528,'6951995675961136528,'SS76303732795970849550234,2026-04-12 10:43:57,'3795529833161818216,可爱白色毛绒米菲兔魔法贴发卡日系甜美少女风刘海发卡发饰少女心,,,普通订单,5.85,0,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,义乌市绩妨电子商务商行（个体工商户）,订单结算
2026-04-22 01:41:37,'2026042201413112301645063135,入账,7.51,聚合账户,货款结算入账,小店自卖,'6952011173771482585,'6952011173771482585,'SS76303260613309404560004,2026-04-12 12:09:43,'3704006560519946376,蝴蝶香蕉女大号新款高级甜美发夹夹子头饰发卡鲨鱼法式女款,,,普通订单,7.56,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0,0,0,0,0,是-商品卡免佣,0.37,义乌市绩妨电子商务商行（个体工商户）,订单结算
2026-04-22 01:41:38,'2026042201413205368755723135,入账,2.44,聚合账户,货款结算入账,小店自卖,'6925510178931637728,'6925510178931637728,'SS76302672100746529660004,2026-04-11 18:33:26,'3795529833161818216,可爱白色毛绒米菲兔魔法贴发卡日系甜美少女风刘海发卡发饰少女心,,,普通订单,2.45,0,0,0,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,0,0,是-商品卡免佣,0.07,义乌市绩妨电子商务商行（个体工商户）,订单结算
2026-04-22 01:41:38,'2026042201413031722869763135,入账,5.63,聚合账户,货款结算入账,小店自卖,'6925566732600836025,'6925566732600836025,'SS76304285821790336260176,2026-04-14 04:36:29,'3704006560519946376,蝴蝶香蕉女大号新款高级甜美发夹夹子头饰发卡鲨鱼法式女款,,,普通订单,5.66,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市绩妨电子商务商行（个体工商户）,订单结算
2026-04-22 03:11:11,'2026042203110617042972623135,入账,2.79,聚合账户,货款结算入账,小店自卖,'6925516383079333458,'6925516383079333458,'SS76302876379292021950174,2026-04-11 18:16:43,'3794583299628859720,可爱卡通法式珍珠三角抓夹女新款发量多发夹后脑勺高级感鲨鱼夹,,,普通订单,0.36,0.35,0,2.58,0,0,0,0,0,0,0,0,-0.15,0,0,0,0,0,0,,0,义乌市绩妨电子商务商行（个体工商户）,订单结算
