日志时间,自运行起秒,账号,页面,阶段,键/标签,动作,结果,是否成功
2026-04-23 10:01:20,2.298,伊一优选百货,globalAccountLoop,nav,goto,open_url,https://fxg.jinritemai.com/ffa/mshop/homepage/index,是
2026-04-23 10:01:35,16.797,伊一优选百货,globalAccountLoop,account,switch,switchAccount,已切换店铺: 伊一优选百货（CSS 流程）,是
2026-04-23 10:01:39,21.338,伊一优选百货,fxg_mshop_home,nav,goto,open_url,https://compass.jinritemai.com/shop,是
2026-04-23 10:02:17,58.514,伊一优选百货,fxg_mshop_home,interaction,fxg_home_close_desktop_ad,click,"Locator.wait_for: Timeout 3500ms exceeded.
Call log:
  - waiting for locator(""div[role='dialog'] .auxo-modal-close-x"").first to be visible
",否
2026-04-23 10:02:20,61.430,伊一优选百货,fxg_mshop_home,field,经营概况整块文本,extract:text,"成交金额
¥198.24
昨日
¥1,057.26
同行基准
¥573.27
用户支付金额
¥153.19
昨日
¥808.12
同行基准
¥544.96
结算金额
¥185.52
昨日
¥1,025.28
同行基准
¥512.3
客单价
¥4.14
昨日
¥3.67
同行基准
¥15.96
成交订单数
37
昨日
222
同行标杆
167
商品曝光人数
1.02
万
昨日
4.04万
同行标杆
4.76万
商品点击人数
481
昨日
2,368
同行标杆
1,631
成交人数
37
昨日
220
同行标杆
141
退款金额（退款时间）
¥15.61
昨日
¥58.77
同行顶尖
¥0
退款金额（支付时间）
¥11.72
昨日
¥27.64
同行标杆
¥0
退款率（支付时间）
7.65%
昨日
3.42%
同行标杆
0%
成交退款金额（退款时间）
¥16.61
昨日
¥63.68
同行顶尖
¥0
退款订单数（退款时间）
4
昨日
14
同行标杆
1
退款订单数（支付时间）
3
昨日
5
同行标杆
0
商品曝光-点击转化率（人数）
4.74%
昨日
5.87%
同行基准
5.19%
商品点击-成交转化率（人数）
7.69%
昨日
9.29%
同行基准
9.04%  ← #root > div.homepageWrapper-zxLmZT > div > dynamic-module-wrapper:nth-child(1) > div > div > div.coreContent-J7jCZG > div.businessDataWrap-LUgNmI > div:nth-child(1) > div > div.ecom-spin-nested-loading > div > div:nth-child(1)",是
2026-04-23 10:02:21,63.355,伊一优选百货,fxg_aftersale_fund_detail_bill,nav,goto,open_url,https://fxg.jinritemai.com/ffa/fxg-bill/fund-detail-bill,是
2026-04-23 10:02:28,69.983,伊一优选百货,fxg_aftersale_fund_detail_bill,interaction,fund_detail_date_range,dateRange,auxoCalendarPick: 已点选起止均为 2026-04-22,是
2026-04-23 10:02:34,75.541,伊一优选百货,fxg_aftersale_fund_detail_bill,interaction,fund_detail_click_generate_report,click,#rc-tabs-0-panel-FUND_DETAIL_BILL > div > div.auxo-pro-table.custom-style-gray.auxo-pro-table-combined > div.auxo-pro-table-wrapper > div > div.auxo-pro-table-list-toolbar > div > div.auxo-space.auxo-space-horizontal.auxo-space-align-center.auxo-pro-table-list-toolbar-right > div > div > div > button,是
2026-04-23 10:02:35,76.594,伊一优选百货,fxg_aftersale_fund_detail_bill,interaction,confirm_fund_detail_generate,click,div.auxo-popover-inner div.auxo-popover-buttons button.auxo-btn-primary.auxo-btn-sm,是
2026-04-23 10:02:37,79.302,伊一优选百货,fxg_bill_history_report,nav,goto,skip_same_url,https://fxg.jinritemai.com/ffa/fxg-bill/history-report,是
