动账时间,动帐流水号,动账方向,动账金额,动账账户,动账场景,计费类型,子订单号,订单号,售后编号,下单时间,商品ID,商品名称,达人ID,达人名称,订单类型,订单实付应结,运费实付,实际平台补贴_运费,实际平台补贴,其他平台补贴,以旧换新抵扣,政府补贴平台垫资,实际达人补贴,实际抖音支付补贴,实际抖音月付营销补贴,银行补贴,订单退款,平台服务费,佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,是否免佣,免佣金额,商户主体名称,备注
2026-04-22 01:30:36,'2026042201302905047258013283,入账,1.95,聚合账户,货款结算入账,小店自卖,'6951998560772298284,'6951998560772167212,'SS76303286893229839360095,2026-04-11 18:35:30,'3809382775396630913,幻彩醋酸花朵发夹女边夹侧边发卡2026年新款刘海夹鸭嘴夹前额发饰,,,普通订单,1.96,0,0,0,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,0,0,是-商品卡免佣,0.07,义乌市天籁电子商务商行（个体工商户）,订单结算
2026-04-22 01:35:16,'2026042201351105959518913283,入账,8.42,聚合账户,货款结算入账,小店自卖,'6925527528796552592,'6925527528796552592,'SS76302688355860974340086,2026-04-11 19:19:01,'3809953681793745035,韩系复古蝴蝶结大肠头绳发圈2026丸子发饰马尾发绳新款百搭头饰,,,普通订单,8.47,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0,0,0,0,0,是-商品卡免佣,0.37,义乌市天籁电子商务商行（个体工商户）,订单结算
2026-04-22 01:35:16,'2026042201351127815780383283,入账,5.22,聚合账户,货款结算入账,小店自卖,'6925635079937032077,'6925635079937032077,'SS76304643981435543310205,2026-04-16 16:10:57,'3809614503998522161,可爱小猫无痕刘海贴2026款魔术贴发饰少女前额侧边碎发贴整理神器,,,普通订单,5.25,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市天籁电子商务商行（个体工商户）,订单结算
2026-04-22 01:58:36,'2026042201583100466007563283,入账,5.91,聚合账户,货款结算入账,小店自卖,'6951976508662093769,'6951976508662093769,'SS76302880418441016580221,2026-04-11 15:50:22,'3809614503998522161,可爱小猫无痕刘海贴2026款魔术贴发饰少女前额侧边碎发贴整理神器,,,普通订单,5.95,0,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,义乌市天籁电子商务商行（个体工商户）,订单结算
2026-04-22 02:26:42,'2026042202263403072333163283,入账,3.54,聚合账户,货款结算入账,小店自卖,'6951979201823053016,'6951979201822790872,'SS76303692951339829860144,2026-04-11 18:11:23,'3809614503998522161,可爱小猫无痕刘海贴2026款魔术贴发饰少女前额侧边碎发贴整理神器,,,普通订单,3.56,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市天籁电子商务商行（个体工商户）,订单结算
2026-04-22 02:26:47,'2026042202264028773097313283,入账,2.94,聚合账户,货款结算入账,小店自卖,'6952099137142855596,'6952099137142855596,'SS76300814797117527230220,2026-04-16 08:09:24,'3809614503998522161,可爱小猫无痕刘海贴2026款魔术贴发饰少女前额侧边碎发贴整理神器,,,普通订单,3.95,0,0,0,0,0,0,0,0,0,0,-1,-0.01,0,0,0,0,0,0,是-商品卡免佣,0.07,义乌市天籁电子商务商行（个体工商户）,订单结算
2026-04-22 02:26:49,'2026042202264114140094073283,入账,2.9,聚合账户,货款结算入账,小店自卖,'6951998560772363820,'6951998560772167212,'SS76303286897140042500051,2026-04-11 18:35:30,'3809573038236762270,日韩高级感蕾丝头花大肠发圈女2026新款波点发圈公主头饰马尾发饰,,,普通订单,2.92,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市天籁电子商务商行（个体工商户）,订单结算
2026-04-22 02:27:24,'2026042202271625682747283283,入账,5.43,聚合账户,货款结算入账,小店自卖,'6952114802354820957,'6952114802354820957,'SS76303918383818388990200,2026-04-16 08:26:33,'3812801090609610981,冰糖山楂花朵发夹女边夹甜美前额发卡一字刘海夹子头饰2026新款,,,普通订单,5.46,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市天籁电子商务商行（个体工商户）,订单结算
2026-04-22 02:28:08,'2026042202275907481106073283,入账,2.67,聚合账户,货款结算入账,小店自卖,'6951998560772167212,'6951998560772167212,'SS76303286899353029210217,2026-04-11 18:35:30,'3809565171995771309,卡通可爱猫咪抓夹女2025新款夹子头饰发夹气质后脑勺半扎发鲨鱼夹,,,普通订单,2.69,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市天籁电子商务商行（个体工商户）,订单结算
2026-04-22 02:28:57,'2026042202285038767498503283,入账,1.95,聚合账户,货款结算入账,小店自卖,'6951994264586360631,'6951994264586229559,'SS76303693003410191880047,2026-04-11 15:43:37,'3809382775396630913,幻彩醋酸花朵发夹女边夹侧边发卡2026年新款刘海夹鸭嘴夹前额发饰,,,普通订单,1.96,0,0,0,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,0,0,是-商品卡免佣,0.07,义乌市天籁电子商务商行（个体工商户）,订单结算
