日志时间,自运行起秒,账号,页面,阶段,键/标签,动作,结果,是否成功
2026-04-23 11:12:23,1.922,小缘发饰供应链,globalAccountLoop,nav,goto,open_url,https://fxg.jinritemai.com/ffa/mshop/homepage/index,是
2026-04-23 11:12:40,18.213,小缘发饰供应链,globalAccountLoop,account,switch,switchAccount,已切换店铺: 小缘发饰供应链（CSS 流程）,是
2026-04-23 11:12:44,22.220,小缘发饰供应链,fxg_mshop_home,nav,goto,open_url,https://compass.jinritemai.com/shop,是
2026-04-23 11:13:24,62.724,小缘发饰供应链,fxg_mshop_home,interaction,fxg_home_close_desktop_ad,click,"Locator.wait_for: Timeout 3500ms exceeded.
Call log:
  - waiting for locator(""div[role='dialog'] .auxo-modal-close-x"").first to be visible
",否
2026-04-23 11:13:27,65.659,小缘发饰供应链,fxg_mshop_home,field,经营概况整块文本,extract:text,"成交金额
¥710.97
昨日
¥2,716.37
同行基准
¥4,431.99
用户支付金额
¥561.48
昨日
¥2,291.58
同行基准
¥4,130.38
客单价
¥2.69
昨日
¥3.00
同行基准
¥20.5
成交订单数
216
昨日
779
同行基准
267
结算金额
¥674.85
昨日
¥2,524.37
同行基准
¥3,933.4
商品曝光人数
4.13
万
昨日
15.59万
同行标杆
20.7万
商品点击人数
1,391
昨日
5,142
同行基准
1,627
成交人数
209
昨日
765
同行基准
212
退款金额（退款时间）
¥68.13
昨日
¥243.12
同行顶尖
¥0
退款金额（支付时间）
¥29.00
昨日
¥177.60
同行顶尖
¥0
退款率（支付时间）
5.16%
昨日
7.75%
同行顶尖
0%
成交退款金额（退款时间）
¥79.96
昨日
¥260.56
同行顶尖
¥0
退款订单数（退款时间）
25
昨日
87
同行标杆
11
退款订单数（支付时间）
13
昨日
63
同行标杆
4
商品曝光-点击转化率（人数）
3.37%
昨日
3.3%
同行基准
6.24%
商品点击-成交转化率（人数）
15.03%
昨日
14.88%
同行标杆
26.74%  ← #root > div.homepageWrapper-zxLmZT > div > dynamic-module-wrapper:nth-child(1) > div > div > div.coreContent-J7jCZG > div.businessDataWrap-LUgNmI > div:nth-child(1) > div > div.ecom-spin-nested-loading > div > div:nth-child(1)",是
2026-04-23 11:13:29,67.599,小缘发饰供应链,fxg_aftersale_fund_detail_bill,nav,goto,open_url,https://fxg.jinritemai.com/ffa/fxg-bill/fund-detail-bill,是
2026-04-23 11:13:36,74.136,小缘发饰供应链,fxg_aftersale_fund_detail_bill,interaction,fund_detail_date_range,dateRange,auxoCalendarPick: 已点选起止均为 2026-04-22,是
2026-04-23 11:13:41,79.739,小缘发饰供应链,fxg_aftersale_fund_detail_bill,interaction,fund_detail_click_generate_report,click,#rc-tabs-0-panel-FUND_DETAIL_BILL > div > div.auxo-pro-table.custom-style-gray.auxo-pro-table-combined > div.auxo-pro-table-wrapper > div > div.auxo-pro-table-list-toolbar > div > div.auxo-space.auxo-space-horizontal.auxo-space-align-center.auxo-pro-table-list-toolbar-right > div > div > div > button,是
2026-04-23 11:13:42,80.806,小缘发饰供应链,fxg_aftersale_fund_detail_bill,interaction,confirm_fund_detail_generate,click,div.auxo-popover-inner div.auxo-popover-buttons button.auxo-btn-primary.auxo-btn-sm,是
2026-04-23 11:13:45,83.518,小缘发饰供应链,fxg_bill_history_report,nav,goto,skip_same_url,https://fxg.jinritemai.com/ffa/fxg-bill/history-report,是
