动账时间,动帐流水号,动账方向,动账金额,动账账户,动账场景,计费类型,子订单号,订单号,售后编号,下单时间,商品ID,商品名称,达人ID,达人名称,订单类型,订单实付应结,运费实付,实际平台补贴_运费,实际平台补贴,其他平台补贴,以旧换新抵扣,政府补贴平台垫资,实际达人补贴,实际抖音支付补贴,实际抖音月付营销补贴,银行补贴,订单退款,平台服务费,佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,是否免佣,免佣金额,商户主体名称,备注
2026-04-23 01:09:24,'2026042301091916239332277155,入账,3.57,聚合账户,货款结算入账,小店自卖,'6925534044293725327,'6925534044293725327,'SS76307023229069440540076,2026-04-12 17:26:25,'3808318474044965225,中国风孔雀盘发器女生古典旗袍发饰丸子懒人高级感饰品优雅发夹,,,普通订单,3.76,0,0,0,0,0,0,0,0,0,0,0,-0.19,0,0,0,0,0,0,,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-23 01:09:24,'2026042301092024245542837155,入账,3.16,聚合账户,货款结算入账,小店自卖,'6952156203669001854,'6952156203669001854,'SS76307273439796106760031,2026-04-18 10:51:18,'3807195600034856977,紫色玫瑰花木簪夏季发簪网纱花朵发钗古风簪花头饰气质国风发饰女,,,普通订单,3.33,0,0,0,0,0,0,0,0,0,0,0,-0.17,0,0,0,0,0,0,否,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-23 01:09:24,'2026042301091935242314607155,入账,3.57,聚合账户,货款结算入账,小店自卖,'6952071448039986883,'6952071448039986883,'SS76306938951463613960183,2026-04-15 14:20:33,'3808318474044965225,中国风孔雀盘发器女生古典旗袍发饰丸子懒人高级感饰品优雅发夹,,,普通订单,3.76,0,0,0,0,0,0,0,0,0,0,0,-0.19,0,0,0,0,0,0,,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-23 01:09:24,'2026042301091836417377717155,入账,3.69,聚合账户,货款结算入账,小店自卖,'6925665014871392096,'6925665014871392096,'SS76306534036729531140048,2026-04-17 15:26:16,'3808132001588969935,赫本风发夹路易斯蝴蝶结抓夹女盘发高级感鲨鱼夹后脑勺显发量头饰,,,普通订单,3.88,0,0,0,0,0,0,0,0,0,0,0,-0.19,0,0,0,0,0,0,否,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-23 01:09:24,'2026042301092028691994037155,入账,5.26,聚合账户,货款结算入账,小店自卖,'6951989035158279634,'6951989035158279634,'SS76308213695183099300096,2026-04-11 08:18:31,'3806822440240283911,早秋复古拼色醋酸抓夹女后脑勺盘发夹高级感鲨鱼夹气质百搭款头饰,,,普通订单,5.54,0.98,0,0,0,0,0,0,0,0,0,0,-0.28,0,0,0,0,0,0,否,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-23 01:09:32,'2026042301092831715991107155,入账,7.11,聚合账户,货款结算入账,小店自卖,'6952028454172824865,'6952028454172824865,'SS76307002686356034900111,2026-04-13 12:31:50,'3809990713068880312,甜美森系花朵鸭嘴夹女后脑勺盘发超仙新款头饰早春清新高级感发夹,,,普通订单,7.48,0,0,0,0,0,0,0,0,0,0,0,-0.37,0,0,0,0,0,0,否,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-23 01:09:32,'2026042301092731088975997155,入账,5.87,聚合账户,货款结算入账,小店自卖,'6925556637198090171,'6925556637198090171,'SS76307023256192783360106,2026-04-13 07:45:31,'3808318474044965225,中国风孔雀盘发器女生古典旗袍发饰丸子懒人高级感饰品优雅发夹,,,普通订单,6.18,0,0,0,0,0,0,0,0,0,0,0,-0.31,0,0,0,0,0,0,否,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-23 01:09:32,'2026042301092828984817277155,入账,4.59,聚合账户,货款结算入账,小店自卖,'6952027551806329890,'6952027551806329890,'SS76306791361423980030123,2026-04-12 22:26:25,'3809990713068880312,甜美森系花朵鸭嘴夹女后脑勺盘发超仙新款头饰早春清新高级感发夹,,,普通订单,4.83,0,0,0,0,0,0,0,0,0,0,0,-0.24,0,0,0,0,0,0,否,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-23 01:09:32,'2026042301092711705226877155,入账,6.55,聚合账户,货款结算入账,小店自卖,'6925674793720970307,'6925674793720970307,'SS76308224487405166590001,2026-04-18 00:47:41,'3811098977965834270,韩系复古豹纹kt猫三角抓夹女发饰后脑勺发夹鲨鱼夹盘发头饰发饰品,,,普通订单,6.89,0,0,0,0,0,0,0,0,0,0,0,-0.34,0,0,0,0,0,0,否,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-23 01:09:32,'2026042301092828986619517155,入账,5.87,聚合账户,货款结算入账,小店自卖,'6952046130477012663,'6952046130477012663,'SS76307250259553326080188,2026-04-13 13:58:03,'3808318474044965225,中国风孔雀盘发器女生古典旗袍发饰丸子懒人高级感饰品优雅发夹,,,普通订单,6.18,0,0,0,0,0,0,0,0,0,0,0,-0.31,0,0,0,0,0,0,否,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-23 01:45:10,'2026042301450520260785277155,入账,3.57,聚合账户,货款结算入账,小店自卖,'6925552201857531170,'6925552201857531170,'SS76307023614267558910234,2026-04-12 23:31:17,'3808318474044965225,中国风孔雀盘发器女生古典旗袍发饰丸子懒人高级感饰品优雅发夹,,,普通订单,3.76,0,0,0,0,0,0,0,0,0,0,0,-0.19,0,0,0,0,0,0,否,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-23 01:45:10,'2026042301450228942177377155,入账,3.57,聚合账户,货款结算入账,小店自卖,'6952121961761412905,'6952121961761412905,'SS76308165083980930920201,2026-04-16 11:38:58,'3808318474044965225,中国风孔雀盘发器女生古典旗袍发饰丸子懒人高级感饰品优雅发夹,,,普通订单,3.76,0,0,0,0,0,0,0,0,0,0,0,-0.19,0,0,0,0,0,0,否,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-23 01:45:10,'2026042301450427437309807155,入账,5.87,聚合账户,货款结算入账,小店自卖,'6925567179362434597,'6925567179362434597,'SS76306843527870717710145,2026-04-13 10:47:08,'3808318474044965225,中国风孔雀盘发器女生古典旗袍发饰丸子懒人高级感饰品优雅发夹,,,普通订单,6.18,0,0,0,0,0,0,0,0,0,0,0,-0.31,0,0,0,0,0,0,否,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-23 01:45:10,'2026042301450230663972037155,入账,3.39,聚合账户,货款结算入账,小店自卖,'6925542476001475989,'6925542476001475989,'SS76306650253517299600200,2026-04-12 21:10:43,'3807215998982029325,2026新款牡丹花羽毛抓夹女高颜值轻奢精致鲨鱼夹高端气质抓夹发饰,,,普通订单,3.57,0,0,0,0,0,0,0,0,0,0,0,-0.18,0,0,0,0,0,0,否,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-23 03:11:18,'2026042303111207984747627155,入账,3.57,聚合账户,货款结算入账,小店自卖,'6925550310886767754,'6925550310886767754,'SS76306843125952351120198,2026-04-13 11:03:16,'3808318474044965225,中国风孔雀盘发器女生古典旗袍发饰丸子懒人高级感饰品优雅发夹,,,普通订单,3.76,0,0,0,0,0,0,0,0,0,0,0,-0.19,0,0,0,0,0,0,否,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-23 03:11:18,'2026042303111336081874357155,入账,3.57,聚合账户,货款结算入账,小店自卖,'6952014632056001579,'6952014632056001579,'SS76306669526455585690157,2026-04-13 07:43:48,'3808318474044965225,中国风孔雀盘发器女生古典旗袍发饰丸子懒人高级感饰品优雅发夹,,,普通订单,3.76,0,0,0,0,0,0,0,0,0,0,0,-0.19,0,0,0,0,0,0,否,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-23 03:11:18,'2026042303111215363771307155,入账,3.16,聚合账户,货款结算入账,小店自卖,'6952032221602059577,'6952032221602059577,'SS76306669523114237790128,2026-04-13 07:53:23,'3807195600034856977,紫色玫瑰花木簪夏季发簪网纱花朵发钗古风簪花头饰气质国风发饰女,,,普通订单,3.33,0,0,0,0,0,0,0,0,0,0,0,-0.17,0,0,0,0,0,0,否,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-23 03:11:18,'2026042303111306935518827155,入账,1.36,聚合账户,货款结算入账,小店自卖,'6925572843433000497,'6925572843433000497,'SS76307732150695695620191,2026-04-13 17:02:58,'3813511564116492758,侧边边夹星星发夹女2026新款前额碎发刘海夹粉色花朵夹子头饰发卡,,,普通订单,1.43,0,0,0,0,0,0,0,0,0,0,0,-0.07,0,0,0,0,0,0,否,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-23 03:11:18,'2026042303111321530217027155,入账,3.57,聚合账户,货款结算入账,小店自卖,'6952015885817615524,'6952015885817615524,'SS76306666220469294490184,2026-04-12 17:09:40,'3808318474044965225,中国风孔雀盘发器女生古典旗袍发饰丸子懒人高级感饰品优雅发夹,,,普通订单,3.76,0,0,0,0,0,0,0,0,0,0,0,-0.19,0,0,0,0,0,0,否,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-23 03:12:16,'2026042303121130579799427155,入账,2.81,聚合账户,货款结算入账,巨量千川,'6925541074520996944,'6925541074520996944,'SS76306669398109724500219,2026-04-13 06:31:35,'3811086962769658167,韩国发夹横夹头饰妈妈新款盘发后脑勺高档水钻头发大号鸭嘴发发饰,,,普通订单,0.01,0,0,2.95,0,0,0,0,0,0,0,0,-0.15,0,0,0,0,0,0,,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-23 03:12:16,'2026042303121229451558867155,入账,2.58,聚合账户,货款结算入账,精选联盟,'6925548998950878781,'6925548998950878781,'SS76306666131101496830201,2026-04-12 20:08:53,'3809969743033663599,2026新款韩系格子方巾大肠发圈高级慵懒风扎马尾发绳头绳大号发饰,'0,,普通订单,0.01,0,0,2.85,0,0,0,0,0,0,0,0,-0.14,0,0,0,0,-0.14,0,,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-23 03:12:16,'2026042303121038399882707155,入账,2.9,聚合账户,货款结算入账,精选联盟,'6925546432429980701,'6925546432429980701,'SS76306666611416276830039,2026-04-12 18:26:55,'3811087448025465311,缎面感大肠发圈气质扎头绳女简约丸子头百搭头饰品高级感轻奢显白,'0,,普通订单,2.26,0,0,0.96,0,0,0,0,0,0,0,0,-0.16,0,0,0,0,-0.16,0,,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-23 03:12:16,'2026042303121033228723477155,入账,3.39,聚合账户,货款结算入账,小店自卖,'6925557492740095841,'6925557492740095841,'SS76307257045316940800225,2026-04-13 13:32:27,'3808318474044965225,中国风孔雀盘发器女生古典旗袍发饰丸子懒人高级感饰品优雅发夹,,,普通订单,3.24,0,0,0.33,0,0,0,0,0,0,0,0,-0.18,0,0,0,0,0,0,否,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-23 03:12:16,'2026042303121013939187307155,入账,2.81,聚合账户,货款结算入账,巨量千川,'6952036249642538531,'6952036249642538531,'SS76306669488924759190055,2026-04-12 23:08:22,'3811086962769658167,韩国发夹横夹头饰妈妈新款盘发后脑勺高档水钻头发大号鸭嘴发发饰,,,普通订单,0.01,0,0,2.95,0,0,0,0,0,0,0,0,-0.15,0,0,0,0,0,0,,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-23 03:12:31,'2026042303122630997918997155,入账,3.02,聚合账户,货款结算入账,小店自卖,'6952022704746206621,'6952022704746206621,'SS76293528170184258960199,2026-04-12 20:18:10,'3808318474044965225,中国风孔雀盘发器女生古典旗袍发饰丸子懒人高级感饰品优雅发夹,,,普通订单,6.18,0,0,0,0,0,0,0,0,0,0,-3,-0.16,0,0,0,0,0,0,否,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-23 03:12:31,'2026042303122611038070037155,入账,3.59,聚合账户,货款结算入账,小店自卖,'6952007134542436030,'6952007134542436030,'SS76306666499218972540013,2026-04-12 17:48:58,'3811085218861940964,超仙蝴蝶大号盘发抓夹女2026新款高级感发夹后脑勺鲨鱼夹头饰ins,,,普通订单,3.78,0,0,0,0,0,0,0,0,0,0,0,-0.19,0,0,0,0,0,0,否,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-23 03:12:31,'2026042303122715650168597155,入账,3.69,聚合账户,货款结算入账,巨量千川,'6925559524874747166,'6925559524874747166,'SS76307011193249467510022,2026-04-13 11:54:50,'3808132001588969935,赫本风发夹路易斯蝴蝶结抓夹女盘发高级感鲨鱼夹后脑勺显发量头饰,,,普通订单,3.88,0,0,0,0,0,0,0,0,0,0,0,-0.19,0,0,0,0,0,0,否,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-23 03:12:31,'2026042303122630662986347155,入账,3.57,聚合账户,货款结算入账,小店自卖,'6925656216192122441,'6925656216192122441,'SS76306769839401869320220,2026-04-17 09:23:48,'3808318474044965225,中国风孔雀盘发器女生古典旗袍发饰丸子懒人高级感饰品优雅发夹,,,普通订单,3.76,0,0,0,0,0,0,0,0,0,0,0,-0.19,0,0,0,0,0,0,否,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-23 03:12:31,'2026042303122531176952417155,入账,3.4,聚合账户,货款结算入账,精选联盟,'6925681974725214108,'6925681974725214108,'SS76307098843675366900230,2026-04-18 11:42:22,'3808132001588969935,赫本风发夹路易斯蝴蝶结抓夹女盘发高级感鲨鱼夹后脑勺显发量头饰,'3971077810685956,欣💞子,普通订单,3.78,0,0,0,0,0,0,0,0,0,0,0,-0.19,-0.19,0,0,0,0,0,,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
