动账时间,动帐流水号,动账方向,动账金额,动账账户,动账场景,计费类型,子订单号,订单号,售后编号,下单时间,商品ID,商品名称,达人ID,达人名称,订单类型,订单实付应结,运费实付,实际平台补贴_运费,实际平台补贴,其他平台补贴,以旧换新抵扣,政府补贴平台垫资,实际达人补贴,实际抖音支付补贴,实际抖音月付营销补贴,银行补贴,订单退款,平台服务费,佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,是否免佣,免佣金额,商户主体名称,备注
2026-04-23 01:42:52,'2026042301424403196526148792,入账,5.91,聚合账户,货款结算入账,小店自卖,'6925552904497495105,'6925552904497495105,'SS76306998357694715030149,2026-04-13 10:17:24,'3706793034235642198,简约不伤发水晶亚克力高档双头皮筋绕绕橡皮筋兔子扎头发圈头绳,,,普通订单,5.95,0,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,义乌市增绩电子商务商行,订单结算
2026-04-23 01:42:52,'2026042301424627184993378792,入账,3.91,聚合账户,货款结算入账,小店自卖,'6952034138593302196,'6952034138593302196,'SS76306668103569290580155,2026-04-13 00:13:02,'3779920667768651923,2026新款爆款原创设计可爱百搭发夹卡通后脑勺高级鲨鱼夹发饰女 ,,,普通订单,3.93,1,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市增绩电子商务商行,订单结算
2026-04-23 01:42:52,'2026042301424300116209188792,入账,7.76,聚合账户,货款结算入账,小店自卖,'6952007719843731123,'6952007719843731123,'SS76306668021725273660119,2026-04-12 23:26:11,'3632118613957335974,超大后脑勺抓夹手工夹新款高颜值方块夹抓夹夹头发发量多发卡发夹,,,普通订单,7.81,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0,0,0,0,0,是-商品卡免佣,0.37,义乌市增绩电子商务商行,订单结算
2026-04-23 01:42:52,'2026042301424636127214498792,入账,3.37,聚合账户,货款结算入账,小店自卖,'6952157257395476102,'6952157257395476102,'SS76308689881347077470001,2026-04-17 20:09:25,'3812785057387643369,超温柔!粉色双面蝴蝶结香蕉夹后脑勺盘发竖夹气质高马尾发夹发饰,,,普通订单,3.39,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市增绩电子商务商行,订单结算
2026-04-23 01:42:52,'2026042301424528403471788792,入账,5.46,聚合账户,货款结算入账,小店自卖,'6925658846050942422,'6925658846050942422,'SS76308005002125975390087,2026-04-17 16:07:56,'3783267643474182258,2025新款甜美kitty刘海魔术贴可爱棉花糖猫碎发贴魔术贴无痕发饰,,,普通订单,5.49,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市增绩电子商务商行,订单结算
2026-04-23 01:42:52,'2026042301424719006589858792,入账,5.46,聚合账户,货款结算入账,小店自卖,'6925544394619190303,'6925544394619190303,'SS76306631735993966270138,2026-04-12 18:28:33,'3783267643474182258,2025新款甜美kitty刘海魔术贴可爱棉花糖猫碎发贴魔术贴无痕发饰,,,普通订单,5.49,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市增绩电子商务商行,订单结算
2026-04-23 01:53:58,'2026042301534933118172258792,入账,3.91,聚合账户,货款结算入账,小店自卖,'6925560857968213276,'6925560857968213276,'SS76306668529522119770076,2026-04-13 06:09:43,'3779920667768651923,2026新款爆款原创设计可爱百搭发夹卡通后脑勺高级鲨鱼夹发饰女 ,,,普通订单,3.93,1,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市增绩电子商务商行,订单结算
2026-04-23 01:59:06,'2026042301585910032461188792,入账,7.03,聚合账户,货款结算入账,小店自卖,'6925625688235605523,'6925625688235605523,'SS76305103278270226020157,2026-04-16 00:10:25,'3779920667768651923,2026新款爆款原创设计可爱百搭发夹卡通后脑勺高级鲨鱼夹发饰女 ,,,普通订单,7.07,1,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,义乌市增绩电子商务商行,订单结算
2026-04-23 01:59:06,'2026042301585806511168108792,入账,5.46,聚合账户,货款结算入账,小店自卖,'6925638386089754115,'6925638386089754115,'SS76307376744469018010204,2026-04-16 12:43:11,'3783267643474182258,2025新款甜美kitty刘海魔术贴可爱棉花糖猫碎发贴魔术贴无痕发饰,,,普通订单,5.49,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市增绩电子商务商行,订单结算
2026-04-23 02:21:19,'2026042302211315567959458792,入账,3.98,聚合账户,货款结算入账,小店自卖,'6925542343860452541,'6925542343860452541,'SS76306666249201753600134,2026-04-12 20:16:51,'3780821082009895039,秋冬款韩系防滑带齿豹纹发箍毛绒发箍洗脸化妆发卡头箍束发带发饰,,,普通订单,4,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市增绩电子商务商行,订单结算
