动账时间,动帐流水号,动账方向,动账金额,动账账户,动账场景,计费类型,子订单号,订单号,售后编号,下单时间,商品ID,商品名称,达人ID,达人名称,订单类型,订单实付应结,运费实付,实际平台补贴_运费,实际平台补贴,其他平台补贴,以旧换新抵扣,政府补贴平台垫资,实际达人补贴,实际抖音支付补贴,实际抖音月付营销补贴,银行补贴,订单退款,平台服务费,佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,是否免佣,免佣金额,商户主体名称,备注
2026-04-23 01:16:42,'2026042301163803738219948659,入账,7.11,聚合账户,货款结算入账,小店自卖,'6925543304367078902,'6925543304367078902,'SS76307409718946698780164,2026-04-13 07:49:49,'3740589861212651739,儿童卷卷电话绳发圈女高马尾2023新款KT头绳皮筋高弹力发绳编发,,,普通订单,7.15,1.2,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,义乌市唬廉电子商务商行（个体工商户）,订单结算
2026-04-23 01:16:42,'2026042301163724223462948659,入账,3.47,聚合账户,货款结算入账,小店自卖,'6925706417269210793,'6925706417269210793,'SS76307976770734656260191,2026-04-18 18:35:20,'3776965653152530926,百搭高马尾香蕉夹大号发夹高级感抓夹后脑勺竖夹头发夹子头饰发卡,,,普通订单,3.49,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市唬廉电子商务商行（个体工商户）,订单结算
2026-04-23 01:16:42,'2026042301163635832509508659,入账,5.05,聚合账户,货款结算入账,小店自卖,'6952036518971315440,'6952036518971315440,'SS76306668218635392360220,2026-04-13 06:45:27,'3761373581603373058,高级感满钻金属气质轻奢简约扭扭夹8字形盘发器精致头饰发饰女,,,普通订单,5.08,0.4,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市唬廉电子商务商行（个体工商户）,订单结算
2026-04-23 01:16:43,'2026042301163621021496958659,入账,5.74,聚合账户,货款结算入账,小店自卖,'6952025480864732991,'6952025480864732991,'SS76306668650268104200145,2026-04-13 08:11:41,'3798499010633925070,新款高颜值蝴蝶结迷你发夹2026甜酷百搭高级高档侧边刘海夹鸭嘴夹,,,普通订单,5.77,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市唬廉电子商务商行（个体工商户）,订单结算
2026-04-23 01:16:43,'2026042301163738680829868659,入账,4.3,聚合账户,货款结算入账,小店自卖,'6952036513170396557,'6952036513170396557,'SS76306668645532513280192,2026-04-13 07:15:27,'3799234390622601578,新款2026甜酷可爱高级感侧边刘海夹鸭嘴夹女高颜值蝴蝶结迷你发夹,,,普通订单,4.33,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市唬廉电子商务商行（个体工商户）,订单结算
2026-04-23 01:16:43,'2026042301163605626437538659,入账,2.88,聚合账户,货款结算入账,小店自卖,'6925679108396973314,'6925679108396973314,'SS76307602962698245620046,2026-04-18 00:19:49,'3742961065479242108,新中式古风花朵发夹女后脑勺森系鸭嘴夹新款鲨鱼夹一字抓夹大号,,,普通订单,2.9,0.6,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市唬廉电子商务商行（个体工商户）,订单结算
2026-04-23 01:21:50,'2026042301214221998146658659,入账,6.98,聚合账户,货款结算入账,小店自卖,'6925665957072895782,'6925665957072895782,'SS76308015273844738990244,2026-04-17 22:51:00,'3748589663061934368,夏季新款编发发箍高颜值少女法式超仙珍珠发箍飘带绑发洋气头箍,,,普通订单,7.02,0.95,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,义乌市唬廉电子商务商行（个体工商户）,订单结算
2026-04-23 01:21:50,'2026042301214312972040048659,入账,3.62,聚合账户,货款结算入账,小店自卖,'6951832356329953117,'6951832356329953117,'SS76280541823278289980069,2026-04-05 15:35:12,'3795484224912490696,可爱少女棉花糖猫碎发贴魔术贴无痕发饰甜美kitty少女可爱无痕碎,,,普通订单,3.64,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市唬廉电子商务商行（个体工商户）,订单结算
2026-04-23 01:21:50,'2026042301214227270679148659,入账,0.59,聚合账户,货款结算入账,小店自卖,'6925711281493736825,'6925711281493736825,'SS76303995319511659980099,2026-04-19 00:40:17,'3742961065479242108,新中式古风花朵发夹女后脑勺森系鸭嘴夹新款鲨鱼夹一字抓夹大号,,,普通订单,2.9,0.6,0,0,0,0,0,0,0,0,0,-2.3,-0.01,0,0,0,0,0,0,是-商品卡免佣,0.07,义乌市唬廉电子商务商行（个体工商户）,订单结算
2026-04-23 01:21:50,'2026042301214315813845118659,入账,2.57,聚合账户,货款结算入账,小店自卖,'6952162114878904233,'6952162114878904233,'SS76308296163496102460014,2026-04-17 23:17:46,'3737498107596898515,儿童黑色皮筋不伤发女童宝宝弹性好拇指发圈头绳小号皮筋发箍,,,普通订单,2.59,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市唬廉电子商务商行（个体工商户）,订单结算
