动账时间,动帐流水号,动账方向,动账金额,动账账户,动账场景,计费类型,子订单号,订单号,售后编号,下单时间,商品ID,商品名称,达人ID,达人名称,订单类型,订单实付应结,运费实付,实际平台补贴_运费,实际平台补贴,其他平台补贴,以旧换新抵扣,政府补贴平台垫资,实际达人补贴,实际抖音支付补贴,实际抖音月付营销补贴,银行补贴,订单退款,平台服务费,佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,是否免佣,免佣金额,商户主体名称,备注
2026-04-23 03:41:10,'2026042303410636256975628265,入账,4.15,聚合账户,货款结算入账,小店自卖,'6925540342164454956,'6925540342164454956,'SS76307406069441009160131,2026-04-12 21:04:12,'3811812232464040129,发量少高级感后脑勺2026新款夏日盘发女发夹中号头发鲨鱼夹子头饰,,,普通订单,4.18,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市隔逐电子商务商行（个体工商户）,订单结算
2026-04-23 03:41:10,'2026042303410610791493548265,入账,3.65,聚合账户,货款结算入账,小店自卖,'6952180088863397025,'6952180088863397025,'SS76308631901878564240214,2026-04-18 12:31:02,'3811462054972359032,超仙森系简约优雅百搭黑色波点泡泡纱黑天鹅抓夹碎发夹发饰韩版,,,普通订单,3.67,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市隔逐电子商务商行（个体工商户）,订单结算
2026-04-23 04:04:12,'2026042304040526096602018265,入账,8.8,聚合账户,货款结算入账,小店自卖,'6952110878892627857,'6952110878892627857,'SS76307656765297953910232,2026-04-16 16:07:04,'3809819945160802744,黑色网红蝴蝶结抓夹后脑勺高级感大号鲨鱼夹公主发夹法式发卡发饰,,,普通订单,6.26,0,0,3,0,0,0,0,0,0,0,0,-0.46,0,0,0,0,0,0,,0,义乌市隔逐电子商务商行（个体工商户）,订单结算
2026-04-23 04:04:12,'2026042304040623200238148265,入账,3.32,聚合账户,货款结算入账,小店自卖,'6952115482249467594,'6952115482249467594,'SS76307396285020780040098,2026-04-16 16:16:36,'3812411764600078504,优雅高级牡丹花流苏2026新款珠珠发夹后脑勺显发量鲨鱼头饰复古,,,普通订单,2.45,0,0,1.05,0,0,0,0,0,0,0,0,-0.18,0,0,0,0,0,0,,0,义乌市隔逐电子商务商行（个体工商户）,订单结算
2026-04-23 04:04:12,'2026042304040638504535588265,入账,2.7,聚合账户,货款结算入账,小店自卖,'6952012415668458738,'6952012415668458738,'SS76306669911954273660031,2026-04-12 23:32:30,'3808889676719325489,简约红大号南瓜抓夹女发量多加宽后脑勺发夹气质鲨鱼夹头饰发饰,,,普通订单,2.72,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市隔逐电子商务商行（个体工商户）,订单结算
2026-04-23 04:04:12,'2026042304040540911506278265,入账,2.7,聚合账户,货款结算入账,小店自卖,'6925543509775384362,'6925543509775384362,'SS76306825184932989800009,2026-04-13 09:47:39,'3808889676719325489,简约红大号南瓜抓夹女发量多加宽后脑勺发夹气质鲨鱼夹头饰发饰,,,普通订单,2.72,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市隔逐电子商务商行（个体工商户）,订单结算
2026-04-23 07:45:17,'2026042307451425211745648265,入账,3.41,聚合账户,货款结算入账,小店自卖,'6952018505945191884,'6952018505945191884,'SS76306794780579313160063,2026-04-12 22:25:40,'3810136574495162528,高级感时尚水钻纱边缎面肥肠圈2026新款气质扎发头绳大号网纱发圈,,,普通订单,3.43,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市隔逐电子商务商行（个体工商户）,订单结算
2026-04-23 07:45:17,'2026042307451319179282428265,入账,2.34,聚合账户,货款结算入账,小店自卖,'6925607182467890906,'6925607182467890906,'SS76305955040332846580178,2026-04-15 10:35:48,'3811462054972359032,超仙森系简约优雅百搭黑色波点泡泡纱黑天鹅抓夹碎发夹发饰韩版,,,普通订单,0.35,0,0,2,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,0,0,是-商品卡免佣,0.07,义乌市隔逐电子商务商行（个体工商户）,订单结算
2026-04-23 08:53:38,'2026042308533314364347288265,出账,2,聚合账户,小额打款,,'6952204706897139004,'6952204706897139004,,,,,,,普通订单,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,义乌市隔逐电子商务商行（个体工商户）,商家向消费者小额打款-“补差价”
2026-04-23 09:12:19,'2026042309121417677727128265,入账,3.85,聚合账户,货款结算入账,小店自卖,'6925676710577798420,'6925676710577798420,'SS76308508203740247540134,2026-04-17 22:58:18,'3809035407224602661,高级手工编织结豹纹大肠发圈显发量马尾丸子头发绳韩国新款头绳,,,普通订单,3.87,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市隔逐电子商务商行（个体工商户）,订单结算
2026-04-23 10:36:40,'2026042310363703364501028265,入账,2.34,聚合账户,货款结算入账,小店自卖,'6952148688654178180,'6952148688654178180,'SS76307634221501811620041,2026-04-18 04:04:40,'3811462054972359032,超仙森系简约优雅百搭黑色波点泡泡纱黑天鹅抓夹碎发夹发饰韩版,,,普通订单,0.55,0,0,1.8,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,0,0,是-商品卡免佣,0.07,义乌市隔逐电子商务商行（个体工商户）,订单结算
2026-04-23 10:36:40,'2026042310363734692959148265,入账,3.28,聚合账户,货款结算入账,小店自卖,'6951875233195956083,'6951875233195956083,'SS76307369447119587940096,2026-04-07 22:20:44,'3811812232464040129,发量少高级感后脑勺2026新款夏日盘发女发夹中号头发鲨鱼夹子头饰,,,普通订单,0.3,0,0,3,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市隔逐电子商务商行（个体工商户）,订单结算
