日志时间,自运行起秒,步骤耗时_ms,账号,页面,阶段,键/标签,动作,结果,是否成功
2026-04-24 10:02:00,2.915,2914.77,伊一优选百货,globalAccountLoop,nav,goto,open_url,https://fxg.jinritemai.com/ffa/mshop/homepage/index,是
2026-04-24 10:02:15,17.553,14638.28,伊一优选百货,globalAccountLoop,account,switch,switchAccount,已切换店铺: 伊一优选百货（CSS 流程）,是
2026-04-24 10:02:19,22.001,4448.14,伊一优选百货,fxg_mshop_home,nav,goto,open_url,https://compass.jinritemai.com/shop,是
2026-04-24 10:02:56,59.332,37330.72,伊一优选百货,fxg_mshop_home,interaction,fxg_home_close_desktop_ad,click,"Locator.wait_for: Timeout 3500ms exceeded.
Call log:
  - waiting for locator(""div[role='dialog'] .auxo-modal-close-x"").first to be visible
",否
2026-04-24 10:02:59,62.258,2925.76,伊一优选百货,fxg_mshop_home,field,经营概况整块文本,extract:text,"成交金额
¥138.59
昨日
¥929.31
同行基准
¥569
用户支付金额
¥113.35
昨日
¥728.45
同行基准
¥532.73
结算金额
¥112.32
昨日
¥895.11
同行基准
¥501
客单价
¥3.91
昨日
¥4.19
同行基准
¥16.11
成交订单数
35
昨日
175
同行基准
38
商品曝光人数
9,513
昨日
4.29万
同行标杆
4.63万
商品点击人数
444
昨日
2,064
同行标杆
1,642
成交人数
29
昨日
174
同行基准
30
退款金额（退款时间）
¥36.50
昨日
¥50.22
同行标杆
¥16.1
退款金额（支付时间）
¥24.27
昨日
¥30.20
同行标杆
¥0
退款率（支付时间）
21.41%
昨日
4.15%
同行基准
8.72%
成交退款金额（退款时间）
¥38.50
昨日
¥59.41
同行标杆
¥16.9
退款订单数（退款时间）
13
昨日
16
同行基准
7
退款订单数（支付时间）
9
昨日
7
同行基准
4
商品曝光-点击转化率（人数）
4.67%
昨日
4.81%
同行基准
5.21%
商品点击-成交转化率（人数）
6.53%
昨日
8.43%
同行基准
8.9%  ← #root > div.homepageWrapper-zxLmZT > div > dynamic-module-wrapper:nth-child(1) > div > div > div.coreContent-J7jCZG > div.businessDataWrap-LUgNmI > div:nth-child(1) > div > div.ecom-spin-nested-loading > div > div:nth-child(1)",是
2026-04-24 10:03:01,63.839,1581.82,伊一优选百货,fxg_aftersale_fund_detail_bill,nav,goto,open_url,https://fxg.jinritemai.com/ffa/fxg-bill/fund-detail-bill,是
2026-04-24 10:03:07,70.257,6417.80,伊一优选百货,fxg_aftersale_fund_detail_bill,interaction,fund_detail_date_range,dateRange,auxoCalendarPick: 已点选起止均为 2026-04-23,是
2026-04-24 10:03:13,75.842,5584.49,伊一优选百货,fxg_aftersale_fund_detail_bill,interaction,fund_detail_click_generate_report,click,#rc-tabs-0-panel-FUND_DETAIL_BILL > div > div.auxo-pro-table.custom-style-gray.auxo-pro-table-combined > div.auxo-pro-table-wrapper > div > div.auxo-pro-table-list-toolbar > div > div.auxo-space.auxo-space-horizontal.auxo-space-align-center.auxo-pro-table-list-toolbar-right > div > div > div > button,是
2026-04-24 10:03:14,76.889,1047.25,伊一优选百货,fxg_aftersale_fund_detail_bill,interaction,confirm_fund_detail_generate,click,div.auxo-popover-inner div.auxo-popover-buttons button.auxo-btn-primary.auxo-btn-sm,是
2026-04-24 10:03:17,79.617,2727.64,伊一优选百货,fxg_bill_history_report,nav,goto,skip_same_url,https://fxg.jinritemai.com/ffa/fxg-bill/history-report,是
