动账时间,动帐流水号,动账方向,动账金额,动账账户,动账场景,计费类型,子订单号,订单号,售后编号,下单时间,商品ID,商品名称,达人ID,达人名称,订单类型,订单实付应结,运费实付,实际平台补贴_运费,实际平台补贴,其他平台补贴,以旧换新抵扣,政府补贴平台垫资,实际达人补贴,实际抖音支付补贴,实际抖音月付营销补贴,银行补贴,订单退款,平台服务费,佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,是否免佣,免佣金额,商户主体名称,备注
2026-04-23 00:51:57,'2026042300514831541665747642,出账,9,聚合账户,评价有礼保证金扣款,,,,,,,,,,普通订单,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,义乌市郑意玩具厂（个体工商户）,扣除货款充值评价有礼保证金，详情至【流量-营销工具-工具列表-评价有礼】查看
2026-04-23 01:38:36,'2026042301383001727861867642,入账,4.77,聚合账户,货款结算入账,小店自卖,'6925553310276680992,'6925553310276680992,'SS76306669300939660900138,2026-04-12 15:14:48,'3807348857336102969,迷你小号鸭嘴夹发夹侧边小夹子精致蝴蝶结碎发夹刘海夹高级感发卡,,,普通订单,4.8,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市郑意玩具厂（个体工商户）,订单结算
2026-04-23 01:38:36,'2026042301382831092411077642,入账,4.53,聚合账户,货款结算入账,小店自卖,'6951999001328752361,'6951999001328752361,'SS76306445306271175940002,2026-04-11 22:24:41,'3811113617319920049,森系干枯山茶花朵7cm小抓夹 百搭气质发夹女后脑勺超仙鲨夹发饰,,,普通订单,4.56,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市郑意玩具厂（个体工商户）,订单结算
2026-04-23 01:38:36,'2026042301383038220439507642,入账,5.47,聚合账户,货款结算入账,小店自卖,'6925382441992224532,'6925382441992224532,'SS76280723886142961270199,2026-04-06 00:20:44,'3806828354544468284,可爱蝴蝶结小猫无痕刘海贴魔术贴发饰少女前额侧边碎发贴整理神器,,,普通订单,5.5,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市郑意玩具厂（个体工商户）,订单结算
2026-04-23 01:38:36,'2026042301383205751447587642,入账,4.32,聚合账户,货款结算入账,精选联盟,'6952019542389691566,'6952019542389691566,'SS76307479043744566170142,2026-04-13 15:07:07,'3807348857336102969,迷你小号鸭嘴夹发夹侧边小夹子精致蝴蝶结碎发夹刘海夹高级感发卡,'3591434731003651,清风恋优选好物,普通订单,4.8,0,0,0,0,0,0,0,0,0,0,0,-0.24,-0.24,0,0,0,0,0,,0,义乌市郑意玩具厂（个体工商户）,订单结算
2026-04-23 01:47:59,'2026042301474927305129597642,入账,4.53,聚合账户,货款结算入账,小店自卖,'6925550351451454827,'6925550351451323755,'SS76306997040406205950111,2026-04-13 11:24:53,'3811113617319920049,森系干枯山茶花朵7cm小抓夹 百搭气质发夹女后脑勺超仙鲨夹发饰,,,普通订单,4.56,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市郑意玩具厂（个体工商户）,订单结算
2026-04-23 01:47:59,'2026042301475009238656367642,入账,2.73,聚合账户,货款结算入账,小店自卖,'6952027147929458014,'6952027147929458014,'SS76306669915666560430079,2026-04-12 18:50:28,'3807348857336102969,迷你小号鸭嘴夹发夹侧边小夹子精致蝴蝶结碎发夹刘海夹高级感发卡,,,普通订单,2.75,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市郑意玩具厂（个体工商户）,订单结算
2026-04-23 01:47:59,'2026042301474716888509877642,入账,5.72,聚合账户,货款结算入账,小店自卖,'6952021698027132514,'6952021698027132514,'SS76306792147732936190200,2026-04-13 09:04:02,'3810358478183203011,小狗牛仔蓝头绳可爱儿童小肠发圈高弹力女发饰童皮筋扎头发绳头饰,,,普通订单,5.75,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市郑意玩具厂（个体工商户）,订单结算
2026-04-23 03:42:36,'2026042303423233811827307642,入账,2.57,聚合账户,货款结算入账,巨量千川,'6952034836685198689,'6952034836685198689,'SS76307124072874969860235,2026-04-13 12:45:39,'3809428611430220237,新中式咖色碎花四层大肠发圈发绳女慵懒风扎头发大号复古发饰头绳,,,普通订单,0.01,0,0,2.7,0,0,0,0,0,0,0,0,-0.14,0,0,0,0,0,0,,0,义乌市郑意玩具厂（个体工商户）,订单结算
2026-04-23 03:42:44,'2026042303424001650693317642,入账,4.53,聚合账户,货款结算入账,小店自卖,'6925672523920342856,'6925672523920342856,'SS76308625204920817160087,2026-04-18 00:35:39,'3811113617319920049,森系干枯山茶花朵7cm小抓夹 百搭气质发夹女后脑勺超仙鲨夹发饰,,,普通订单,4.56,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市郑意玩具厂（个体工商户）,订单结算
2026-04-23 03:42:44,'2026042303424038391488547642,入账,2.95,聚合账户,货款结算入账,小店自卖,'6925548265021538148,'6925548265021538148,'SS76307122783675686800098,2026-04-13 13:14:50,'3810358478183203011,小狗牛仔蓝头绳可爱儿童小肠发圈高弹力女发饰童皮筋扎头发绳头饰,,,普通订单,0.11,0,0,3,0,0,0,0,0,0,0,0,-0.16,0,0,0,0,0,0,,0,义乌市郑意玩具厂（个体工商户）,订单结算
2026-04-23 03:42:44,'2026042303424023489252037642,入账,3.54,聚合账户,货款结算入账,巨量千川,'6952034322821813478,'6952034322821813478,'SS76296451111146951940160,2026-04-13 05:21:52,'3811113617319920049,森系干枯山茶花朵7cm小抓夹 百搭气质发夹女后脑勺超仙鲨夹发饰,,,普通订单,4.56,0,0,0,0,0,0,0,0,0,0,-1,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市郑意玩具厂（个体工商户）,订单结算
2026-04-23 03:42:44,'2026042303424028442138017642,入账,4.53,聚合账户,货款结算入账,小店自卖,'6952058769434023785,'6952058769434023785,'SS76306438898162404030197,2026-04-14 14:50:00,'3811113617319920049,森系干枯山茶花朵7cm小抓夹 百搭气质发夹女后脑勺超仙鲨夹发饰,,,普通订单,4.56,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市郑意玩具厂（个体工商户）,订单结算
2026-04-23 03:42:44,'2026042303424023348393597642,入账,3.09,聚合账户,货款结算入账,精选联盟,'6925647313177116551,'6925647313177116551,'SS76306884410885575830099,2026-04-17 10:13:51,'3807348857336102969,迷你小号鸭嘴夹发夹侧边小夹子精致蝴蝶结碎发夹刘海夹高级感发卡,'111355262648,爱美的Kitty猫🐱,普通订单,2.43,0,0,1,0,0,0,0,0,0,0,0,-0.17,-0.17,0,0,0,0,0,,0,义乌市郑意玩具厂（个体工商户）,订单结算
2026-04-23 03:42:50,'2026042303424520055864327642,入账,3.69,聚合账户,货款结算入账,小店自卖,'6952163121874539607,'6952163121874539607,'SS76307861403083904190127,2026-04-18 15:23:23,'3810358478183203011,小狗牛仔蓝头绳可爱儿童小肠发圈高弹力女发饰童皮筋扎头发绳头饰,,,普通订单,3.3,0.6,0,0.41,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市郑意玩具厂（个体工商户）,订单结算
2026-04-23 03:42:50,'2026042303424633060298597642,入账,4.53,聚合账户,货款结算入账,小店自卖,'6925540500465680351,'6925540500465680351,'SS76306667343893673500097,2026-04-12 21:51:51,'3811113617319920049,森系干枯山茶花朵7cm小抓夹 百搭气质发夹女后脑勺超仙鲨夹发饰,,,普通订单,4.56,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市郑意玩具厂（个体工商户）,订单结算
2026-04-23 03:42:50,'2026042303424613608104967642,入账,2.69,聚合账户,货款结算入账,小店自卖,'6952032288341300443,'6952032288341300443,'SS76307406026838182660248,2026-04-13 08:24:37,'3807174206576263394,气质大号抓夹发量多2026新款发夹女后脑勺鲨鱼夹高级感洋气头饰,,,普通订单,0.01,0,0,2.82,0,0,0,0,0,0,0,0,-0.14,0,0,0,0,0,0,,0,义乌市郑意玩具厂（个体工商户）,订单结算
2026-04-23 03:42:50,'2026042303424538887426907642,入账,3.09,聚合账户,货款结算入账,小店自卖,'6952019286975452428,'6952019286975452428,'SS76306792062814828030168,2026-04-13 11:28:31,'3810358478183203011,小狗牛仔蓝头绳可爱儿童小肠发圈高弹力女发饰童皮筋扎头发绳头饰,,,普通订单,3.11,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市郑意玩具厂（个体工商户）,订单结算
2026-04-23 03:42:50,'2026042303424440443909647642,入账,2.58,聚合账户,货款结算入账,巨量千川,'6925559199579667910,'6925559199579667910,'SS76306793177649979030156,2026-04-13 09:58:28,'3809808466911035670,豹纹镂空云朵抓夹女高级感2026新款秋冬发量大后脑勺鲨鱼夹子发饰,,,普通订单,0.01,0,0,2.71,0,0,0,0,0,0,0,0,-0.14,0,0,0,0,0,0,,0,义乌市郑意玩具厂（个体工商户）,订单结算
2026-04-23 03:42:59,'2026042303425439688934677642,入账,5.72,聚合账户,货款结算入账,小店自卖,'6952034780781745578,'6952034780781745578,'SS76307013371667297800112,2026-04-13 12:32:51,'3810358478183203011,小狗牛仔蓝头绳可爱儿童小肠发圈高弹力女发饰童皮筋扎头发绳头饰,,,普通订单,5.75,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市郑意玩具厂（个体工商户）,订单结算
