动账时间,动帐流水号,动账方向,动账金额,动账账户,动账场景,计费类型,子订单号,订单号,售后编号,下单时间,商品ID,商品名称,达人ID,达人名称,订单类型,订单实付应结,运费实付,实际平台补贴_运费,实际平台补贴,其他平台补贴,以旧换新抵扣,政府补贴平台垫资,实际达人补贴,实际抖音支付补贴,实际抖音月付营销补贴,银行补贴,订单退款,平台服务费,佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,是否免佣,免佣金额,商户主体名称,备注
2026-04-23 01:30:18,'2026042301300919643929703283,入账,3.62,聚合账户,货款结算入账,小店自卖,'6925543518213799443,'6925543518213799443,'SS76289783018390653980057,2026-04-13 09:39:47,'3809573038236762270,日韩高级感蕾丝头花大肠发圈女2026新款波点发圈公主头饰马尾发饰,,,普通订单,7.65,0,0,0,0,0,0,0,0,0,0,-4,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市天籁电子商务商行（个体工商户）,订单结算
2026-04-23 01:30:18,'2026042301301139142528153283,入账,5.91,聚合账户,货款结算入账,小店自卖,'6952034093179933863,'6952034093179933863,'SS76306669971179115710191,2026-04-12 23:16:24,'3809614503998522161,可爱小猫无痕刘海贴2026款魔术贴发饰少女前额侧边碎发贴整理神器,,,普通订单,5.95,0,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,义乌市天籁电子商务商行（个体工商户）,订单结算
2026-04-23 01:37:58,'2026042301375241826721553283,入账,3.16,聚合账户,货款结算入账,小店自卖,'6925660930990832901,'6925660930990832901,'SS76307613429576665750079,2026-04-17 14:33:47,'3813894312274559048,新款珍珠精致感百搭一字夹后脑勺高级感扭扭夹大号发量多半扎发夹,,,普通订单,3.18,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市天籁电子商务商行（个体工商户）,订单结算
2026-04-23 02:00:18,'2026042302001201972188423283,入账,5.22,聚合账户,货款结算入账,小店自卖,'6925698288345775201,'6925698288345775201,'SS76308256859844613620170,2026-04-19 00:33:01,'3809430161871471056,网红红色格纹花朵发圈儿童植绒扎发绳可爱卡通丸子头皮筋女童发饰,,,普通订单,5.49,0,0,0,0,0,0,0,0,0,0,0,-0.27,0,0,0,0,0,0,,0,义乌市天籁电子商务商行（个体工商户）,订单结算
2026-04-23 02:00:18,'2026042302001200974359563283,入账,2.92,聚合账户,货款结算入账,小店自卖,'6952041630077162989,'6952041630077162989,'SS76307452638184901630011,2026-04-13 14:33:46,'3809573038236762270,日韩高级感蕾丝头花大肠发圈女2026新款波点发圈公主头饰马尾发饰,,,普通订单,2.94,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市天籁电子商务商行（个体工商户）,订单结算
2026-04-23 02:38:06,'2026042302380225292354943283,入账,5.22,聚合账户,货款结算入账,小店自卖,'6952030433493915433,'6952030433493915433,'SS76307455899654883940091,2026-04-13 13:06:30,'3809573038236762270,日韩高级感蕾丝头花大肠发圈女2026新款波点发圈公主头饰马尾发饰,,,普通订单,5.25,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市天籁电子商务商行（个体工商户）,订单结算
2026-04-23 02:39:20,'2026042302391502276237223283,入账,3.16,聚合账户,货款结算入账,小店自卖,'6925649395059293359,'6925649395059293359,'SS76307739833908966780087,2026-04-17 08:44:19,'3813894312274559048,新款珍珠精致感百搭一字夹后脑勺高级感扭扭夹大号发量多半扎发夹,,,普通订单,3.18,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市天籁电子商务商行（个体工商户）,订单结算
2026-04-23 03:32:24,'2026042303322101020075713283,入账,4.13,聚合账户,货款结算入账,小店自卖,'6952027705285022756,'6952027705285022756,'SS76307000109710707470153,2026-04-12 23:50:20,'3812577466569064691,高级感前额侧边碎发夹刘海夹小号闪钻蝴蝶结鸭嘴夹子水晶发卡头饰,,,普通订单,3.78,0,0,0.57,0,0,0,0,0,0,0,0,-0.22,0,0,0,0,0,0,,0,义乌市天籁电子商务商行（个体工商户）,订单结算
2026-04-23 03:36:00,'2026042303355436505521003283,入账,2.83,聚合账户,货款结算入账,巨量千川,'6951904545476122275,'6951904545476122275,'SS76306747230048914010244,2026-04-07 23:20:48,'3809565171995771309,卡通可爱猫咪抓夹女2025新款夹子头饰发夹气质后脑勺半扎发鲨鱼夹,,,普通订单,0.01,0,0,2.97,0,0,0,0,0,0,0,0,-0.15,0,0,0,0,0,0,,0,义乌市天籁电子商务商行（个体工商户）,订单结算
2026-04-23 03:40:14,'2026042303401027431739403283,入账,2.44,聚合账户,货款结算入账,小店自卖,'6925558995752288021,'6925558995752288021,'SS76307374298775560200175,2026-04-13 08:33:07,'3812757674873978944,2026抓夹高级感珠珠水钻发夹女夏天简约随手盘发一字扭扭夹盘发,,,普通订单,2.45,0,0,0,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,0,0,是-商品卡免佣,0.07,义乌市天籁电子商务商行（个体工商户）,订单结算
