动账时间,动帐流水号,动账方向,动账金额,动账账户,动账场景,计费类型,子订单号,订单号,售后编号,下单时间,商品ID,商品名称,达人ID,达人名称,订单类型,订单实付应结,运费实付,实际平台补贴_运费,实际平台补贴,其他平台补贴,以旧换新抵扣,政府补贴平台垫资,实际达人补贴,实际抖音支付补贴,实际抖音月付营销补贴,银行补贴,订单退款,平台服务费,佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,是否免佣,免佣金额,商户主体名称,备注
2026-04-23 01:18:45,'2026042301183830078902309544,入账,4.46,聚合账户,货款结算入账,小店自卖,'6925642098224365353,'6925642098224365353,'SS76306752304782876310237,2026-04-16 21:53:49,'3808872346484342850,简约气质豹纹小马香蕉夹女高马尾发夹大号防滑后脑勺竖夹抓夹发卡,,,普通订单,4.49,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市增绩电子商务商行,订单结算
2026-04-23 01:18:45,'2026042301183919683576679544,入账,3.06,聚合账户,货款结算入账,小店自卖,'6952148151181317647,'6952148151181317647,'SS76307531878555653500162,2026-04-17 19:30:44,'3768214025809297440,2025新款水钻波浪发箍女款压发发夹碎发整理神器头箍碎发压发头箍,,,普通订单,3.08,0.3,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市增绩电子商务商行,订单结算
2026-04-23 01:18:45,'2026042301183936435932529544,入账,3.52,聚合账户,货款结算入账,小店自卖,'6925588364168035944,'6925588364168035944,'SS76307562407881119230119,2026-04-15 08:51:51,'3770851519977619641,趣味搞笑发卡会发光的电灯泡发夹女搞怪仿真可爱刘搞怪发光鸭嘴夹,,,普通订单,3.54,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市增绩电子商务商行,订单结算
2026-04-23 01:18:45,'2026042301183810405814169544,入账,5.64,聚合账户,货款结算入账,小店自卖,'6952125690615698550,'6952125690615698550,'SS76306684390325621910165,2026-04-17 12:57:17,'3758612955000865081,后脑碎发发梳神器成人发卡刘海发梳儿童乱发整理儿童不伤发发卡,,,普通订单,5.67,0.8,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市增绩电子商务商行,订单结算
2026-04-23 01:18:45,'2026042301183923321812549544,入账,2.54,聚合账户,货款结算入账,小店自卖,'6925630314773249565,'6925630314773249565,'SS76306451640962954740247,2026-04-16 08:57:20,'3701265153577320511,隐形发箍男女不勒头运动头饰发带发卡波浪发捆敷面膜洗脸手工波浪,,,普通订单,2.56,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市增绩电子商务商行,订单结算
2026-04-23 01:18:45,'2026042301183816400555949544,入账,3.96,聚合账户,货款结算入账,小店自卖,'6925670934472982461,'6925670934472982461,'SS76306652694885993340142,2026-04-18 08:45:32,'3805903336675344782,2026新款可爱小狗扭扭夹香蕉夹竖夹发夹脑勺高马尾抓夹高级感百搭,,,普通订单,3.98,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市增绩电子商务商行,订单结算
2026-04-23 01:18:45,'2026042301183709692001749544,入账,7.41,聚合账户,货款结算入账,小店自卖,'6952066664705300444,'6952066664705300444,'SS76307580616695485540094,2026-04-15 10:33:47,'3762312352024887336,网红女儿童发夹整理神器发卡发箍头饰2025夏天新发饰时尚时尚网纱,,,普通订单,7.45,0,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,义乌市增绩电子商务商行,订单结算
2026-04-23 01:18:45,'2026042301183837756275359544,入账,3.41,聚合账户,货款结算入账,小店自卖,'6952149167908853569,'6952149167908853569,'SS76308141323795665920170,2026-04-18 11:23:59,'3766027589014126967,在逃公主头饰缎面大蝴蝶结抓夹鲨鱼夹韩国抓夹i在逃公主发型抓夹,,,普通订单,3.43,0.4,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市增绩电子商务商行,订单结算
2026-04-23 01:28:45,'2026042301283803863514239544,入账,0.01,聚合账户,货款结算入账,巨量千川,'6951807649516820181,'6951807649516820181,'SS76269854284321590390218,2026-04-04 05:42:06,'3810334282451386468,在逃公主头饰~缎面大蝴蝶结发抓鲨鱼夹韩国抓夹ins发饰夹子氛围感,,,普通订单,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,是-商品卡免佣,0,义乌市增绩电子商务商行,订单结算
2026-04-23 01:28:45,'2026042301283720728550599544,入账,3.7,聚合账户,货款结算入账,小店自卖,'6952023636787075001,'6952023636787075001,'SS76307445376371144030006,2026-04-13 11:23:05,'3809604213181382701,新款高颜值橡皮筋高级发圈简约可爱头绳不勒发绳无扎痕头饰发饰品,,,普通订单,3.72,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市增绩电子商务商行,订单结算
2026-04-23 01:28:45,'2026042301283909486177439544,入账,3.96,聚合账户,货款结算入账,小店自卖,'6925550312314732306,'6925550312314732306,'SS76307369387859648060038,2026-04-13 10:47:45,'3805903336675344782,2026新款可爱小狗扭扭夹香蕉夹竖夹发夹脑勺高马尾抓夹高级感百搭,,,普通订单,3.98,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市增绩电子商务商行,订单结算
2026-04-23 01:28:45,'2026042301283710259996319544,入账,2.43,聚合账户,货款结算入账,小店自卖,'6925552973613858742,'6925552973613858742,'SS76307501372706163660224,2026-04-13 10:34:51,'3701265153577320511,隐形发箍男女不勒头运动头饰发带发卡波浪发捆敷面膜洗脸手工波浪,,,普通订单,2.56,0,0,0,0,0,0,0,0,0,0,0,-0.13,0,0,0,0,0,0,,0,义乌市增绩电子商务商行,订单结算
2026-04-23 01:35:25,'2026042301352013847639199544,入账,3.96,聚合账户,货款结算入账,小店自卖,'6925567206104923758,'6925567206104923758,'SS76306793558621394270205,2026-04-13 11:18:18,'3772160127793234144,束发带男洗脸敷面膜专用头箍化妆头套头巾秋冬发防滑洗脸面膜发箍,,,普通订单,3.98,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市增绩电子商务商行,订单结算
2026-04-23 01:35:25,'2026042301351841635848029544,入账,3.96,聚合账户,货款结算入账,小店自卖,'6952090681584522764,'6952090681584522764,'SS76307284703012948670022,2026-04-15 00:49:42,'3805903336675344782,2026新款可爱小狗扭扭夹香蕉夹竖夹发夹脑勺高马尾抓夹高级感百搭,,,普通订单,3.98,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市增绩电子商务商行,订单结算
2026-04-23 01:35:25,'2026042301351931302620509544,入账,2.82,聚合账户,货款结算入账,小店自卖,'6952136884977865919,'6952136884977865919,'SS76308489049395737790211,2026-04-17 16:44:53,'3700661730007974043,韩式气质咖色发圈磨砂小香风头绳大肠圈复古超弹复古奶咖色发圈,,,普通订单,2.84,0.4,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市增绩电子商务商行,订单结算
2026-04-23 01:35:25,'2026042301352020384489319544,入账,2.54,聚合账户,货款结算入账,小店自卖,'6925557077158362383,'6925557077158362383,'SS76307501462265083220212,2026-04-13 11:10:57,'3701265153577320511,隐形发箍男女不勒头运动头饰发带发卡波浪发捆敷面膜洗脸手工波浪,,,普通订单,2.56,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市增绩电子商务商行,订单结算
2026-04-23 03:12:01,'2026042303115510499853209544,入账,3.96,聚合账户,货款结算入账,小店自卖,'6925195503020310502,'6925195503020310502,'SS76307052476310003350181,2026-03-28 19:02:57,'3791068888817598600,明星同款网红高颅顶金属发扣刘海小夹子夹头发夹侧边发卡非钻头饰,,,普通订单,3.98,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市增绩电子商务商行,订单结算
2026-04-23 03:12:01,'2026042303115514181993369544,入账,2.54,聚合账户,货款结算入账,小店自卖,'6952090603642754637,'6952090603642754637,'SS76306852196756201110108,2026-04-14 23:32:55,'3805903336675344782,2026新款可爱小狗扭扭夹香蕉夹竖夹发夹脑勺高马尾抓夹高级感百搭,,,普通订单,2.56,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市增绩电子商务商行,订单结算
2026-04-23 03:12:01,'2026042303115619042476049544,入账,8.99,聚合账户,货款结算入账,小店自卖,'6952189719122482605,'6952189719122482605,'SS76307768521949558140207,2026-04-18 19:21:25,'3692771948191940864,韩版发夹女发卡顶夹成人梳子头饰简约碎发刘海梳女童碎发整理发梳,,,普通订单,9.04,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0,0,0,0,0,是-商品卡免佣,0.37,义乌市增绩电子商务商行,订单结算
2026-04-23 03:12:01,'2026042303115702098956959544,入账,5.1,聚合账户,货款结算入账,小店自卖,'6925562647548362183,'6925562647548362183,'SS76307445409533796110170,2026-04-13 10:02:48,'3809584134335103077,韩系高颜值彩色豆豆发圈高弹力扎头发绳马尾头饰新款百搭少女加宽,,,普通订单,5.13,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市增绩电子商务商行,订单结算
2026-04-23 03:12:01,'2026042303115610490683039544,入账,2.23,聚合账户,货款结算入账,小店自卖,'6952145277817394859,'6952145277817394859,'SS76308306862906247950131,2026-04-17 12:45:11,'3766567661740359767,发箍女2025爆款洗脸专用碎发卡子压发夹带齿防滑头箍洗脸压发头箍,,,普通订单,0.41,0.4,0,1.94,0,0,0,0,0,0,0,0,-0.12,0,0,0,0,0,0,,0,义乌市增绩电子商务商行,订单结算
