动账时间,动帐流水号,动账方向,动账金额,动账账户,动账场景,计费类型,子订单号,订单号,售后编号,下单时间,商品ID,商品名称,达人ID,达人名称,订单类型,订单实付应结,运费实付,实际平台补贴_运费,实际平台补贴,其他平台补贴,以旧换新抵扣,政府补贴平台垫资,实际达人补贴,实际抖音支付补贴,实际抖音月付营销补贴,银行补贴,订单退款,平台服务费,佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,是否免佣,免佣金额,商户主体名称,备注
2026-04-23 01:07:41,'2026042301073636537964044242,入账,3.7,聚合账户,货款结算入账,巨量千川,'6952022675923080261,'6952022675923080261,'SS76306666063014671360234,2026-04-12 20:06:22,'3807220077028311460,【超显气质】简约不硌头扭扭夹发夹女2026新款盘发抓夹高级感水钻珠珠一字夹子,,,普通订单,3.89,0,0,0,0,0,0,0,0,0,0,0,-0.19,0,0,0,0,0,0,,0,义乌市蓓行电子商务商行（个体工商户）,订单结算
2026-04-23 01:07:41,'2026042301073735289833314242,入账,5.6,聚合账户,货款结算入账,巨量千川,'6925681338405519075,'6925681338405519075,'SS76307711874337551760207,2026-04-18 06:07:20,'3807220077028311460,新中式发饰高级感扭扭夹随手盘发一字夹水钻抓夹后脑勺发夹盘发器,,,普通订单,5.89,0,0,0,0,0,0,0,0,0,0,0,-0.29,0,0,0,0,0,0,,0,义乌市蓓行电子商务商行（个体工商户）,订单结算
2026-04-23 01:07:41,'2026042301073711764703224242,入账,3.54,聚合账户,货款结算入账,小店自卖,'6952021069481841906,'6952021069481841906,'SS76306666988863987580136,2026-04-12 21:57:32,'3801832059815723099,懒人公主头编发夹女前额双层侧边夹子刘海碎发编发发夹鸭嘴夹发卡,,,普通订单,3.56,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市蓓行电子商务商行（个体工商户）,订单结算
2026-04-23 01:07:41,'2026042301073626649239194242,入账,4.65,聚合账户,货款结算入账,小店自卖,'6925549291092934325,'6925549291092934325,'SS76306667035591647240173,2026-04-12 21:59:47,'3799803177344303392,简约复古超弹高级感头绳韩国东大门咖色磨砂小香风头绳大肠圈日常,,,普通订单,4.68,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市蓓行电子商务商行（个体工商户）,订单结算
2026-04-23 01:07:41,'2026042301073714778370564242,入账,8.08,聚合账户,货款结算入账,小店自卖,'6925565130777066561,'6925565130777066561,'SS76307247925975293710220,2026-04-13 13:05:47,'3805708033615593705,咖色磨砂抓夹大号发夹女2026年新款后脑勺发量多鲨鱼夹子发卡头饰,,,普通订单,8.13,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0,0,0,0,0,是-商品卡免佣,0.37,义乌市蓓行电子商务商行（个体工商户）,订单结算
2026-04-23 01:07:41,'2026042301073628402163554242,入账,3.68,聚合账户,货款结算入账,精选联盟,'6952071215975503226,'6952071215975503226,'SS76307157016485568260176,2026-04-15 11:29:11,'3807220077028311460,夏天高级感随手盘发一字扭扭夹水钻抓夹高级发夹扭扭后脑勺盘发器,'0,,普通订单,3.89,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,-0.19,0,是-商品卡免佣,0.15,义乌市蓓行电子商务商行（个体工商户）,订单结算
2026-04-23 01:07:41,'2026042301073714094830434242,入账,8.49,聚合账户,货款结算入账,小店自卖,'6952034337336792882,'6952034337336792882,'SS76307409216293276670194,2026-04-13 07:45:38,'3809451943731003427,趣味M豆ins可爱新款彩虹扎发绳高弹力发圈头绳2026新款耐用橡皮筋,,,普通订单,8.54,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0,0,0,0,0,是-商品卡免佣,0.37,义乌市蓓行电子商务商行（个体工商户）,订单结算
2026-04-23 01:07:41,'2026042301073620048983384242,入账,3.7,聚合账户,货款结算入账,巨量千川,'6925560787946077212,'6925560787946077212,'SS76307407658319552500123,2026-04-13 01:34:48,'3807220077028311460,【超显气质】简约不硌头扭扭夹发夹女2026新款盘发抓夹高级感水钻珠珠一字夹子,,,普通订单,3.89,0,0,0,0,0,0,0,0,0,0,0,-0.19,0,0,0,0,0,0,,0,义乌市蓓行电子商务商行（个体工商户）,订单结算
2026-04-23 01:07:41,'2026042301073514316341854242,入账,5.15,聚合账户,货款结算入账,小店自卖,'6952012341329794252,'6952012341329794252,'SS76306669002043233430126,2026-04-12 22:58:49,'3801832059815723099,懒人公主头编发夹女前额双层侧边夹子刘海碎发编发发夹鸭嘴夹发卡,,,普通订单,5.18,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市蓓行电子商务商行（个体工商户）,订单结算
2026-04-23 01:07:41,'2026042301073718124152474242,入账,9.82,聚合账户,货款结算入账,小店自卖,'6925557274412154677,'6925557274412154677,'SS76307014853451123600052,2026-04-13 12:23:35,'3798263450837320143,儿童是兔子警官可爱兔子帽子发夹边夹侧边发卡女卡通甜美拍照道具,,,普通订单,9.88,0,0,0,0,0,0,0,0,0,0,0,-0.06,0,0,0,0,0,0,是-商品卡免佣,0.44,义乌市蓓行电子商务商行（个体工商户）,订单结算
