动账时间,动帐流水号,动账方向,动账金额,动账账户,动账场景,计费类型,子订单号,订单号,售后编号,下单时间,商品ID,商品名称,达人ID,达人名称,订单类型,订单实付应结,运费实付,实际平台补贴_运费,实际平台补贴,其他平台补贴,以旧换新抵扣,政府补贴平台垫资,实际达人补贴,实际抖音支付补贴,实际抖音月付营销补贴,银行补贴,订单退款,平台服务费,佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,是否免佣,免佣金额,商户主体名称,备注
2026-04-24 01:22:36,'2026042401222921784704402649,入账,10.41,聚合账户,货款结算入账,小店自卖,'6952038364404848075,'6952038364404848075,'SS76311086854314892890092,2026-04-14 08:21:49,'3798449983397691746,秋冬花朵鸭嘴夹女2026新款后脑勺盘发一字夹子夹头发大号发夹头饰,,,普通订单,10.47,0,0,0,0,0,0,0,0,0,0,0,-0.06,0,0,0,0,0,0,是-商品卡免佣,0.44,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-24 01:22:36,'2026042401222917495171022649,入账,4.52,聚合账户,货款结算入账,小店自卖,'6925565627911405008,'6925565627911405008,'SS76310173381441948620111,2026-04-13 16:58:57,'3800893134901215424,2026新款发夹女款网红爆款牡丹花高级百搭流苏发夹高颅顶鲨鱼抓夹,,,普通订单,4.76,0,0,0,0,0,0,0,0,0,0,0,-0.24,0,0,0,0,0,0,,0,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-24 01:22:36,'2026042401222527276910082649,入账,4.12,聚合账户,货款结算入账,小店自卖,'6952059900408698124,'6952059900408698124,'SS76311391627875617280001,2026-04-13 20:14:29,'3807943134646763828,可爱小猫无痕刘海贴2026款魔术贴发饰少女前额侧边碎发贴整理神器,,,普通订单,4.14,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-24 01:22:36,'2026042401222928690683392649,入账,3.17,聚合账户,货款结算入账,小店自卖,'6951887883527001290,'6951887883527001290,'SS76285353097013988350155,2026-04-07 14:43:03,'3807943134646763828,可爱小猫无痕刘海贴2026款魔术贴发饰少女前额侧边碎发贴整理神器,,,普通订单,3.19,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-24 01:22:36,'2026042401222707724610912649,入账,10.22,聚合账户,货款结算入账,小店自卖,'6952035614690842092,'6952035614690842092,'SS76311410309599401050153,2026-04-13 21:18:20,'3807943134646763828,可爱小猫无痕刘海贴2026款魔术贴发饰少女前额侧边碎发贴整理神器,,,普通订单,10.28,0,0,0,0,0,0,0,0,0,0,0,-0.06,0,0,0,0,0,0,是-商品卡免佣,0.44,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-24 01:22:36,'2026042401222803327145422649,入账,5.71,聚合账户,货款结算入账,小店自卖,'6952067066273339007,'6952067066273339007,'SS76310280375383332240010,2026-04-14 02:06:21,'3810170588421554497,高级感水钻纱边缎面肥肠圈2026新款气质扎发头绳大号流光纱发圈,,,普通订单,5.74,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-24 01:22:36,'2026042401222938923635292649,入账,5.11,聚合账户,货款结算入账,小店自卖,'6925410171435908583,'6925410171435908583,'SS76285352324882437630181,2026-04-07 12:04:03,'3807943134646763828,可爱小猫无痕刘海贴2026款魔术贴发饰少女前额侧边碎发贴整理神器,,,普通订单,5.14,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-24 01:22:36,'2026042401222700385520792649,入账,2.95,聚合账户,货款结算入账,小店自卖,'6952130910204531853,'6952130910204531853,'SS76312367948597174180064,2026-04-16 16:44:20,'3794399590875267399,甜美新款简约可爱头绳橡皮筋高弹力发绳发圈马尾无扎痕头饰发饰,,,普通订单,2.97,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-24 01:22:36,'2026042401222925337536502649,入账,5.11,聚合账户,货款结算入账,小店自卖,'6951849168620623420,'6951849168620623420,'SS76284428810574075230080,2026-04-06 17:33:07,'3807943134646763828,可爱小猫无痕刘海贴2026款魔术贴发饰少女前额侧边碎发贴整理神器,,,普通订单,5.14,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-24 01:22:36,'2026042401222804374863452649,入账,3.17,聚合账户,货款结算入账,小店自卖,'6925391294294032062,'6925391294294032062,'SS76284436696759503760113,2026-04-06 13:24:57,'3807943134646763828,可爱小猫无痕刘海贴2026款魔术贴发饰少女前额侧边碎发贴整理神器,,,普通订单,3.19,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市诗柚电子商务商行（个体工商户）,订单结算
