动账时间,动帐流水号,动账方向,动账金额,动账账户,动账场景,计费类型,子订单号,订单号,售后编号,下单时间,商品ID,商品名称,达人ID,达人名称,订单类型,订单实付应结,运费实付,实际平台补贴_运费,实际平台补贴,其他平台补贴,以旧换新抵扣,政府补贴平台垫资,实际达人补贴,实际抖音支付补贴,实际抖音月付营销补贴,银行补贴,订单退款,平台服务费,佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,是否免佣,免佣金额,商户主体名称,备注
2026-04-24 01:05:47,'2026042401054036212127247155,入账,3.59,聚合账户,货款结算入账,巨量千川,'6925623239839874739,'6925623239839874739,'SS76311201357636572160055,2026-04-15 23:22:27,'3808132001588969935,赫本风发夹路易斯蝴蝶结抓夹女盘发高级感鲨鱼夹后脑勺显发量头饰,,,普通订单,3.78,0,0,0,0,0,0,0,0,0,0,0,-0.19,0,0,0,0,0,0,否,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-24 01:05:47,'2026042401054229497925507155,入账,3.57,聚合账户,货款结算入账,小店自卖,'6952059833338959323,'6952059833338959323,'SS76310281523153024340170,2026-04-13 19:05:24,'3808318474044965225,中国风孔雀盘发器女生古典旗袍发饰丸子懒人高级感饰品优雅发夹,,,普通订单,3.76,0,0,0,0,0,0,0,0,0,0,0,-0.19,0,0,0,0,0,0,否,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-24 01:05:47,'2026042401054127192363677155,入账,2.62,聚合账户,货款结算入账,小店自卖,'6925595710606966533,'6925595710606966533,'SS76311379270068638990163,2026-04-14 12:53:41,'3808318474044965225,中国风孔雀盘发器女生古典旗袍发饰丸子懒人高级感饰品优雅发夹,,,普通订单,2.76,0,0,0,0,0,0,0,0,0,0,0,-0.14,0,0,0,0,0,0,否,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-24 01:05:47,'2026042401054317367045627155,入账,8.44,聚合账户,货款结算入账,小店自卖,'6952039960781264048,'6952039960781264048,'SS76310281650082122390115,2026-04-13 19:58:44,'3808318474044965225,中国风孔雀盘发器女生古典旗袍发饰丸子懒人高级感饰品优雅发夹,,,普通订单,8.88,0,0,0,0,0,0,0,0,0,0,0,-0.44,0,0,0,0,0,0,否,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-24 01:05:47,'2026042401054108523453967155,入账,11.74,聚合账户,货款结算入账,小店自卖,'6925595650529393862,'6925595650529393862,'SS76310689096554422020182,2026-04-14 12:12:43,'3808318474044965225,中国风孔雀盘发器女生古典旗袍发饰丸子懒人高级感饰品优雅发夹,,,普通订单,12.36,0,0,0,0,0,0,0,0,0,0,0,-0.62,0,0,0,0,0,0,否,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-24 01:05:48,'2026042401054309633144827155,入账,8.44,聚合账户,货款结算入账,小店自卖,'6952051856191854129,'6952051856191854129,'SS76310281119922424830182,2026-04-14 08:37:21,'3808318474044965225,中国风孔雀盘发器女生古典旗袍发饰丸子懒人高级感饰品优雅发夹,,,普通订单,8.88,0,0,0,0,0,0,0,0,0,0,0,-0.44,0,0,0,0,0,0,,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-24 01:05:48,'2026042401054407089364587155,入账,5.87,聚合账户,货款结算入账,小店自卖,'6952060725403063556,'6952060725403063556,'SS76310658821997368780151,2026-04-14 08:55:56,'3808318474044965225,中国风孔雀盘发器女生古典旗袍发饰丸子懒人高级感饰品优雅发夹,,,普通订单,6.18,0,0,0,0,0,0,0,0,0,0,0,-0.31,0,0,0,0,0,0,否,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-24 01:36:42,'2026042401363515528965217155,入账,5.87,聚合账户,货款结算入账,小店自卖,'6952051110355998097,'6952051110355998097,'SS76310281606788920590221,2026-04-13 19:36:29,'3808318474044965225,中国风孔雀盘发器女生古典旗袍发饰丸子懒人高级感饰品优雅发夹,,,普通订单,6.18,0,0,0,0,0,0,0,0,0,0,0,-0.31,0,0,0,0,0,0,否,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-24 01:36:42,'2026042401363530248310267155,入账,3.57,聚合账户,货款结算入账,小店自卖,'6952206075743245937,'6952206075743245937,'SS76311498398932505790173,2026-04-19 14:06:37,'3808318474044965225,中国风孔雀盘发器女生古典旗袍发饰丸子懒人高级感饰品优雅发夹,,,普通订单,3.76,0,0,0,0,0,0,0,0,0,0,0,-0.19,0,0,0,0,0,0,否,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
2026-04-24 01:36:42,'2026042401363608222154747155,入账,3.16,聚合账户,货款结算入账,小店自卖,'6952213405396833755,'6952213405396833755,'SS76311265311834775380006,2026-04-19 19:59:04,'3807195600034856977,紫色玫瑰花木簪夏季发簪网纱花朵发钗古风簪花头饰气质国风发饰女,,,普通订单,3.33,0,0,0,0,0,0,0,0,0,0,0,-0.17,0,0,0,0,0,0,否,0,义乌市玫阳电子商务商行（个体工商户）,订单结算
