动账时间,动帐流水号,动账方向,动账金额,动账账户,动账场景,计费类型,子订单号,订单号,售后编号,下单时间,商品ID,商品名称,达人ID,达人名称,订单类型,订单实付应结,运费实付,实际平台补贴_运费,实际平台补贴,其他平台补贴,以旧换新抵扣,政府补贴平台垫资,实际达人补贴,实际抖音支付补贴,实际抖音月付营销补贴,银行补贴,订单退款,平台服务费,佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,是否免佣,免佣金额,商户主体名称,备注
2026-04-24 00:00:01,'2026042323594900718937759544,出账,1,聚合账户,小额打款,,'6925735178797612394,'6925735178797612394,,,,,,,普通订单,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,义乌市增绩电子商务商行,商家向消费者小额打款-“补差价”
2026-04-24 01:16:39,'2026042401163134737731109544,入账,3.64,聚合账户,货款结算入账,小店自卖,'6925669862518325217,'6925669862518325217,'SS76310633878165754880093,2026-04-17 19:07:36,'3700159530219470943,猫耳朵毛绒发箍年网红新款女洗脸发卡头饰可爱面膜头可爱毛绒洗脸,,,普通订单,3.66,0.3,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市增绩电子商务商行,订单结算
2026-04-24 01:16:40,'2026042401163417372288549544,入账,5.19,聚合账户,货款结算入账,小店自卖,'6925576110550056448,'6925576110550056448,'SS76310703659096356360120,2026-04-14 09:04:09,'3692771948191940864,韩版发夹女发卡顶夹成人梳子头饰简约碎发刘海梳女童碎发整理发梳,,,普通订单,5.22,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市增绩电子商务商行,订单结算
2026-04-24 01:16:40,'2026042401163210414492549544,入账,2.54,聚合账户,货款结算入账,小店自卖,'6952156654719473581,'6952156654719473581,'SS76311334415680312840154,2026-04-17 12:32:49,'3805903336675344782,2026新款可爱小狗扭扭夹香蕉夹竖夹发夹脑勺高马尾抓夹高级感百搭,,,普通订单,2.56,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市增绩电子商务商行,订单结算
2026-04-24 01:16:40,'2026042401163517699971199544,入账,2.24,聚合账户,货款结算入账,小店自卖,'6925576112239967974,'6925576112239967974,'SS76310703707449103710191,2026-04-14 09:11:39,'3692771948191940864,韩版发夹女发卡顶夹成人梳子头饰简约碎发刘海梳女童碎发整理发梳,,,普通订单,0.25,0,0,0,0,0,0,0,0,2,0,0,-0.01,0,0,0,0,0,0,是-商品卡免佣,0.07,义乌市增绩电子商务商行,订单结算
2026-04-24 01:16:40,'2026042401163115234342829544,入账,3.11,聚合账户,货款结算入账,小店自卖,'6925634595080928839,'6925634595080928839,'SS76309825557314275940108,2026-04-16 12:41:14,'3696309583812362298,新款蝴蝶结丸子头小抓夹固定神器发卡发饰女生高女童碎发整理发梳,,,普通订单,3.13,0.8,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市增绩电子商务商行,订单结算
2026-04-24 01:16:40,'2026042401163327064939529544,入账,8.99,聚合账户,货款结算入账,小店自卖,'6951671269386819496,'6951671269386819496,'SS76310381359164464740215,2026-03-29 20:08:48,'3692771948191940864,韩版发夹女发卡顶夹成人梳子头饰简约碎发刘海梳女童碎发整理发梳,,,普通订单,9.04,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0,0,0,0,0,是-商品卡免佣,0.37,义乌市增绩电子商务商行,订单结算
2026-04-24 01:16:40,'2026042401163231039496099544,入账,2.54,聚合账户,货款结算入账,小店自卖,'6925667636980973171,'6925667636980973171,'SS76312058809899750500135,2026-04-17 22:27:46,'3805903336675344782,2026新款可爱小狗扭扭夹香蕉夹竖夹发夹脑勺高马尾抓夹高级感百搭,,,普通订单,2.56,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市增绩电子商务商行,订单结算
2026-04-24 01:16:40,'2026042401163031485632349544,入账,5.82,聚合账户,货款结算入账,小店自卖,'6952153011753064381,'6952153011753064381,'SS76309714365437222910144,2026-04-17 20:25:27,'3699005985940176974,夏天女童跳舞固定器发网儿童舞蹈发网盘发网兜丸子懒人盘发头饰,,,普通订单,5.86,0,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,义乌市增绩电子商务商行,订单结算
2026-04-24 01:16:40,'2026042401163216152663679544,入账,3.74,聚合账户,货款结算入账,小店自卖,'6925198765336330148,'6925198765336330148,'SS76310366331026191360105,2026-03-29 11:43:19,'3806845568706281550,银色金属小钢圈发扣发夹明星同款高级感洋气甜酷风刘海发夹扣发饰,,,普通订单,3.76,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市增绩电子商务商行,订单结算
