动账时间,动帐流水号,动账方向,动账金额,动账账户,动账场景,计费类型,子订单号,订单号,售后编号,下单时间,商品ID,商品名称,达人ID,达人名称,订单类型,订单实付应结,运费实付,实际平台补贴_运费,实际平台补贴,其他平台补贴,以旧换新抵扣,政府补贴平台垫资,实际达人补贴,实际抖音支付补贴,实际抖音月付营销补贴,银行补贴,订单退款,平台服务费,佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,是否免佣,免佣金额,商户主体名称,备注
2026-04-24 01:22:01,'2026042401215117419474348792,入账,0.56,聚合账户,货款结算入账,小店自卖,'6952060972851861282,'6952060972851861282,'SS76310658699465201050236,2026-04-14 11:43:14,'3795714795936809351,疯狂动物城卡通甜美少女刘海侧边夹可爱爪爪冰棍发夹粉色猫爪发夹,,,普通订单,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,是-商品卡免佣,0,义乌市增绩电子商务商行,订单结算
2026-04-24 01:22:01,'2026042401215503902180388792,入账,5.46,聚合账户,货款结算入账,小店自卖,'6925647708474605240,'6925647708474605240,'SS76309950871046108160025,2026-04-16 13:59:21,'3783267643474182258,2025新款甜美kitty刘海魔术贴可爱棉花糖猫碎发贴魔术贴无痕发饰,,,普通订单,5.49,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市增绩电子商务商行,订单结算
2026-04-24 01:22:01,'2026042401215211247787958792,入账,3.87,聚合账户,货款结算入账,小店自卖,'6925585073120050407,'6925585073120050407,'SS76310686137088745370190,2026-04-14 09:14:26,'3808656790674080123,可爱卡通苹果无痕魔术贴甜美少女心发帖侧边碎发刘海贴卡通发饰女,,,普通订单,3.89,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市增绩电子商务商行,订单结算
2026-04-24 01:22:01,'2026042401215209573829558792,入账,0.56,聚合账户,货款结算入账,小店自卖,'6925573981018553879,'6925573981018553879,'SS76311034813693304830190,2026-04-14 01:46:07,'3795714795936809351,疯狂动物城卡通甜美少女刘海侧边夹可爱爪爪冰棍发夹粉色猫爪发夹,,,普通订单,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,是-商品卡免佣,0,义乌市增绩电子商务商行,订单结算
2026-04-24 01:22:01,'2026042401215502433026998792,入账,7.62,聚合账户,货款结算入账,小店自卖,'6925573650759580794,'6925573650759580794,'SS76310279856738186580232,2026-04-13 22:27:52,'3706795469406601354,可爱少女皮筋头绳蝴蝶不伤发水晶高档双头皮筋长绳兔子扎头发发圈,,,普通订单,7.67,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0,0,0,0,0,是-商品卡免佣,0.37,义乌市增绩电子商务商行,订单结算
2026-04-24 01:22:01,'2026042401215318342059678792,入账,0.56,聚合账户,货款结算入账,小店自卖,'6952067378524001453,'6952067378524001453,'SS76311036089577354640140,2026-04-14 09:27:53,'3795714795936809351,疯狂动物城卡通甜美少女刘海侧边夹可爱爪爪冰棍发夹粉色猫爪发夹,,,普通订单,0.06,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,是-商品卡免佣,0,义乌市增绩电子商务商行,订单结算
2026-04-24 01:22:01,'2026042401215339647974828792,入账,0.53,聚合账户,货款结算入账,小店自卖,'6952059769451648435,'6952059769451648435,'SS76310278087411185000038,2026-04-13 18:20:10,'3795714795936809351,疯狂动物城卡通甜美少女刘海侧边夹可爱爪爪冰棍发夹粉色猫爪发夹,,,普通订单,0.56,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,,0,义乌市增绩电子商务商行,订单结算
2026-04-24 01:22:01,'2026042401215325543647268792,入账,3.63,聚合账户,货款结算入账,小店自卖,'6925568253143383795,'6925568253143383795,'SS76310278162977262580036,2026-04-13 19:40:40,'3782120992407683272,2026秋冬新款蝴蝶结发夹女网纱鲨鱼夹发抓后脑勺飘带抓夹发饰夹子,,,普通订单,3.65,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市增绩电子商务商行,订单结算
2026-04-24 01:22:01,'2026042401215610276380568792,入账,2.59,聚合账户,货款结算入账,小店自卖,'6952051551224403802,'6952051551224403802,'SS76310278916870638620226,2026-04-13 22:54:12,'3780821082009895039,秋冬款韩系防滑带齿豹纹发箍毛绒发箍洗脸化妆发卡头箍束发带发饰,,,普通订单,2.61,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市增绩电子商务商行,订单结算
2026-04-24 01:22:01,'2026042401215330995914308792,入账,3.79,聚合账户,货款结算入账,小店自卖,'6925564698707065910,'6925564698707065910,'SS76310281150655534460053,2026-04-14 07:34:28,'3657830144011281947,大版蝴蝶抓夹黑色法式女后脑勺高头饰遮阳鲨鱼夹抓夹绸缎时尚发饰,,,普通订单,3.81,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市增绩电子商务商行,订单结算
2026-04-24 01:22:01,'2026042401215129286446608792,入账,0.53,聚合账户,货款结算入账,小店自卖,'6952055634434528508,'6952055634434528508,'SS76311035143909706700017,2026-04-13 21:51:00,'3795714795936809351,疯狂动物城卡通甜美少女刘海侧边夹可爱爪爪冰棍发夹粉色猫爪发夹,,,普通订单,0.06,0,0,0,0,0,0,0,0.5,0,0,0,-0.03,0,0,0,0,0,0,,0,义乌市增绩电子商务商行,订单结算
2026-04-24 01:43:22,'2026042401431516748221798792,入账,5.58,聚合账户,货款结算入账,小店自卖,'6952182264564028577,'6952182264564028577,'SS76312090290874659990155,2026-04-19 14:59:50,'3808656623312961729,韩版水钻发夹女侧边刘海碎发bb夹子头饰网红2026年新款高端一字夹,,,普通订单,5.61,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市增绩电子商务商行,订单结算
2026-04-24 01:43:22,'2026042401431418721349278792,入账,7.62,聚合账户,货款结算入账,小店自卖,'6925670238445076435,'6925670238445076435,'SS76310990401342512830242,2026-04-17 22:03:21,'3706795469406601354,可爱少女皮筋头绳蝴蝶不伤发水晶高档双头皮筋长绳兔子扎头发发圈,,,普通订单,7.67,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0,0,0,0,0,是-商品卡免佣,0.37,义乌市增绩电子商务商行,订单结算
2026-04-24 01:58:42,'2026042401583625781051518792,入账,7.03,聚合账户,货款结算入账,小店自卖,'6925573199066857233,'6925573199066857233,'SS76310277571404434420198,2026-04-13 20:04:53,'3779920667768651923,2026新款爆款原创设计可爱百搭发夹卡通后脑勺高级鲨鱼夹发饰女 ,,,普通订单,7.07,1,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,义乌市增绩电子商务商行,订单结算
2026-04-24 02:55:31,'2026042402552611791938948792,入账,2.81,聚合账户,货款结算入账,小店自卖,'6952050761283474932,'6952050761283474932,'SS76310279270789289380149,2026-04-13 16:11:44,'3706795469406601354,可爱少女皮筋头绳蝴蝶不伤发水晶高档双头皮筋长绳兔子扎头发发圈,,,普通订单,2.96,0,0,0,0,0,0,0,0,0,0,0,-0.15,0,0,0,0,0,0,,0,义乌市增绩电子商务商行,订单结算
