动账时间,动帐流水号,动账方向,动账金额,动账账户,动账场景,计费类型,子订单号,订单号,售后编号,下单时间,商品ID,商品名称,达人ID,达人名称,订单类型,订单实付应结,运费实付,实际平台补贴_运费,实际平台补贴,其他平台补贴,以旧换新抵扣,政府补贴平台垫资,实际达人补贴,实际抖音支付补贴,实际抖音月付营销补贴,银行补贴,订单退款,平台服务费,佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,是否免佣,免佣金额,商户主体名称,备注
2026-04-24 00:14:29,'2026042400141640800793868209,出账,2,聚合账户,评价有礼保证金扣款,,,,,,,,,,普通订单,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,义乌市衍郝电子商务商行,扣除货款充值评价有礼保证金，详情至【流量-营销工具-工具列表-评价有礼】查看
2026-04-24 01:46:19,'2026042401460935203484508209,入账,2.55,聚合账户,货款结算入账,小店自卖,'6925568471108255083,'6925568471108255083,'SS76310278128167490820113,2026-04-13 21:10:53,'3765042594023866584,国风新款中式水钻珠珠一字夹扭扭夹盘发抓夹发量高级感半扎发抓夹,,,普通订单,2.57,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市衍郝电子商务商行,订单结算
2026-04-24 01:46:19,'2026042401461214606180038209,入账,4.43,聚合账户,货款结算入账,小店自卖,'6952190863808926836,'6952190863808926836,'SS76311256726062536200053,2026-04-19 12:40:21,'3775147165928784129,巨蓬蓬香蕉夹新款褶皱夹子波点抓夹甜妹高级感发夹头饰皮筋发饰,,,普通订单,4.46,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市衍郝电子商务商行,订单结算
2026-04-24 01:46:19,'2026042401461214605360838209,入账,5.56,聚合账户,货款结算入账,小店自卖,'6952046272031233350,'6952046272031233350,'SS76310279348297118990215,2026-04-13 15:33:05,'3794944815574155500,满天星蝴蝶结网纱云朵后脑勺新款鲨鱼泡泡高级发饰夹子发夹头饰,,,普通订单,5.59,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市衍郝电子商务商行,订单结算
2026-04-24 03:21:52,'2026042403214638050860048209,入账,1.91,聚合账户,货款结算入账,小店自卖,'6925583965666049548,'6925583965666049548,'SS76310279268602355620019,2026-04-13 19:30:35,'3796432579301867534,法式新款郁金香丸子头发夹时尚优雅气质网纱云朵马尾抓夹发夹头饰,,,普通订单,1.92,0,0,0,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,0,0,是-商品卡免佣,0.07,义乌市衍郝电子商务商行,订单结算
2026-04-24 03:21:52,'2026042403214603319240088209,入账,3.38,聚合账户,货款结算入账,小店自卖,'6925578042302365382,'6925578042302365382,'SS76310279796159452680122,2026-04-14 00:41:55,'3794944815574155500,满天星蝴蝶结网纱云朵后脑勺新款鲨鱼泡泡高级发饰夹子发夹头饰,,,普通订单,3.4,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市衍郝电子商务商行,订单结算
2026-04-24 03:21:52,'2026042403214626643336108209,入账,5.56,聚合账户,货款结算入账,小店自卖,'6952054365534295901,'6952054365534295901,'SS76310688594114975230038,2026-04-14 10:28:54,'3794944815574155500,满天星蝴蝶结网纱云朵后脑勺新款鲨鱼泡泡高级发饰夹子发夹头饰,,,普通订单,5.59,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市衍郝电子商务商行,订单结算
2026-04-24 03:21:52,'2026042403214719306583388209,入账,6.03,聚合账户,货款结算入账,小店自卖,'6925571830813457662,'6925571830813457662,'SS76310281549506360410211,2026-04-14 06:39:59,'3800168524559810722,2026新款洋气爆款鲨鱼抓夹专用头发多巴胺可爱发夹头花抓夹香蕉,,,普通订单,6.07,0,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,义乌市衍郝电子商务商行,订单结算
2026-04-24 03:21:52,'2026042403214522073718168209,入账,9.92,聚合账户,货款结算入账,小店自卖,'6925575956705606695,'6925575956705606695,'SS76300422242477181820105,2026-04-14 07:30:40,'3761202302652907894,网红仙气薄纱玫瑰花透明电话线发圈头饰麻花辫纹理发饰马尾辫头绳,,,普通订单,11.98,0,0,0,0,0,0,0,0,0,0,-2,-0.06,0,0,0,0,0,0,是-商品卡免佣,0.44,义乌市衍郝电子商务商行,订单结算
2026-04-24 03:21:54,'2026042403214927264128638209,入账,4.8,聚合账户,货款结算入账,小店自卖,'6925564748797213720,'6925564748797213720,'SS76310280632412247400071,2026-04-14 08:03:28,'3761202302652907894,网红仙气薄纱玫瑰花透明电话线发圈头饰麻花辫纹理发饰马尾辫头绳,,,普通订单,4.83,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市衍郝电子商务商行,订单结算
