动账时间,动帐流水号,动账方向,动账金额,动账账户,动账场景,计费类型,子订单号,订单号,售后编号,下单时间,商品ID,商品名称,达人ID,达人名称,订单类型,订单实付应结,运费实付,实际平台补贴_运费,实际平台补贴,其他平台补贴,以旧换新抵扣,政府补贴平台垫资,实际达人补贴,实际抖音支付补贴,实际抖音月付营销补贴,银行补贴,订单退款,平台服务费,佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,是否免佣,免佣金额,商户主体名称,备注
2026-04-24 01:49:59,'2026042401495041525578768265,入账,5.8,聚合账户,货款结算入账,小店自卖,'6925570195183139975,'6925570195183074439,'SS76310281761908820670041,2026-04-13 14:55:38,'3809769107897844175,春日超仙韩系碎花蕾丝大肠发圈女甜美感丸子头甜妹风超大发饰头绳,,,普通订单,5.83,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市隔逐电子商务商行（个体工商户）,订单结算
2026-04-24 01:49:59,'2026042401494903326615108265,入账,5.59,聚合账户,货款结算入账,小店自卖,'6952172087483438247,'6952172087483438247,'SS76311247284345451980223,2026-04-18 22:14:40,'3809819945160802744,黑色网红蝴蝶结抓夹后脑勺高级感大号鲨鱼夹公主发夹法式发卡发饰,,,普通订单,5.62,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市隔逐电子商务商行（个体工商户）,订单结算
2026-04-24 03:50:00,'2026042403495541570803208265,入账,4.78,聚合账户,货款结算入账,巨量千川,'6925345419999870431,'6925345419999870431,'SS76311027085399166070240,2026-04-03 22:24:59,'3809035407224602661,高级手工编织结豹纹大肠发圈显发量马尾丸子头发绳韩国新款头绳,,,普通订单,4.81,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市隔逐电子商务商行（个体工商户）,订单结算
2026-04-24 03:50:00,'2026042403495634188172808265,入账,3.65,聚合账户,货款结算入账,小店自卖,'6925712233836150319,'6925712233836150319,'SS76311542734723978700172,2026-04-19 12:32:39,'3811462054972359032,超仙森系简约优雅百搭黑色波点泡泡纱黑天鹅抓夹碎发夹发饰韩版,,,普通订单,3.67,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市隔逐电子商务商行（个体工商户）,订单结算
2026-04-24 03:50:00,'2026042403495527736968318265,入账,2.34,聚合账户,货款结算入账,小店自卖,'6952088742740956931,'6952088742740956931,'SS76312176960645046280161,2026-04-15 00:03:37,'3811462054972359032,超仙森系简约优雅百搭黑色波点泡泡纱黑天鹅抓夹碎发夹发饰韩版,,,普通订单,0.35,0,0,2,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,0,0,是-商品卡免佣,0.07,义乌市隔逐电子商务商行（个体工商户）,订单结算
2026-04-24 04:02:48,'2026042404024131000868188265,入账,2.78,聚合账户,货款结算入账,小店自卖,'6925567660912377625,'6925567660912312089,'SS76310281767960950260238,2026-04-13 15:21:31,'3811827178925064592,韩系波点蝴蝶结香蕉夹后脑勺马尾抓夹竖夹女时尚感鲨鱼夹头饰发饰,,,普通订单,2.8,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市隔逐电子商务商行（个体工商户）,订单结算
2026-04-24 04:02:48,'2026042404023932896824328265,入账,3.3,聚合账户,货款结算入账,小店自卖,'6925576527397355336,'6925576527397158728,'SS76311401341968714670173,2026-04-14 12:36:37,'3812408341569864462,虞书欣同款发扣女2026新款金属编发夹时尚圆形触角边夹小发夹头饰,,,普通订单,3.32,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市隔逐电子商务商行（个体工商户）,订单结算
2026-04-24 04:02:48,'2026042404023919896076958265,入账,3.45,聚合账户,货款结算入账,小店自卖,'6925585638470614856,'6925585638470483784,'SS76311313073512330240098,2026-04-14 12:29:06,'3813341663758254211,韩国ins新款咖色百搭条纹大肠发圈甜美时尚扎丸子头头饰发饰复古,,,普通订单,3.47,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市隔逐电子商务商行（个体工商户）,订单结算
2026-04-24 04:02:48,'2026042404023940897579868265,入账,3.48,聚合账户,货款结算入账,小店自卖,'6925570195183336583,'6925570195183074439,'SS76310281769832494430153,2026-04-13 14:55:38,'3812411764600078504,优雅高级牡丹花流苏2026新款珠珠发夹后脑勺显发量鲨鱼头饰复古,,,普通订单,3.5,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市隔逐电子商务商行（个体工商户）,订单结算
2026-04-24 04:02:48,'2026042404023821150438468265,入账,4.96,聚合账户,货款结算入账,小店自卖,'6952183682542146596,'6952183682542146596,'SS76311390766447498740220,2026-04-19 09:43:14,'3811812232464040129,发量少高级感后脑勺2026新款夏日盘发女发夹中号头发鲨鱼夹子头饰,,,普通订单,4.99,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市隔逐电子商务商行（个体工商户）,订单结算
2026-04-24 04:02:48,'2026042404023916029783678265,入账,2.56,聚合账户,货款结算入账,小店自卖,'6952155657368311333,'6952155657368311333,'SS76311821922785695100066,2026-04-17 23:55:34,'3809241732982374425,可爱红色百搭小狗香蕉夹发夹女2026新款高马尾扭扭夹竖夹高级感,,,普通订单,0.01,0,0,2.57,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市隔逐电子商务商行（个体工商户）,订单结算
2026-04-24 04:02:48,'2026042404023938266639518265,入账,3.87,聚合账户,货款结算入账,小店自卖,'6925585638470680392,'6925585638470483784,'SS76311312983669847100176,2026-04-14 12:29:06,'3813348572229927091,时尚甜美小众花朵发圈欧根纱优雅气质简约复古水钻头绳女扎头皮筋,,,普通订单,3.89,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市隔逐电子商务商行（个体工商户）,订单结算
2026-04-24 06:41:39,'2026042406413337521700268265,入账,4.96,聚合账户,货款结算入账,小店自卖,'6952183713524225060,'6952183713524225060,'SS76311391208375465460088,2026-04-19 09:39:33,'3811812232464040129,发量少高级感后脑勺2026新款夏日盘发女发夹中号头发鲨鱼夹子头饰,,,普通订单,4.99,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市隔逐电子商务商行（个体工商户）,订单结算
2026-04-24 06:41:39,'2026042406413340278308268265,入账,2.94,聚合账户,货款结算入账,小店自卖,'6925570195183074439,'6925570195183074439,'SS76310281812644664830169,2026-04-13 14:55:38,'3811861319435551055,碎发整理神器发卡刘海头发夹子头饰防滑发梳插梳子倒插梳梳子发夹,,,普通订单,2.96,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市隔逐电子商务商行（个体工商户）,订单结算
2026-04-24 06:41:39,'2026042406413524248202658265,入账,3.49,聚合账户,货款结算入账,小店自卖,'6925701611846597841,'6925701611846597841,'SS76310955429028050440187,2026-04-19 16:33:24,'3811462054972359032,超仙森系简约优雅百搭黑色波点泡泡纱黑天鹅抓夹碎发夹发饰韩版,,,普通订单,3.67,0,0,0,0,0,0,0,0,0,0,0,-0.18,0,0,0,0,0,0,,0,义乌市隔逐电子商务商行（个体工商户）,订单结算
2026-04-24 06:41:39,'2026042406413425336714308265,入账,5.02,聚合账户,货款结算入账,小店自卖,'6925570195183205511,'6925570195183074439,'SS76310281822082993040094,2026-04-13 14:55:38,'3811855824226222573,新款波点褶皱香蕉夹甜美风高马尾抓夹后脑盘发时尚发饰气质百搭,,,普通订单,5.05,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市隔逐电子商务商行（个体工商户）,订单结算
2026-04-24 06:41:39,'2026042406413327063918518265,入账,5.72,聚合账户,货款结算入账,小店自卖,'6925567660912574233,'6925567660912312089,'SS76310281764471813520117,2026-04-13 15:21:31,'3811842395868365161,超甜温柔粉色双面蝴蝶结香蕉夹竖夹气质高马尾发夹后脑勺发夹发饰,,,普通订单,5.75,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市隔逐电子商务商行（个体工商户）,订单结算
2026-04-24 07:00:25,'2026042407002115393756598265,入账,3.87,聚合账户,货款结算入账,小店自卖,'6925565864396685176,'6925565864396685176,'SS76311018575570378650154,2026-04-13 19:03:11,'3809046805900034520,发箍带齿防滑咖色波浪高颅顶发箍女款时尚外戴头箍带齿防滑洗脸,,,普通订单,3.89,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市隔逐电子商务商行（个体工商户）,订单结算
2026-04-24 07:00:25,'2026042407002034529779838265,入账,2.24,聚合账户,货款结算入账,小店自卖,'6925559686857981836,'6925559686857981836,'SS76311394247508669820093,2026-04-13 13:05:55,'3809243343678996514,时尚珍珠大肠发圈头绳2026新款橡皮筋女扎头发优雅皮套高颜值发圈,,,普通订单,0.35,0,0,2.01,0,0,0,0,0,0,0,0,-0.12,0,0,0,0,0,0,,0,义乌市隔逐电子商务商行（个体工商户）,订单结算
2026-04-24 08:00:46,'2026042408004214650578268265,入账,4.51,聚合账户,货款结算入账,小店自卖,'6925576527397158728,'6925576527397158728,'SS76311401376947904350076,2026-04-14 12:36:37,'3811861319435551055,碎发整理神器发卡刘海头发夹子头饰防滑发梳插梳子倒插梳梳子发夹,,,普通订单,4.54,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市隔逐电子商务商行（个体工商户）,订单结算
2026-04-24 08:00:46,'2026042408004230975759718265,入账,4.86,聚合账户,货款结算入账,小店自卖,'6925585638470745928,'6925585638470483784,'SS76311313124177352180059,2026-04-14 12:29:06,'3813506684907815426,简约可爱俏皮风蓬松卡通一字发卡碎发刘海头饰女用无痕化妆头发夹,,,普通订单,4.89,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市隔逐电子商务商行（个体工商户）,订单结算
