动账时间,动帐流水号,动账方向,动账金额,动账账户,动账场景,计费类型,子订单号,订单号,售后编号,下单时间,商品ID,商品名称,达人ID,达人名称,订单类型,订单实付应结,运费实付,实际平台补贴_运费,实际平台补贴,其他平台补贴,以旧换新抵扣,政府补贴平台垫资,实际达人补贴,实际抖音支付补贴,实际抖音月付营销补贴,银行补贴,订单退款,平台服务费,佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,是否免佣,免佣金额,商户主体名称,备注
2026-04-24 01:15:13,'2026042401150723915077643466,入账,4.4,聚合账户,货款结算入账,小店自卖,'6925568270226718411,'6925568270226718411,'SS76310281839224141340146,2026-04-13 19:50:53,'3810570581007532053,2026新款珍珠百搭一字夹高级感后脑勺扭扭夹精致感大号发量多发卡,,,普通订单,4.43,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市邬蜀电子商务商行（个体工商户）,订单结算
2026-04-24 01:15:13,'2026042401150811326431103466,入账,2.03,聚合账户,货款结算入账,小店自卖,'6952067284203279953,'6952067284203279953,'SS76310147835819832840056,2026-04-14 08:32:05,'3810328155756036442,简约高颜值繁星抓夹满天星后脑勺半扎发鲨鱼夹时尚发夹女气质发饰,,,普通订单,2.04,0,0,0,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,0,0,是-商品卡免佣,0.07,义乌市邬蜀电子商务商行（个体工商户）,订单结算
2026-04-24 01:15:13,'2026042401150535784504473466,入账,3.16,聚合账户,货款结算入账,小店自卖,'6925567804109847851,'6925567804109847851,'SS76310281545137364890123,2026-04-13 16:08:10,'3809417433677168646,小红书同款毛绒小鸡发圈可爱搞怪萌趣大肠发圈少女卡通春夏高弹力,,,普通订单,3.18,0.5,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市邬蜀电子商务商行（个体工商户）,订单结算
2026-04-24 01:15:13,'2026042401150708612910583466,入账,12.88,聚合账户,货款结算入账,小店自卖,'6952046953218643739,'6952046953218643739,'SS76311025961931246430044,2026-04-13 22:07:38,'3812185018369966163,新款波点香蕉夹粉色蝴蝶结竖夹气质高马尾发夹后脑勺盘发发夹发饰,,,普通订单,12.96,0,0,0,0,0,0,0,0,0,0,0,-0.08,0,0,0,0,0,0,是-商品卡免佣,0.59,义乌市邬蜀电子商务商行（个体工商户）,订单结算
2026-04-24 01:15:13,'2026042401150605416064353466,入账,3.67,聚合账户,货款结算入账,小店自卖,'6925696148401126525,'6925696148401126525,'SS76311300193811830300096,2026-04-19 06:08:26,'3809828064930693438,韩系可爱小熊格纹发夹盘发香蕉夹女后脑勺马尾竖夹甜美发卡发饰新,,,普通订单,3.69,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市邬蜀电子商务商行（个体工商户）,订单结算
2026-04-24 01:15:13,'2026042401150702112724983466,入账,3.18,聚合账户,货款结算入账,小店自卖,'6952044928663098865,'6952044928663098865,'SS76310157920914967420126,2026-04-13 22:35:06,'3809596802416640287,柔软泡泡纱粉色碎花大肠发圈高级仙气慵懒头绳超大扎马尾发饰韩风,,,普通订单,3.2,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市邬蜀电子商务商行（个体工商户）,订单结算
2026-04-24 01:15:13,'2026042401150610239841283466,入账,4.75,聚合账户,货款结算入账,小店自卖,'6925664803126934733,'6925664803126934733,'SS76310678706018552680229,2026-04-17 13:37:53,'3812185018369966163,新款波点香蕉夹粉色蝴蝶结竖夹气质高马尾发夹后脑勺盘发发夹发饰,,,普通订单,4.78,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市邬蜀电子商务商行（个体工商户）,订单结算
2026-04-24 01:15:13,'2026042401150701651018333466,入账,5.02,聚合账户,货款结算入账,精选联盟,'6952160823753512765,'6952160823753512765,'SS76309756023179676680074,2026-04-18 21:13:21,'3809596802416640287,【达人专属】柔软泡泡纱粉色碎花大肠发圈高级仙气慵懒头绳超大扎马尾发饰韩风,'67732667830,甜崽学姐🧀,普通订单,6.69,0,0,0,0,0,0,0,0,0,0,0,-0.33,-1.34,0,0,0,0,0,,0,义乌市邬蜀电子商务商行（个体工商户）,订单结算
2026-04-24 01:15:13,'2026042401150829950446343466,入账,2.38,聚合账户,货款结算入账,小店自卖,'6952030613412058932,'6952030613412058932,'SS76310281214299020860190,2026-04-13 15:13:53,'3810570581007532053,2026新款珍珠百搭一字夹高级感后脑勺扭扭夹精致感大号发量多发卡,,,普通订单,2.39,0,0,0,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,0,0,是-商品卡免佣,0.07,义乌市邬蜀电子商务商行（个体工商户）,订单结算
2026-04-24 01:15:13,'2026042401150700591142743466,入账,5.95,聚合账户,货款结算入账,小店自卖,'6925654828882296608,'6925654828882296608,'SS76310502696016781140147,2026-04-16 17:31:00,'3809596802416640287,柔软泡泡纱粉色碎花大肠发圈高级仙气慵懒头绳超大扎马尾发饰韩风,,,普通订单,5.99,1,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,义乌市邬蜀电子商务商行（个体工商户）,订单结算
2026-04-24 01:15:13,'2026042401150519555989003466,入账,3.15,聚合账户,货款结算入账,小店自卖,'6925593459402570833,'6925593459402570833,'SS76311061131399337300107,2026-04-14 13:25:39,'3811284975853109438,新款高级感珍珠百搭一字夹精致感后脑勺扭扭夹大号发量多发卡头饰,,,普通订单,3.17,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市邬蜀电子商务商行（个体工商户）,订单结算
2026-04-24 01:15:13,'2026042401150731048010513466,入账,5.34,聚合账户,货款结算入账,小店自卖,'6952043010611614979,'6952043010611614979,'SS76311020982889722880219,2026-04-14 10:15:33,'3809790548190036376,春夏新款扭扭麻花发箍女高颅顶带齿防滑头箍高级感民族风发卡饰品,,,普通订单,5.62,0,0,0,0,0,0,0,0,0,0,0,-0.28,0,0,0,0,0,0,,0,义乌市邬蜀电子商务商行（个体工商户）,订单结算
2026-04-24 01:15:13,'2026042401150705418194263466,入账,8.33,聚合账户,货款结算入账,小店自卖,'6925590790637649833,'6925590790637649833,'SS76310160525244995060048,2026-04-14 08:35:43,'3809596802416640287,柔软泡泡纱粉色碎花大肠发圈高级仙气慵懒头绳超大扎马尾发饰韩风,,,普通订单,8.38,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0,0,0,0,0,是-商品卡免佣,0.37,义乌市邬蜀电子商务商行（个体工商户）,订单结算
2026-04-24 01:15:13,'2026042401150539476270083466,入账,1.65,聚合账户,货款结算入账,小店自卖,'6925713629479403053,'6925713629479403053,'SS76311736769686574340014,2026-04-19 08:35:01,'3810570581007532053,2026新款珍珠百搭一字夹高级感后脑勺扭扭夹精致感大号发量多发卡,,,普通订单,1.66,0,0,0,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,0,0,是-商品卡免佣,0.07,义乌市邬蜀电子商务商行（个体工商户）,订单结算
2026-04-24 01:15:14,'2026042401150811475031383466,入账,6.94,聚合账户,货款结算入账,小店自卖,'6925577175976606780,'6925577175976541244,'SS76311144332439066140233,2026-04-13 18:27:04,'3809596802416640287,柔软泡泡纱粉色碎花大肠发圈高级仙气慵懒头绳超大扎马尾发饰韩风,,,普通订单,6.98,0,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,义乌市邬蜀电子商务商行（个体工商户）,订单结算
2026-04-24 01:15:14,'2026042401150723917535243466,入账,4.28,聚合账户,货款结算入账,小店自卖,'6952048955111970009,'6952048955111970009,'SS76310281541695739340181,2026-04-13 21:12:57,'3810347319908500349,发根固定夹高颅顶神器女定型刘海鸭嘴夹头发蓬松夹定位夹发卡发夹,,,普通订单,4.31,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市邬蜀电子商务商行（个体工商户）,订单结算
