动账时间,动帐流水号,动账方向,动账金额,动账账户,动账场景,计费类型,子订单号,订单号,售后编号,下单时间,商品ID,商品名称,达人ID,达人名称,订单类型,订单实付应结,运费实付,实际平台补贴_运费,实际平台补贴,其他平台补贴,以旧换新抵扣,政府补贴平台垫资,实际达人补贴,实际抖音支付补贴,实际抖音月付营销补贴,银行补贴,订单退款,平台服务费,佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,是否免佣,免佣金额,商户主体名称,备注
2026-04-24 06:58:51,'2026042406584641740047795233,入账,4.49,聚合账户,货款结算入账,精选联盟,'6924484063219318750,'6924484063219318750,'SS76310899211269901180214,2026-02-25 16:41:35,'3757696623736652026,气质温柔高颅顶波浪发箍女款洗脸专用带齿防滑发箍高颅顶显脸小,'3085684946773017,婉婉盘发,普通订单,4.99,0,0,0,0,0,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,,0,义乌市羚絮电子商务商行（个体工商户）,订单结算
2026-04-24 08:06:19,'2026042408061532509670745233,出账,1,聚合账户,小额打款,,'6951842786413844156,'6951842786413844156,,,,,,,普通订单,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,义乌市羚絮电子商务商行（个体工商户）,商家向消费者小额打款-“其他”
2026-04-24 08:50:45,'2026042408504140224693865233,出账,1,聚合账户,小额打款,,'6951647952392557791,'6951647952392557791,,,,,,,普通订单,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,义乌市羚絮电子商务商行（个体工商户）,商家向消费者小额打款-“其他”
2026-04-24 09:29:37,'2026042409293239830369795233,出账,2,聚合账户,退款-结算后退款-退用户,小店自卖,'6925123739153366755,'6925123739153366755,'147455694504791161,2026-03-25 10:42:28,'3797029695745295102,秋冬发箍女款高级感洋气时尚高颅顶头箍2026新款日常外戴洗脸发卡,,,普通订单,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,,0,义乌市羚絮电子商务商行（个体工商户）,已退款
2026-04-24 10:30:56,'2026042410305135200906705233,出账,2,聚合账户,,,,,,,,,,,普通订单,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,义乌市羚絮电子商务商行（个体工商户）,拦截费_770310874085195
2026-04-24 10:38:11,'2026042410380826640714505233,出账,2,聚合账户,,,,,,,,,,,普通订单,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,义乌市羚絮电子商务商行（个体工商户）,拦截费_YT0027905704678
2026-04-24 10:40:23,'2026042410402040228828435233,出账,1.2,聚合账户,,,,,,,,,,,普通订单,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,义乌市羚絮电子商务商行（个体工商户）,拦截费_YT0027905102759
2026-04-24 10:40:56,'2026042410405232773578345233,出账,2,聚合账户,,,,,,,,,,,普通订单,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,义乌市羚絮电子商务商行（个体工商户）,拦截费_YT0028204664896
2026-04-24 10:47:50,'2026042410474618423485945233,出账,2,聚合账户,,,,,,,,,,,普通订单,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,义乌市羚絮电子商务商行（个体工商户）,拦截费_321037318504392
2026-04-24 10:50:55,'2026042410505227570222585233,出账,2,聚合账户,,,,,,,,,,,普通订单,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,义乌市羚絮电子商务商行（个体工商户）,拦截费_770311580198265
2026-04-24 10:55:12,'2026042410550930634030585233,出账,2,聚合账户,,,,,,,,,,,普通订单,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,义乌市羚絮电子商务商行（个体工商户）,拦截费_770311581562677
2026-04-24 10:56:06,'2026042410560410535083985233,出账,2,聚合账户,,,,,,,,,,,普通订单,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,义乌市羚絮电子商务商行（个体工商户）,拦截费_YT0026501006850
2026-04-24 10:56:40,'2026042410563816363364105233,出账,2,聚合账户,,,,,,,,,,,普通订单,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,义乌市羚絮电子商务商行（个体工商户）,拦截费_YT0026928550358
2026-04-24 10:57:44,'2026042410574102064714705233,出账,2,聚合账户,,,,,,,,,,,普通订单,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,义乌市羚絮电子商务商行（个体工商户）,拦截费_YT0026466643767
