动账时间,动帐流水号,动账方向,动账金额,动账账户,动账场景,计费类型,子订单号,订单号,售后编号,下单时间,商品ID,商品名称,达人ID,达人名称,订单类型,订单实付应结,运费实付,实际平台补贴_运费,实际平台补贴,其他平台补贴,以旧换新抵扣,政府补贴平台垫资,实际达人补贴,实际抖音支付补贴,实际抖音月付营销补贴,银行补贴,订单退款,平台服务费,佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,是否免佣,免佣金额,商户主体名称,备注
2026-04-24 01:17:22,'2026042401171502108339580374,入账,2.89,聚合账户,货款结算入账,小店自卖,'6952038267921962204,'6952038267921962204,'SS76310280237567844350194,2026-04-14 07:26:54,'3807203668038648118,头发夹子小雏菊小抓夹成人亚克力发饰发夹上档次闪钻发饰头饰发卡,,,普通订单,2.91,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市贯继电子商务商行（个体工商户）,订单结算
2026-04-24 01:17:22,'2026042401171523623111770374,入账,10.39,聚合账户,货款结算入账,小店自卖,'6925582904548294579,'6925582904548294579,'SS76311086519268318810166,2026-04-14 08:28:30,'3793472715474731374,秋冬花朵鸭嘴夹女2026新款高级感后脑勺盘发一字夹子大号发夹头饰,,,普通订单,10.45,0,0,0,0,0,0,0,0,0,0,0,-0.06,0,0,0,0,0,0,是-商品卡免佣,0.44,义乌市贯继电子商务商行（个体工商户）,订单结算
2026-04-24 01:17:22,'2026042401171539216908900374,入账,0.99,聚合账户,货款结算入账,小店自卖,'6952226458349934565,'6952226458349934565,'SS76308728980024694190205,2026-04-20 23:55:39,'3806661484268880238,踩屎感拖鞋男士夏季外穿2026新款不臭脚家居室内洗澡防滑eva凉拖,,,普通订单,4.92,0,0,0,0,0,0,0,0,0,0,-3.92,-0.01,0,0,0,0,0,0,是-商品卡免佣,0.07,义乌市贯继电子商务商行（个体工商户）,订单结算
2026-04-24 01:17:22,'2026042401171533638487550374,入账,6.61,聚合账户,货款结算入账,小店自卖,'6952040501853296413,'6952040501853296413,'SS76310280136603121020175,2026-04-14 00:08:43,'3806826511869280918,高级感2026新款可爱卡通抓夹女后脑勺盘发鲨鱼夹大号发量大发夹子,,,普通订单,6.65,0,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,义乌市贯继电子商务商行（个体工商户）,订单结算
2026-04-24 01:48:18,'2026042401481027766789380374,入账,2.22,聚合账户,货款结算入账,小店自卖,'6951628541266302653,'6951628541266302653,'SS76310246694784048640047,2026-03-28 01:34:51,'3794773768442872289,新款发绳橡皮筋彩色糖果发圈简约可爱扎马尾高弹力无痕头绳发饰女,,,普通订单,2.23,0,0,0,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,0,0,是-商品卡免佣,0.07,义乌市贯继电子商务商行（个体工商户）,订单结算
2026-04-24 01:48:18,'2026042401481005052871780374,入账,8.04,聚合账户,货款结算入账,小店自卖,'6951902851968079217,'6951902851968079217,'SS76310139049505103780123,2026-04-08 15:27:56,'3807021836370313357,新款韩系复古蝴蝶结大肠头绳发圈2026丸子发饰马尾百搭发绳,,,普通订单,8.09,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0,0,0,0,0,是-商品卡免佣,0.37,义乌市贯继电子商务商行（个体工商户）,订单结算
2026-04-24 01:48:18,'2026042401480909444726220374,入账,0.99,聚合账户,货款结算入账,小店自卖,'6952251687624840492,'6952251687624840492,'SS76311530316771865690190,2026-04-21 18:03:52,'3806826511869280918,高级感2026新款可爱卡通抓夹女后脑勺盘发鲨鱼夹大号发量大发夹子,,,普通订单,4.35,0,0,0,0,0,0,0,0,0,0,-3.35,-0.01,0,0,0,0,0,0,是-商品卡免佣,0.07,义乌市贯继电子商务商行（个体工商户）,订单结算
2026-04-24 01:48:18,'2026042401481006922409420374,入账,5.46,聚合账户,货款结算入账,小店自卖,'6951889516064150533,'6951889516064150533,'SS76310489568895475260101,2026-04-08 15:37:40,'3793472715474731374,秋冬花朵鸭嘴夹女2026新款高级感后脑勺盘发一字夹子大号发夹头饰,,,普通订单,5.49,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市贯继电子商务商行（个体工商户）,订单结算
2026-04-24 01:48:18,'2026042401480820814072830374,入账,3.17,聚合账户,货款结算入账,小店自卖,'6951651056886027315,'6951651056886027315,'SS76310173256716132270182,2026-03-29 15:49:05,'3799927583328567316,复古波点褶皱香蕉夹高级感马尾扭扭竖夹后脑勺显发量横夹发饰,,,普通订单,3.19,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市贯继电子商务商行（个体工商户）,订单结算
2026-04-24 03:32:01,'2026042403315610334380060374,入账,2.95,聚合账户,货款结算入账,小店自卖,'6952051845343548672,'6952051845343548672,'SS76310281197393188270058,2026-04-14 08:06:11,'3765076487749894554,新款大号扭扭夹发夹女后脑勺抓夹盘发神器金属头发发饰一字夹,,,普通订单,2.97,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市贯继电子商务商行（个体工商户）,订单结算
2026-04-24 03:32:02,'2026042403315522027476910374,入账,7.81,聚合账户,货款结算入账,小店自卖,'6952213745773909667,'6952213745773909667,'SS76311204156458112100136,2026-04-19 22:37:03,'3800107127842930910,买一送一踩屎感2026新款春夏季外穿室内家居防滑防臭eva凉拖鞋男,,,普通订单,7.86,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0,0,0,0,0,是-商品卡免佣,0.37,义乌市贯继电子商务商行（个体工商户）,订单结算
