动账时间,动帐流水号,动账方向,动账金额,动账账户,动账场景,计费类型,子订单号,订单号,售后编号,下单时间,商品ID,商品名称,达人ID,达人名称,订单类型,订单实付应结,运费实付,实际平台补贴_运费,实际平台补贴,其他平台补贴,以旧换新抵扣,政府补贴平台垫资,实际达人补贴,实际抖音支付补贴,实际抖音月付营销补贴,银行补贴,订单退款,平台服务费,佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,是否免佣,免佣金额,商户主体名称,备注
2026-04-24 01:12:56,'2026042401125105096944989539,入账,2.97,聚合账户,货款结算入账,巨量千川,'6951907818305885983,'6951907818305885983,'SS76310088296602345310018,2026-04-08 21:31:33,'3811082891065163878,M豆发绳气质头绳彩色糖果色发圈简约网红可爱皮筋百搭头发饰少女,,,普通订单,2.99,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-24 01:12:56,'2026042401125135155320789539,入账,2.97,聚合账户,货款结算入账,巨量千川,'6925570686052433181,'6925570686052433181,'SS76310154509320033280207,2026-04-13 18:07:31,'3811082891065163878,M豆发绳气质头绳彩色糖果色发圈简约网红可爱皮筋百搭头发饰少女,,,普通订单,2.99,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-24 01:12:56,'2026042401125200257395589539,入账,4.78,聚合账户,货款结算入账,巨量千川,'6925566249024847108,'6925566249024847108,'SS76310280675778731780112,2026-04-13 21:35:45,'3806831189021557250,高级发夹夏天简约随手盘发一字夹时尚水钻抓夹扭扭后脑勺盘发器,,,普通订单,4.81,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-24 01:12:56,'2026042401125140776338019539,入账,5.56,聚合账户,货款结算入账,小店自卖,'6925571198501092613,'6925571198501092613,'SS76310280663930025110090,2026-04-13 21:33:31,'3771728569672269942,2025新款爆款女孩百搭发夹女童可爱卡通发卡宝宝碎发刘海夹子发饰,,,普通订单,5.59,0.6,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-24 01:12:56,'2026042401125123497282669539,入账,4.39,聚合账户,货款结算入账,小店自卖,'6952086971939558726,'6952086971939558726,'SS76311622007962667980122,2026-04-15 13:16:31,'3769690113660027249,甜酷辣妹十字架小花边夹发夹日系原宿亚文化锆石花朵发卡小众百搭,,,普通订单,4.42,1.1,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-24 01:12:56,'2026042401125222692011629539,入账,2.97,聚合账户,货款结算入账,巨量千川,'6925582290694732973,'6925582290694732973,'SS76310570484532721270196,2026-04-13 22:14:11,'3811082891065163878,M豆发绳气质头绳彩色糖果色发圈简约网红可爱皮筋百搭头发饰少女,,,普通订单,2.99,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-24 01:12:56,'2026042401125208895536909539,入账,2.97,聚合账户,货款结算入账,巨量千川,'6925577071108718319,'6925577071108718319,'SS76310154094162908620103,2026-04-13 17:18:29,'3811082891065163878,M豆发绳气质头绳彩色糖果色发圈简约网红可爱皮筋百搭头发饰少女,,,普通订单,2.99,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-24 01:12:56,'2026042401125109451607549539,入账,2.97,聚合账户,货款结算入账,小店自卖,'6952035509364200860,'6952035509364200860,'SS76310154476361817660027,2026-04-13 19:45:35,'3811082891065163878,M豆发绳气质头绳彩色糖果色发圈简约网红可爱皮筋百搭头发饰少女,,,普通订单,2.99,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-24 01:12:56,'2026042401125131606748629539,入账,5.14,聚合账户,货款结算入账,小店自卖,'6925653966095744150,'6925653966095744150,'SS76309791967182238720125,2026-04-17 09:57:31,'3807026794708730062,2026新款短发半扎发饰过渡期神器一字弹簧夹高端后脑勺发夹头饰女,,,普通订单,5.41,0,0,0,0,0,0,0,0,0,0,0,-0.27,0,0,0,0,0,0,,0,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-24 01:22:53,'2026042401224506590144009539,入账,6.94,聚合账户,货款结算入账,巨量千川,'6952036067016513464,'6952036067016513464,'SS76310160405215153070249,2026-04-14 07:03:31,'3811281324912803988,柔软泡泡纱韩式简约气质粉色碎花大肠发圈高级仙气慵懒头绳发饰,,,普通订单,6.98,0,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-24 01:22:53,'2026042401224219807770019539,入账,2.97,聚合账户,货款结算入账,小店自卖,'6925576868424744140,'6925576868424744140,'SS76310153964807298970047,2026-04-13 16:07:02,'3811082891065163878,M豆发绳气质头绳彩色糖果色发圈简约网红可爱皮筋百搭头发饰少女,,,普通订单,2.99,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-24 03:14:26,'2026042403142021354296679539,入账,2.97,聚合账户,货款结算入账,巨量千川,'6952048444539738068,'6952048444539738068,'SS76310153911460173150170,2026-04-13 16:27:26,'3811082891065163878,M豆发绳气质头绳彩色糖果色发圈简约网红可爱皮筋百搭头发饰少女,,,普通订单,2.99,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市贯圳电子商务商行（个体工商户）,订单结算
