动账时间,动帐流水号,动账方向,动账金额,动账账户,动账场景,计费类型,子订单号,订单号,售后编号,下单时间,商品ID,商品名称,达人ID,达人名称,订单类型,订单实付应结,运费实付,实际平台补贴_运费,实际平台补贴,其他平台补贴,以旧换新抵扣,政府补贴平台垫资,实际达人补贴,实际抖音支付补贴,实际抖音月付营销补贴,银行补贴,订单退款,平台服务费,佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,是否免佣,免佣金额,商户主体名称,备注
2026-04-24 01:10:33,'2026042401102822741163798849,入账,5.25,聚合账户,货款结算入账,小店自卖,'6925669963641421171,'6925669963641421171,'SS76311161210468272900168,2026-04-17 19:52:57,'3753759702069150108,碎发整理神器儿童专用碎发梳女童发卡插梳女新款发饰盘发发夹头饰,,,普通订单,5.28,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-24 01:10:33,'2026042401102817799787878849,入账,6.56,聚合账户,货款结算入账,小店自卖,'6952157064072009039,'6952157064072009039,'SS76311438913093186960013,2026-04-17 17:43:59,'3689374783545409620,ins风发饰儿童发夹少女韩版色网红碎发夹边夹刘海夹学生bb夹头饰,,,普通订单,6.6,0,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-24 01:10:33,'2026042401102817715860638849,入账,9.24,聚合账户,货款结算入账,小店自卖,'6952048898926253906,'6952048898926253906,'SS76311143805868116860096,2026-04-13 21:28:16,'3671581511603323211,儿童发箍卡通小女孩防滑压发发卡女童碎发整理神器网红发箍发发饰,,,普通订单,9.3,0,0,0,0,0,0,0,0,0,0,0,-0.06,0,0,0,0,0,0,是-商品卡免佣,0.44,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-24 01:11:37,'2026042401113223366868908849,入账,6.56,聚合账户,货款结算入账,小店自卖,'6925569099419712543,'6925569099419712543,'SS76310714439168330330034,2026-04-14 06:21:37,'3689374783545409620,ins风发饰儿童发夹少女韩版色网红碎发夹边夹刘海夹学生bb夹头饰,,,普通订单,6.6,0,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-24 01:11:37,'2026042401113032186414608849,入账,4.65,聚合账户,货款结算入账,小店自卖,'6952052166775019096,'6952052166775019096,'SS76310657979848955230044,2026-04-14 10:56:25,'3768810201629720709,可爱卡通蕾丝条纹蝴蝶结抓夹女爆款发量多发夹后脑勺高级感鲨鱼夹,,,普通订单,4.68,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-24 01:11:37,'2026042401113204284751718849,入账,6.95,聚合账户,货款结算入账,小店自卖,'6951935492661122692,'6951935492661122692,'SS76311161388941972890015,2026-04-09 12:58:06,'3768810201629720709,可爱卡通蕾丝条纹蝴蝶结抓夹女爆款发量多发夹后脑勺高级感鲨鱼夹,,,普通订单,6.99,0,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-24 01:11:37,'2026042401113221163546238849,入账,6.27,聚合账户,货款结算入账,小店自卖,'6925579605759458562,'6925579605759458562,'SS76310705936806710300188,2026-04-13 20:02:26,'3689374783545409620,ins风发饰儿童发夹少女韩版色网红碎发夹边夹刘海夹学生bb夹头饰,,,普通订单,6.6,0,0,0,0,0,0,0,0,0,0,0,-0.33,0,0,0,0,0,0,,0,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-24 01:11:37,'2026042401113233100598168849,入账,3.76,聚合账户,货款结算入账,小店自卖,'6952078770413638842,'6952078770413638842,'SS76311136853266271060055,2026-04-14 14:26:48,'3767125668228366620,爆款飘带发带绑发头马尾箍一体系夏季压发头饰优雅复古百搭发饰款,,,普通订单,3.78,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-24 01:11:39,'2026042401113421656376828849,入账,3.61,聚合账户,货款结算入账,小店自卖,'6951673601320163271,'6951673601320163271,'SS76310384768252482970182,2026-03-29 22:08:38,'3753759702069150108,碎发整理神器儿童专用碎发梳女童发卡插梳女新款发饰盘发发夹头饰,,,普通订单,3.63,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-24 01:11:39,'2026042401113424762619148849,入账,4.44,聚合账户,货款结算入账,小店自卖,'6952051294014805597,'6952051294014805597,'SS76310278830079352660139,2026-04-13 20:58:29,'3768810201629720709,可爱卡通蕾丝条纹蝴蝶结抓夹女爆款发量多发夹后脑勺高级感鲨鱼夹,,,普通订单,4.47,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-24 03:31:59,'2026042403315310869312348849,入账,6.89,聚合账户,货款结算入账,小店自卖,'6952056291895481659,'6952056291895481659,'SS76310706032523026280110,2026-04-14 09:47:47,'3753759702069150108,碎发整理神器儿童专用碎发梳女童发卡插梳女新款发饰盘发发夹头饰,,,普通订单,6.93,0,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-24 03:31:59,'2026042403315406724162838849,入账,3.82,聚合账户,货款结算入账,小店自卖,'6925591486945197190,'6925591486945197190,'SS76311139683436508680043,2026-04-14 13:05:05,'3768810201629720709,可爱卡通蕾丝条纹蝴蝶结抓夹女爆款发量多发夹后脑勺高级感鲨鱼夹,,,普通订单,3.84,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-24 03:31:59,'2026042403315408272612108849,入账,5.2,聚合账户,货款结算入账,小店自卖,'6925564397796425058,'6925564397796425058,'SS76310280079094748260221,2026-04-13 23:41:55,'3772526784982155485,白鹿少女风洗脸发带手腕带防水防湿神器发箍女敷面膜专用小熊发饰,,,普通订单,5.23,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-24 03:31:59,'2026042403315308545408408849,入账,5.27,聚合账户,货款结算入账,小店自卖,'6952033698782516740,'6952033698782516740,'SS76310714529553454340088,2026-04-13 22:07:37,'3666969936514908555,ins风刘海bb夹少女心学生碎发小夹子头饰侧边夹发卡子无痕小发夹,,,普通订单,5.3,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-24 03:31:59,'2026042403315331468754078849,入账,6.14,聚合账户,货款结算入账,小店自卖,'6952167326438528921,'6952167326438528921,'SS76311375270926095870053,2026-04-18 14:09:37,'3760821111546315018,网红韩国水钻轻奢头绳碎碎冰高级感水晶发圈发绳手链两用时尚发饰,,,普通订单,6.18,0.4,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-24 03:34:01,'2026042403335516200671128849,入账,2.93,聚合账户,货款结算入账,小店自卖,'6952069747339892269,'6952069747339892269,'SS76311137027121487990058,2026-04-14 14:07:23,'3670287231806996802,发卡女2024新款洗脸专用碎发发饰压发夹带齿黑色头饰架高颅顶发饰,,,普通订单,0.01,0,0,2.94,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-24 03:34:01,'2026042403335717784223078849,入账,3.89,聚合账户,货款结算入账,小店自卖,'6925583773492673765,'6925583773492673765,'SS76310714438646500350241,2026-04-13 18:17:30,'3689374783545409620,ins风发饰儿童发夹少女韩版色网红碎发夹边夹刘海夹学生bb夹头饰,,,普通订单,3.91,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-24 03:34:01,'2026042403335438385628508849,入账,4.65,聚合账户,货款结算入账,小店自卖,'6925646162305645935,'6925646162305645935,'SS76311133713873188240127,2026-04-16 20:27:16,'3768810201629720709,可爱卡通蕾丝条纹蝴蝶结抓夹女爆款发量多发夹后脑勺高级感鲨鱼夹,,,普通订单,4.68,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-24 03:34:01,'2026042403335604596697608849,入账,2.81,聚合账户,货款结算入账,小店自卖,'6925649984959118568,'6925649984959118568,'SS76311162620303777640177,2026-04-16 13:10:20,'3763425341150986416,发卡女2025新款洗脸专用碎发发饰压发夹带齿黑色头饰架高颅顶发饰,,,普通订单,2.83,0.5,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市贯圳电子商务商行（个体工商户）,订单结算
2026-04-24 03:34:01,'2026042403335415698009958849,入账,5.75,聚合账户,货款结算入账,小店自卖,'6925581094804225062,'6925581094804225062,'SS76310714444027988900146,2026-04-14 11:40:02,'3671581801287123198,ins新款儿童发夹少女糖果色可爱碎发夹边夹小女孩bb夹头饰水滴发,,,普通订单,5.78,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市贯圳电子商务商行（个体工商户）,订单结算
