动账时间,动帐流水号,动账方向,动账金额,动账账户,动账场景,计费类型,子订单号,订单号,售后编号,下单时间,商品ID,商品名称,达人ID,达人名称,订单类型,订单实付应结,运费实付,实际平台补贴_运费,实际平台补贴,其他平台补贴,以旧换新抵扣,政府补贴平台垫资,实际达人补贴,实际抖音支付补贴,实际抖音月付营销补贴,银行补贴,订单退款,平台服务费,佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,是否免佣,免佣金额,商户主体名称,备注
2026-04-24 01:10:57,'2026042401105231507584343135,入账,4.32,聚合账户,货款结算入账,小店自卖,'6952057983460185678,'6952057983460185678,'SS76310280373298509140250,2026-04-14 01:06:10,'3795520547341861089,可爱网红爆款抓夹大号韩国2026新款气质高级感夹子后脑勺发夹鲨鱼,,,普通订单,4.35,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市绩妨电子商务商行（个体工商户）,订单结算
2026-04-24 01:10:57,'2026042401105213604132183135,入账,2.43,聚合账户,货款结算入账,小店自卖,'6925720914140823442,'6925720914140823442,'SS76311945808552269140130,2026-04-19 17:19:53,'3795520547341861089,可爱网红爆款抓夹大号韩国2026新款气质高级感夹子后脑勺发夹鲨鱼,,,普通订单,2.56,0,0,0,0,0,0,0,0,0,0,0,-0.13,0,0,0,0,0,0,,0,义乌市绩妨电子商务商行（个体工商户）,订单结算
2026-04-24 01:10:57,'2026042401105307595791763135,入账,6.62,聚合账户,货款结算入账,小店自卖,'6952044482683475557,'6952044482683475557,'SS76310277798569743780120,2026-04-13 18:38:42,'3795520547341861089,可爱网红爆款抓夹大号韩国2026新款气质高级感夹子后脑勺发夹鲨鱼,,,普通订单,6.66,0,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,义乌市绩妨电子商务商行（个体工商户）,订单结算
2026-04-24 01:10:57,'2026042401105030189368663135,入账,5.14,聚合账户,货款结算入账,小店自卖,'6952054419749279430,'6952054419749279430,'SS76310706279856704190007,2026-04-14 10:44:54,'3791068742998426024,高级感菱格纹宽面发箍女复古针织头箍高发箍2025爆款洋气高级感,,,普通订单,5.41,0,0,0,0,0,0,0,0,0,0,0,-0.27,0,0,0,0,0,0,,0,义乌市绩妨电子商务商行（个体工商户）,订单结算
2026-04-24 01:10:57,'2026042401105101017940633135,入账,3.35,聚合账户,货款结算入账,小店自卖,'6952040001327798082,'6952040001327798082,'SS76310176037089938300111,2026-04-13 19:57:52,'3799054266094715138,明星同款高颅顶圆形金属发扣刘海发夹女前额侧边夹水钻发卡头饰,,,普通订单,3.37,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市绩妨电子商务商行（个体工商户）,订单结算
2026-04-24 01:11:13,'2026042401110737257221643135,入账,2.92,聚合账户,货款结算入账,小店自卖,'6925583639280778604,'6925583639280778604,'SS76311139730031621660227,2026-04-14 13:21:46,'3794583299628859720,可爱卡通法式珍珠三角抓夹女新款发量多发夹后脑勺高级感鲨鱼夹,,,普通订单,2.94,0.35,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市绩妨电子商务商行（个体工商户）,订单结算
2026-04-24 01:11:13,'2026042401110808107953063135,入账,4.7,聚合账户,货款结算入账,小店自卖,'6952064530124511121,'6952064530124511121,'SS76310279424870651070124,2026-04-13 23:50:21,'3810183398304120881,水钻珠子花朵6厘米中号抓夹后脑勺洋气盘发夹时尚半扎鲨鱼夹百搭,,,普通订单,4.73,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市绩妨电子商务商行（个体工商户）,订单结算
2026-04-24 01:32:41,'2026042401323610067318163135,入账,3.05,聚合账户,货款结算入账,小店自卖,'6952039575993324662,'6952039575993324662,'SS76310278449906655240136,2026-04-13 15:40:42,'3794924176024928741,秋冬韩版新款毛绒抓夹女时尚百搭发夹后脑勺高级感鲨鱼夹头饰饰品,,,普通订单,3.07,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市绩妨电子商务商行（个体工商户）,订单结算
2026-04-24 01:32:41,'2026042401323131850706353135,入账,2.37,聚合账户,货款结算入账,小店自卖,'6925562398734188025,'6925562398734188025,'SS76310278020574584380242,2026-04-13 17:26:21,'3796308192821117112,法式秋冬新款郁金香丸子夹气质时尚优雅网纱云朵中号抓夹发夹头饰,,,普通订单,2.38,0,0,0,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,0,0,是-商品卡免佣,0.07,义乌市绩妨电子商务商行（个体工商户）,订单结算
2026-04-24 01:32:41,'2026042401323325491049503135,入账,6.18,聚合账户,货款结算入账,小店自卖,'6925565390429060558,'6925565390429060558,'SS76310277592359078760113,2026-04-13 15:34:33,'3791066902395224812,韩系蝴蝶结香蕉夹发夹女秋冬高级感精致后脑勺盘发马尾夹竖夹头饰,,,普通订单,6.22,0,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,义乌市绩妨电子商务商行（个体工商户）,订单结算
