动账时间,动帐流水号,动账方向,动账金额,动账账户,动账场景,计费类型,子订单号,订单号,售后编号,下单时间,商品ID,商品名称,达人ID,达人名称,订单类型,订单实付应结,运费实付,实际平台补贴_运费,实际平台补贴,其他平台补贴,以旧换新抵扣,政府补贴平台垫资,实际达人补贴,实际抖音支付补贴,实际抖音月付营销补贴,银行补贴,订单退款,平台服务费,佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,是否免佣,免佣金额,商户主体名称,备注
2026-04-24 01:12:16,'2026042401121231251052150793,入账,1.89,聚合账户,货款结算入账,小店自卖,'6925582641898093675,'6925582641898093675,'SS76310149016018007130141,2026-04-14 01:09:26,'3808855327718375885,复古豹纹褶皱中号香蕉夹高级感马尾扭扭夹后脑勺韩系显发量发卡,,,普通订单,1.99,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0,0,0,0,否,0,义乌市於郝电子商务商行（个体工商户）,订单结算
2026-04-24 01:12:16,'2026042401121236915617710793,入账,3.89,聚合账户,货款结算入账,小店自卖,'6925570695231929680,'6925570695231929680,'SS76310139756905603190047,2026-04-13 18:11:52,'3808855327718375885,复古豹纹褶皱中号香蕉夹高级感马尾扭扭夹后脑勺韩系显发量发卡,,,普通订单,4.09,0,0,0,0,0,0,0,0,0,0,0,-0.2,0,0,0,0,0,0,否,0,义乌市於郝电子商务商行（个体工商户）,订单结算
2026-04-24 01:12:16,'2026042401121218716762000793,入账,3.19,聚合账户,货款结算入账,小店自卖,'6952047065028761164,'6952047065028761164,'SS76310152412839614070087,2026-04-13 23:11:00,'3808855327718375885,复古豹纹褶皱中号香蕉夹高级感马尾扭扭夹后脑勺韩系显发量发卡,,,普通订单,3.17,0,0,0,0,0,0,0,0.19,0,0,0,-0.17,0,0,0,0,0,0,否,0,义乌市於郝电子商务商行（个体工商户）,订单结算
2026-04-24 01:12:16,'2026042401121003537963870793,入账,4.86,聚合账户,货款结算入账,小店自卖,'6952055962193171494,'6952055962193171494,'SS76311367551619241470115,2026-04-14 00:58:07,'3811460006382010734,简约几何波浪珍珠抓夹女2026新款后脑勺发夹鲨鱼夹子大号发量发饰,,,普通订单,5.12,0,0,0,0,0,0,0,0,0,0,0,-0.26,0,0,0,0,0,0,否,0,义乌市於郝电子商务商行（个体工商户）,订单结算
2026-04-24 01:12:16,'2026042401121130998369340793,入账,2.72,聚合账户,货款结算入账,小店自卖,'6925483226857439129,'6925483226857439129,'SS76312102243570324880228,2026-04-10 07:57:01,'3808515754769383695,2026新款高级牡丹花流苏抓夹毛毛发夹后脑勺显发量大号鲨鱼夹头饰,,,普通订单,2.86,0,0,0,0,0,0,0,0,0,0,0,-0.14,0,0,0,0,0,0,否,0,义乌市於郝电子商务商行（个体工商户）,订单结算
2026-04-24 01:12:21,'2026042401121636579745710793,入账,0.93,聚合账户,货款结算入账,小店自卖,'6925651855162441615,'6925651855162441615,'SS76309677451282396590054,2026-04-17 07:40:59,'3812203542429696436,甜美kitty刘海贴饰品头饰可爱少女棉花糖猫碎发贴魔术贴无痕发饰,,,普通订单,0.98,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0,0,0,0,0,否,0,义乌市於郝电子商务商行（个体工商户）,订单结算
2026-04-24 01:12:21,'2026042401121622282575770793,入账,3.23,聚合账户,货款结算入账,小店自卖,'6925457054944820893,'6925457054944820893,'SS76310101701265495670196,2026-04-09 07:24:35,'3808518913650721160,新款高级牡丹花流苏抓夹毛毛发夹后脑勺显发量大号鲨鱼头饰发夹,,,普通订单,3.4,0,0,0,0,0,0,0,0,0,0,0,-0.17,0,0,0,0,0,0,否,0,义乌市於郝电子商务商行（个体工商户）,订单结算
2026-04-24 01:12:21,'2026042401121705833039900793,入账,3.23,聚合账户,货款结算入账,小店自卖,'6925565962790337563,'6925565962790337563,'SS76310166436830420570216,2026-04-13 19:57:26,'3808515754769383695,2026新款高级牡丹花流苏抓夹毛毛发夹后脑勺显发量大号鲨鱼夹头饰,,,普通订单,3.4,0,0,0,0,0,0,0,0,0,0,0,-0.17,0,0,0,0,0,0,否,0,义乌市於郝电子商务商行（个体工商户）,订单结算
2026-04-24 01:12:21,'2026042401121618173468570793,入账,1.89,聚合账户,货款结算入账,小店自卖,'6925572741434474384,'6925572741434474384,'SS76310141896960292260233,2026-04-13 16:35:07,'3808855327718375885,复古豹纹褶皱中号香蕉夹高级感马尾扭扭夹后脑勺韩系显发量发卡,,,普通订单,1.99,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0,0,0,0,否,0,义乌市於郝电子商务商行（个体工商户）,订单结算
2026-04-24 01:12:21,'2026042401121641362557440793,入账,3.91,聚合账户,货款结算入账,小店自卖,'6952060717911774642,'6952060717911774642,'SS76311019341280873590155,2026-04-14 08:59:16,'3808509441058406492,新款扭扭麻花发箍女简约高颅顶带齿防滑洗脸头箍发卡高级感民族风,,,普通订单,4.12,0,0,0,0,0,0,0,0,0,0,0,-0.21,0,0,0,0,0,0,否,0,义乌市於郝电子商务商行（个体工商户）,订单结算
