动账时间,动帐流水号,动账方向,动账金额,动账账户,动账场景,计费类型,子订单号,订单号,售后编号,下单时间,商品ID,商品名称,达人ID,达人名称,订单类型,订单实付应结,运费实付,实际平台补贴_运费,实际平台补贴,其他平台补贴,以旧换新抵扣,政府补贴平台垫资,实际达人补贴,实际抖音支付补贴,实际抖音月付营销补贴,银行补贴,订单退款,平台服务费,佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,是否免佣,免佣金额,商户主体名称,备注
2026-04-24 00:12:06,'2026042400115430375285867642,出账,5,聚合账户,评价有礼保证金扣款,,,,,,,,,,普通订单,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,义乌市郑意玩具厂（个体工商户）,扣除货款充值评价有礼保证金，详情至【流量-营销工具-工具列表-评价有礼】查看
2026-04-24 01:33:58,'2026042401335137105503267642,入账,4.32,聚合账户,货款结算入账,精选联盟,'6952162868261951041,'6952162868261951041,'SS76309916066654784420138,2026-04-18 12:42:45,'3807348857336102969,迷你小号鸭嘴夹发夹侧边小夹子精致蝴蝶结碎发夹刘海夹高级感发卡,'111355262648,爱美的Kitty猫🐱,普通订单,4.8,0,0,0,0,0,0,0,0,0,0,0,-0.24,-0.24,0,0,0,0,0,,0,义乌市郑意玩具厂（个体工商户）,订单结算
2026-04-24 01:33:58,'2026042401334918090603867642,入账,3.69,聚合账户,货款结算入账,小店自卖,'6925572842382588947,'6925572842382588947,'SS76310277587400176730219,2026-04-13 16:57:16,'3811115970894889453,新品五角星发夹发扣韩国少女甜美甜酷侧边夹顶刘海前额固定卡子,,,普通订单,3.71,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市郑意玩具厂（个体工商户）,订单结算
2026-04-24 01:33:58,'2026042401335035706801047642,入账,3.09,聚合账户,货款结算入账,精选联盟,'6925686313019276659,'6925686313019276659,'SS76311368358047626240106,2026-04-18 14:14:45,'3807348857336102969,迷你小号鸭嘴夹发夹侧边小夹子精致蝴蝶结碎发夹刘海夹高级感发卡,'111355262648,爱美的Kitty猫🐱,普通订单,3.43,0,0,0,0,0,0,0,0,0,0,0,-0.17,-0.17,0,0,0,0,0,,0,义乌市郑意玩具厂（个体工商户）,订单结算
2026-04-24 02:13:09,'2026042402130121644418967642,入账,4.53,聚合账户,货款结算入账,小店自卖,'6925448590148205601,'6925448590148140065,'SS76310546461690434980030,2026-04-08 23:42:31,'3811113617319920049,森系干枯山茶花朵7cm小抓夹 百搭气质发夹女后脑勺超仙鲨夹发饰,,,普通订单,4.56,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市郑意玩具厂（个体工商户）,订单结算
2026-04-24 03:12:34,'2026042403122910031764997642,入账,4.92,聚合账户,货款结算入账,小店自卖,'6925389110427156092,'6925389110427156092,'SS76284427863621143460107,2026-04-06 16:58:38,'3806828354544468284,可爱蝴蝶结小猫无痕刘海贴魔术贴发饰少女前额侧边碎发贴整理神器,,,普通订单,4.95,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市郑意玩具厂（个体工商户）,订单结算
2026-04-24 03:12:34,'2026042403122912298163267642,入账,3.93,聚合账户,货款结算入账,小店自卖,'6951873625867818202,'6951873625867818202,'SS76284436451089129340235,2026-04-06 23:12:21,'3806828354544468284,可爱蝴蝶结小猫无痕刘海贴魔术贴发饰少女前额侧边碎发贴整理神器,,,普通订单,3.95,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市郑意玩具厂（个体工商户）,订单结算
2026-04-24 03:12:34,'2026042403122826971512687642,入账,4.32,聚合账户,货款结算入账,精选联盟,'6952173153417106616,'6952173153417106616,'SS76311742063236224270245,2026-04-18 07:41:18,'3807348857336102969,迷你小号鸭嘴夹发夹侧边小夹子精致蝴蝶结碎发夹刘海夹高级感发卡,'111355262648,爱美的Kitty猫🐱,普通订单,4.8,0,0,0,0,0,0,0,0,0,0,0,-0.24,-0.24,0,0,0,0,0,,0,义乌市郑意玩具厂（个体工商户）,订单结算
2026-04-24 03:12:34,'2026042403122912058462827642,入账,5.91,聚合账户,货款结算入账,小店自卖,'6925564013235306087,'6925564013235306087,'SS76311412755546933820228,2026-04-13 20:58:41,'3809073142689824794,黑灰格纹蝴蝶结发圈韩系高端发饰头绳2026新款质感布艺肠圈发绳女,,,普通订单,5.95,0,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,义乌市郑意玩具厂（个体工商户）,订单结算
2026-04-24 03:12:34,'2026042403122925628843797642,入账,3.93,聚合账户,货款结算入账,小店自卖,'6925386966556900693,'6925386966556900693,'SS76285128329628882300036,2026-04-06 17:21:30,'3806828354544468284,可爱蝴蝶结小猫无痕刘海贴魔术贴发饰少女前额侧边碎发贴整理神器,,,普通订单,3.95,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市郑意玩具厂（个体工商户）,订单结算
