日志时间,自运行起秒,步骤耗时_ms,账号,页面,阶段,键/标签,动作,结果,是否成功
2026-04-25 11:23:56,7.813,7813.45,小缘发饰供应链,globalAccountLoop,nav,goto,open_url,https://fxg.jinritemai.com/ffa/mshop/homepage/index,是
2026-04-25 11:24:10,21.781,13967.92,小缘发饰供应链,globalAccountLoop,account,switch,switchAccount,已切换店铺: 小缘发饰供应链（CSS 流程）,是
2026-04-25 11:24:14,25.147,3365.62,小缘发饰供应链,fxg_mshop_home,nav,goto,open_url,https://compass.jinritemai.com/shop,是
2026-04-25 11:24:50,61.668,36521.46,小缘发饰供应链,fxg_mshop_home,interaction,fxg_home_close_desktop_ad,click,"Locator.wait_for: Timeout 3500ms exceeded.
Call log:
  - waiting for locator(""div[role='dialog'] .auxo-modal-close-x"").first to be visible
",否
2026-04-25 11:24:53,64.601,2932.20,小缘发饰供应链,fxg_mshop_home,field,经营概况整块文本,extract:text,"成交金额
¥573.27
昨日
¥1,945.69
同行基准
¥4,350
用户支付金额
¥467.53
昨日
¥1,635.00
同行基准
¥3,997.77
客单价
¥2.80
昨日
¥3.35
同行基准
¥20.03
成交订单数
170
昨日
504
同行基准
268
结算金额
¥532.25
昨日
¥1,819.43
同行基准
¥3,835.83
商品曝光人数
2.89
万
昨日
9.45万
同行标杆
18.78万
商品点击人数
1,119
昨日
3,804
同行基准
1,601
成交人数
167
昨日
488
同行基准
196
退款金额（退款时间）
¥69.64
昨日
¥159.58
同行顶尖
¥0
退款金额（支付时间）
¥32.58
昨日
¥107.74
同行顶尖
¥0
退款率（支付时间）
6.97%
昨日
6.59%
同行标杆
5.06%
成交退款金额（退款时间）
¥81.01
昨日
¥195.55
同行顶尖
¥0
退款订单数（退款时间）
27
昨日
64
同行标杆
12
退款订单数（支付时间）
15
昨日
37
同行标杆
3
商品曝光-点击转化率（人数）
3.87%
昨日
4.03%
同行基准
6.65%
商品点击-成交转化率（人数）
14.92%
昨日
12.83%
同行标杆
26.37%  ← #root > div.homepageWrapper-zxLmZT > div > dynamic-module-wrapper:nth-child(1) > div > div > div.coreContent-J7jCZG > div.businessDataWrap-LUgNmI > div:nth-child(1) > div > div.ecom-spin-nested-loading > div > div:nth-child(1)",是
2026-04-25 11:24:55,66.244,1643.84,小缘发饰供应链,fxg_aftersale_fund_detail_bill,nav,goto,open_url,https://fxg.jinritemai.com/ffa/fxg-bill/fund-detail-bill,是
2026-04-25 11:25:02,73.636,7391.04,小缘发饰供应链,fxg_aftersale_fund_detail_bill,interaction,fund_detail_date_range,dateRange,auxoCalendarPick: 已点选起止均为 2026-04-24,是
2026-04-25 11:25:08,79.134,5498.09,小缘发饰供应链,fxg_aftersale_fund_detail_bill,interaction,fund_detail_click_generate_report,click,#rc-tabs-0-panel-FUND_DETAIL_BILL > div > div.auxo-pro-table.custom-style-gray.auxo-pro-table-combined > div.auxo-pro-table-wrapper > div > div.auxo-pro-table-list-toolbar > div > div.auxo-space.auxo-space-horizontal.auxo-space-align-center.auxo-pro-table-list-toolbar-right > div > div > div > button,是
2026-04-25 11:25:09,80.172,1038.65,小缘发饰供应链,fxg_aftersale_fund_detail_bill,interaction,confirm_fund_detail_generate,click,div.auxo-popover-inner div.auxo-popover-buttons button.auxo-btn-primary.auxo-btn-sm,是
2026-04-25 11:25:11,82.871,2699.09,小缘发饰供应链,fxg_bill_history_report,nav,goto,skip_same_url,https://fxg.jinritemai.com/ffa/fxg-bill/history-report,是
