日志时间,自运行起秒,步骤耗时_ms,账号,页面,阶段,键/标签,动作,结果,是否成功
2026/4/24 7:00,6.292,6292.43,甑维居家日用,globalAccountLoop,nav,goto,open_url,https://mms.pinduoduo.com/login/,是
2026/4/24 7:00,6.307,14.2,甑维居家日用,globalAccountLoop,account,switch,switchAccount,globalAccountLoop：锚点无需 UI 切店（如拼多多：店铺轮次由 pageIds 内登录与业务页完成）,是
2026/4/24 7:00,6.894,587.38,甑维居家日用,pdd_login_switch,nav,goto,skip_same_url,https://mms.pinduoduo.com/login/,是
2026/4/24 7:00,8.316,1421.6,甑维居家日用,pdd_login_switch,interaction,pdd_login_tab_account,click,#root > div.pdd-app-skeleton > div > div > main > div > section.login-content > div > div > div > div.login-tab > div > div > div:nth-child(2),是
2026/4/24 7:00,8.996,679.92,甑维居家日用,pdd_login_switch,interaction,pdd_input_username_current_account,input,#usernameId <- account_username,是
2026/4/24 7:00,9.593,596.99,甑维居家日用,pdd_login_switch,interaction,pdd_click_login_submit,click,#root > div.pdd-app-skeleton > div > div > main > div > section.login-content > div > div > div > div.password-section > section > div > div > button,是
2026/4/24 7:00,14.237,4644.37,甑维居家日用,pdd_aftersale_export,nav,goto,open_url,https://mms.pinduoduo.com/print/after-sale-list,是
2026/4/24 7:00,30.012,15774.82,甑维居家日用,pdd_aftersale_export,interaction,pdd_close_print_ad_modal,click,div[class*='MmsUiPosterModal___closeIcon'],是
2026/4/24 7:01,101.811,71799.48,甑维居家日用,pdd_aftersale_export,interaction,pdd_aftersale_time_type,selectFilter,下拉已打开但未命中选项，已尝试文案: 售后申请时间,否
2026/4/24 7:01,111.96,10148.55,甑维居家日用,pdd_aftersale_export,interaction,pdd_aftersale_query,click,button:has-text('查询'),是
2026/4/24 7:02,121.939,9979.02,甑维居家日用,pdd_aftersale_export,interaction,pdd_aftersale_open_download_menu,click,button:has-text('下载数据'),是
2026/4/24 7:06,383.499,261560.34,甑维居家日用,pdd_aftersale_export,interaction,export_pdd_aftersale_query_orders,click+download,"Locator.wait_for: Timeout 26000ms exceeded.
Call log:
  - waiting for locator(""[role='menuitem']:has-text('下载查询订单')"").first to be visible
",否
2026/4/24 7:06,386.5,3001.26,甑维居家日用,pdd_trade_data_operation,nav,goto,open_url,https://mms.pinduoduo.com/sycm/stores_data/operation?dateFlag=0,是
2026/4/24 7:06,394.225,7724.26,甑维居家日用,pdd_trade_data_operation,interaction,pdd_trade_scroll_to_bottom_before_page_size,scroll,window:end,是
2026/4/24 7:09,549.008,154783.19,甑维居家日用,pdd_trade_data_operation,interaction,pdd_trade_table_page_size_open,click,"Locator.wait_for: Timeout 22000ms exceeded.
Call log:
  - waiting for locator(""#mf-mms-sycm-container span:has-text('10 条')"").first to be visible
",否
2026/4/24 7:11,703.252,154243.86,甑维居家日用,pdd_trade_data_operation,interaction,pdd_trade_table_page_size_50,click,"Locator.wait_for: Timeout 22000ms exceeded.
Call log:
  - waiting for locator(""*:has-text('50 条/页')"").first to be visible
",否
2026/4/24 7:12,742.104,38852.11,甑维居家日用,pdd_trade_data_operation,field,成交金额,extract:tableColumnAgg,120.10  ← tableColumnAgg:#mf-mms-sycm-container > div > div > div > div:nth-child(5) > div.TB_outerWrapper_5-158-0.TB_bordered_5-158-0.TB_notTree#col1 n=10 p=1 sum,是
2026/4/24 7:13,778.385,36281.03,甑维居家日用,pdd_trade_data_operation,field,成交订单数,extract:tableColumnAgg,13  ← tableColumnAgg:#mf-mms-sycm-container > div > div > div > div:nth-child(5) > div.TB_outerWrapper_5-158-0.TB_bordered_5-158-0.TB_notTree#col2 n=10 p=1 sum,是
2026/4/24 7:13,814.657,36272.29,甑维居家日用,pdd_trade_data_operation,field,成交买家数,extract:tableColumnAgg,13.00  ← tableColumnAgg:#mf-mms-sycm-container > div > div > div > div:nth-child(5) > div.TB_outerWrapper_5-158-0.TB_bordered_5-158-0.TB_notTree#col3 n=10 p=1 sum,是
