日志时间,自运行起秒,步骤耗时_ms,账号,页面,阶段,键/标签,动作,结果,是否成功
2026-04-25 07:00:07,0.691,691.49,甑维居家日用,globalAccountLoop,nav,goto,open_url,https://mms.pinduoduo.com/login/,是
2026-04-25 07:00:07,0.700,8.85,甑维居家日用,globalAccountLoop,account,switch,switchAccount,globalAccountLoop：锚点无需 UI 切店（如拼多多：店铺轮次由 pageIds 内登录与业务页完成）,是
2026-04-25 07:00:09,2.378,1677.87,甑维居家日用,pdd_login_switch,nav,goto,skip_same_url,https://mms.pinduoduo.com/login/,是
2026-04-25 07:00:10,3.816,1437.85,甑维居家日用,pdd_login_switch,interaction,pdd_login_tab_account,click,#root > div.pdd-app-skeleton > div > div > main > div > section.login-content > div > div > div > div.login-tab > div > div > div:nth-child(2),是
2026-04-25 07:00:11,4.496,680.34,甑维居家日用,pdd_login_switch,interaction,pdd_input_username_current_account,input,#usernameId <- account_username,是
2026-04-25 07:00:12,5.096,599.64,甑维居家日用,pdd_login_switch,interaction,pdd_click_login_submit,click,#root > div.pdd-app-skeleton > div > div > main > div > section.login-content > div > div > div > div.password-section > section > div > div > button,是
2026-04-25 07:00:16,9.524,4427.68,甑维居家日用,pdd_aftersale_export,nav,goto,open_url,https://mms.pinduoduo.com/print/after-sale-list,是
2026-04-25 07:00:23,16.759,7234.92,甑维居家日用,pdd_aftersale_export,interaction,pdd_close_print_ad_modal,click,div[class*='MmsUiPosterModal___closeIcon'],是
2026-04-25 07:00:25,18.216,1457.57,甑维居家日用,pdd_aftersale_export,interaction,pdd_aftersale_time_type,selectFilter,已选择「售后申请时间」（候选: 售后申请时间）,是
2026-04-25 07:00:26,18.872,655.66,甑维居家日用,pdd_aftersale_export,interaction,pdd_aftersale_query,click,button:has-text('查询'),是
2026-04-25 07:00:27,20.328,1456.55,甑维居家日用,pdd_aftersale_export,interaction,pdd_aftersale_open_download_menu,click,button:has-text('下载数据'),是
2026-04-25 07:00:29,22.477,2148.19,甑维居家日用,pdd_aftersale_export,interaction,export_pdd_aftersale_query_orders,click+download,D:\Program Files (x86)\fff2_dianshang\output\拼多多数据提取_20260425_070006_5a34765b\downloads\拼多多数据提取_1_2026-04-24\甑维居家日用_售后单_raw_2026-04-24.xlsx,是
2026-04-25 07:00:32,25.397,2920.40,甑维居家日用,pdd_trade_data_operation,nav,goto,open_url,https://mms.pinduoduo.com/sycm/stores_data/operation?dateFlag=0,是
2026-04-25 07:00:40,33.061,7664.10,甑维居家日用,pdd_trade_data_operation,interaction,pdd_trade_scroll_to_bottom_before_page_size,scroll,window:end,是
2026-04-25 07:03:14,187.781,154719.63,甑维居家日用,pdd_trade_data_operation,interaction,pdd_trade_table_page_size_open,click,"Locator.wait_for: Timeout 22000ms exceeded.
Call log:
  - waiting for locator(""#mf-mms-sycm-container span:has-text('10 条')"").first to be visible
",否
2026-04-25 07:05:49,342.005,154224.60,甑维居家日用,pdd_trade_data_operation,interaction,pdd_trade_table_page_size_50,click,"Locator.wait_for: Timeout 22000ms exceeded.
Call log:
  - waiting for locator(""*:has-text('50 条/页')"").first to be visible
",否
2026-04-25 07:06:28,380.841,38836.00,甑维居家日用,pdd_trade_data_operation,field,成交金额,extract:tableColumnAgg,17.80  ← tableColumnAgg:#mf-mms-sycm-container > div > div > div > div:nth-child(5) > div.TB_outerWrapper_5-158-0.TB_bordered_5-158-0.TB_notTree#col1 n=2 p=1 sum,是
2026-04-25 07:07:04,417.138,36296.37,甑维居家日用,pdd_trade_data_operation,field,成交订单数,extract:tableColumnAgg,2  ← tableColumnAgg:#mf-mms-sycm-container > div > div > div > div:nth-child(5) > div.TB_outerWrapper_5-158-0.TB_bordered_5-158-0.TB_notTree#col2 n=2 p=1 sum,是
2026-04-25 07:07:40,453.393,36255.44,甑维居家日用,pdd_trade_data_operation,field,成交买家数,extract:tableColumnAgg,2.00  ← tableColumnAgg:#mf-mms-sycm-container > div > div > div > div:nth-child(5) > div.TB_outerWrapper_5-158-0.TB_bordered_5-158-0.TB_notTree#col3 n=2 p=1 sum,是
2026-04-25 07:07:40,453.635,242.14,甑维居家日用,pdd_trade_data_operation,field,客单价,extract:computedDivide,8.90  ← computedDivide:pdd_trade_amount/pdd_trade_buyer_count,是
2026-04-25 07:07:41,453.918,282.98,甑维居家日用,pdd_promotion_overview,nav,goto,open_url,https://yingxiao.pinduoduo.com/goods/report/promotion/overView?beginDate=2026-04-24&endDate=2026-04-24&msfrom=mms_sidenav,是
2026-04-25 07:08:09,481.906,27987.71,甑维居家日用,pdd_promotion_overview,interaction,pdd_overview_switch_to_table,click,"Locator.wait_for: Timeout 8000ms exceeded.
Call log:
  - waiting for locator(""div[class*='ReportOverview_wrap'] label:has-text('表格')"").first to be visible
",否
2026-04-25 07:08:24,497.045,15139.23,甑维居家日用,pdd_promotion_overview,interaction,pdd_overview_uncheck_compare_time,click,"Locator.wait_for: Timeout 5000ms exceeded.
Call log:
  - waiting for locator(""#page-container label:has-text('对比时间') .anq-checkbox-input"").first to be visible
",否
2026-04-25 07:09:02,535.784,38738.91,甑维居家日用,pdd_promotion_overview,field,成本花费(元),extract:tableTotalByHeader,"skipIfEmpty=true，空值已跳过：表格未可见（已试 3 个选择器）: Locator.wait_for: Timeout 12000ms exceeded.
Call log:
  - waiting for locator(""#page-container div.anq-table-wrapper table"").first to be visible
",是
